username;leader;tipo
camila_vallejo;0;0
jjcc_chile;0;0
GiorgioJackson;0;0
Izquierda_Tuit;0;0
feuc;0;0
confech;0;0
feusach;0;0
NoamTitelman;0;0
camiloriffo;0;0
panchofigueroa;0;0
feuv;0;0
naupuc;0;0
ANKALAO;0;0
SolidaridadUC;0;0
u_informado;0;0
izqautonoma;0;0
FECUdeC;0;0
mguc;0;0
gabrielboric;0;0
raecheco;0;0
ConstanzaLeyton;0;0
sebavielmas;0;0
creceruc;0;0
recarex;0;0
vlatorre;0;0
AFielbaum;0;0
pepoglatz;0;0
Feuls;0;0
FEUAntofagasta;0;0
guillermo_peter;0;0
secundarios;0;0
FEPUCV;0;0
FEUSAM;0;0
sebafarfans;0;0
germainquintana;0;0
Valeilic;0;0
DanaeDiazJeria;0;0
Felipesalga;0;0
elperrotracio;0;0
Valessoncilla;0;0
FEL_Stgo;0;0
felipevargasr;0;0
PMillalen;0;0
informanteUDA;0;0
NatalyEspin0za;0;0
feliperasa;0;0
EliasLonconado;0;0
PabloReyes_F;0;0
mrcvelarde;0;0
Godoy_JC;0;0
FEUCN;0;0
CONESCHILE;0;0
palta_mayo;0;0
difusion_ACES;0;0
FEUCM2011;0;0
jorbritoh;0;0
MACEUAI;0;0
Feupla;0;0
Pipovaldebenito;0;0
feuvsantiago;0;0
ucscconcepcion;0;0
Javier_Fano;0;0
velagrau;0;0
carlos_ruminott;0;0
d_cid;0;0
CajitadeJugo;0;0
andresdouglasr;0;0
FranciscoSainz;0;0
BorisNegrete;0;0
FeuachUACH;0;0
intialavia;0;0
goyarzun;0;0
danirslz;0;0
FEUBO_OFICIAL;0;0
feubb;0;0
Chriistopher_xD;0;0
Patricio_Indo;0;0
infestudiantes;0;0
SDonoso_;0;0
Javijadue;0;0
CrisLagos;0;0
FELUCHILE;0;0
FEUAI_stgo;0;0
acouble;0;0
feucncqbo;0;0
FEUTEM;0;0
vargassasmay;0;0
florespineda;0;0
krivera_uls;0;0
leoiec;0;0
SebaGodoyElguet;0;0
FdaSandoval;0;0
marjoriecuello;0;0
josefinaprivas;0;0
FEUFRO;0;0
OrleansRomero;0;0
feutfsm;0;0
aalegred;0;0
pipe_higueras;0;0
Paonessa;0;0
alvarobeckdorf;0;0
bernardo_barria;0;0
AngelitaJaviera;0;0
FEDEUNAP;0;0
rodrigosion;0;0
chiko_maty;0;0
Cris_Sarabia;0;0
ConsuFonte;0;0
Astuto2010;0;0
vashneo;0;0
Panchopinochet;0;0
totis;0;0
C_Gonzalez_;0;0
mutanrashen;0;0
gonzpt;0;0
mr_rat;0;0
marcelodiazd;0;0
Polawitch;0;0
PROLOSLAGOS;0;0
BarSepulveda;0;0
LoreArellanoPRO;0;0
milecaros;0;0
Edu__88;0;0
Alvaro_Riffo;0;0
postchile;0;0
enriquepuentes;0;0
FelipeEsbir;0;0
ginettejoignant;0;0
SebastianAbudoj;0;0
cristhianlagos;0;0
JesuJipilain;0;0
Hostal_Valpo;0;0
samuelajimo;0;0
spangpolitik;0;0
lindiwiss;0;0
Joakin_GO;0;0
paulillabernal;0;0
camipimentelr;0;0
panshoherrera;0;0
flaudioandres;0;0
kandiiiz;0;0
_Toto;0;0
fedeAntunovic;0;0
Ekita_Sempai;0;0
Kakasalas;0;0
SamuelJimenezL;0;0
HernanAraya;0;0
Jusantib;0;0
SitaGuau;0;0
paula_quintana;0;0
begnocire;0;0
Firmas_PRO_RM;0;0
jmiguel15;0;0
colitacarvallo;0;0
patricio_mora;0;0
juan_diazr;0;0
CehiUC;0;0
Rosotova;0;0
cclauditaa;0;0
gabrielpollmann;0;0
scisterna;0;0
crandrade;0;0
panchotron;0;0
Martinabeatriz;0;0
GustavoAdolfoG_;0;0
cotecumplido;0;0
andresLlanoj;0;0
framirezjoig;0;0
Philipo_80;0;0
Al_Bouchta;0;0
PeibolFernando;0;0
MrBecario;0;0
laroble;0;0
srcrispin;0;0
CamiloNavarroO;0;0
Dani_Lipon;0;0
GKFelipe;0;0
Nincen;0;0
novatospuc;0;1
ucatolica;0;1
Cruizta;0;0
CAEOUC;0;0
lafranss;0;0
SofiArguello;0;0
maximorv;0;0
mozeifala;0;0
AEscobarPM;0;0
IgnacioIriarte;0;0
crllanos;0;0
cristobal1219;0;0
Viktormenn;0;0
Carolonline;0;0
Valeosorio;0;0
PabloRebolledo;0;0
javiarce;0;0
montecinosvivi;0;0
solerey;0;0
lolypalquenolee;0;0
sebastianonate;0;0
Arpellot;0;0
jcalabrano;0;0
OscarPDC;0;0
Gabriel_Salei;0;0
Caraja;0;0
DTapiav;0;0
shuritox;0;0
Mayiiitta;0;0
elciruela;0;0
fermontoyag;0;0
luisfepipe;0;0
cristobalotero;0;0
felipe_vera;0;0
HastAgotarStock;0;0
EduardoVergaraB;0;0
paz_asenjo;0;0
dcontrerask;0;0
CamidelRio;0;0
lvalenzu;0;0
