"","username","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"1981","Valessoncilla","0.25536","0.24237","0.1471","0.000","0.0000","1.7e-04","8.5e-04","0.0e+00","8.1e-04","1.0e+00"
"986","FECUdeC","0.16642","0.15493","0.1307","0.000","0.0000","4.4e-04","2.4e-03","0.0e+00","2.3e-03","8.1e-01"
"2915","feuc","1.00000","1.00000","0.0000","0.000","0.0000","0.0e+00","1.0e+00","6.9e-05","9.8e-01","7.5e-01"
"41","CajitadeJugo","0.22366","0.21655","0.0817","0.000","0.0000","1.1e-04","1.0e-03","0.0e+00","9.0e-04","6.3e-01"
"389","FEPUCV","0.13707","0.13615","0.0131","0.083","0.1384","6.8e-05","2.3e-03","8.2e-05","2.0e-03","3.8e-01"
"98","goyarzun","0.05694","0.05604","0.0131","0.000","0.0000","4.0e-05","2.2e-03","0.0e+00","2.0e-03","2.8e-01"
"1148","naupuc","0.38421","0.36033","0.2680","0.499","1.0000","3.1e-01","8.0e-01","3.8e-04","1.0e+00","2.2e-01"
"934","palta_mayo","0.04491","0.04049","0.0523","0.000","0.0000","2.2e-08","3.0e-07","0.0e+00","2.5e-07","1.8e-01"
"1241","feuvsantiago","0.04726","0.04460","0.0327","0.000","0.0000","1.1e-05","2.5e-04","0.0e+00","2.7e-04","1.7e-01"
"2919","feuv","0.08717","0.08744","0.0000","0.000","0.0000","0.0e+00","8.0e-03","2.0e-04","7.1e-03","1.4e-01"
"1924","SolidaridadUC","0.10273","0.10182","0.0131","0.083","0.0224","6.0e-03","1.1e-01","2.3e-03","1.1e-01","1.2e-01"
"2251","FEL_Stgo","0.05195","0.04049","0.1307","0.249","0.1497","1.4e-02","1.7e-03","7.6e-04","1.2e-02","1.2e-01"
"1893","EliasLonconado","0.02642","0.02553","0.0131","0.000","0.0000","0.0e+00","2.4e-16","0.0e+00","1.9e-16","1.1e-01"
"1718","mguc","0.12269","0.11532","0.0850","0.499","0.1713","3.7e-02","1.6e-01","1.7e-03","1.8e-01","1.1e-01"
"2109","creceruc","0.04696","0.04372","0.0392","0.249","0.0648","6.0e-03","3.3e-02","3.0e-03","3.4e-02","9.1e-02"
"2921","Godoy_JC","0.13414","0.13439","0.0000","0.000","0.0000","0.0e+00","1.2e-03","0.0e+00","1.1e-03","8.6e-02"
"2753","FELUCHILE","0.00704","0.00704","0.0033","0.249","0.0051","7.9e-06","7.3e-04","6.7e-03","7.5e-04","5.0e-02"
"2755","PabloReyes_F","0.01790","0.01790","0.0033","0.000","0.0000","4.5e-11","1.0e-08","0.0e+00","8.2e-09","4.5e-02"
"2927","jjcc_chile","0.04139","0.04167","0.0000","0.000","0.0000","0.0e+00","1.9e-04","0.0e+00","1.6e-04","4.1e-02"
"2924","ucscconcepcion","0.05459","0.05487","0.0000","0.000","0.0000","0.0e+00","2.4e-06","0.0e+00","1.9e-06","3.7e-02"
"2887","raecheco","0.00440","0.00440","0.0033","0.000","0.0000","1.8e-05","4.1e-03","4.2e-02","4.0e-03","3.2e-02"
"1344","pepoglatz","0.08218","0.07072","0.1307","0.499","0.1505","1.5e-01","7.1e-02","2.6e-03","2.0e-01","3.2e-02"
"2940","FEUFRO","0.01761","0.01790","0.0000","0.000","0.0000","0.0e+00","2.1e-05","0.0e+00","2.0e-05","2.6e-02"
"2916","ConstanzaLeyton","0.01967","0.01995","0.0000","0.000","0.0000","0.0e+00","2.4e-04","0.0e+00","2.3e-04","2.4e-02"
"2913","FranciscoSainz","0.03845","0.03873","0.0000","0.000","0.0000","0.0e+00","8.0e-04","0.0e+00","6.7e-04","2.1e-02"
"2918","izqautonoma","0.01438","0.01467","0.0000","0.000","0.0000","0.0e+00","2.0e-04","0.0e+00","1.8e-04","1.6e-02"
"2939","Javijadue","0.01614","0.01643","0.0000","0.000","0.0000","0.0e+00","1.4e-04","0.0e+00","1.2e-04","1.1e-02"
"2937","secundarios","0.00528","0.00558","0.0000","0.000","0.0000","0.0e+00","5.0e-17","0.0e+00","4.0e-17","1.0e-02"
"2914","Paonessa","0.00939","0.00968","0.0000","0.000","0.0000","0.0e+00","2.4e-04","0.0e+00","2.0e-04","9.0e-03"
"2920","OrleansRomero","0.00646","0.00675","0.0000","0.000","0.0000","0.0e+00","6.3e-17","0.0e+00","4.9e-17","8.4e-03"
"2923","feusach","0.00616","0.00646","0.0000","0.000","0.0000","0.0e+00","7.7e-07","0.0e+00","6.2e-07","7.7e-03"
"2929","FEUAntofagasta","0.00704","0.00734","0.0000","0.000","0.0000","0.0e+00","2.7e-08","0.0e+00","2.0e-08","7.5e-03"
"2944","Felipesalga","0.00998","0.01027","0.0000","0.000","0.0000","0.0e+00","5.4e-04","0.0e+00","4.7e-04","5.9e-03"
"2938","felipevargasr","0.00499","0.00528","0.0000","0.000","0.0000","0.0e+00","3.6e-07","0.0e+00","2.7e-07","5.6e-03"
"2933","BorisNegrete","0.00616","0.00646","0.0000","0.000","0.0000","0.0e+00","9.1e-05","0.0e+00","7.8e-05","5.3e-03"
"2936","florespineda","0.00470","0.00499","0.0000","0.000","0.0000","0.0e+00","1.6e-07","0.0e+00","1.2e-07","3.5e-03"
"2810","vlatorre","0.00470","0.00440","0.0065","0.499","0.2258","3.6e-03","6.0e-03","1.0e-01","1.1e-02","3.4e-03"
"2922","carlos_ruminott","0.00147","0.00176","0.0000","0.000","0.0000","0.0e+00","1.4e-17","0.0e+00","1.1e-17","3.2e-03"
"2935","d_cid","0.00117","0.00147","0.0000","0.000","0.0000","0.0e+00","1.4e-04","0.0e+00","1.2e-04","1.6e-03"
"2926","pipe_higueras","0.00088","0.00117","0.0000","0.000","0.0000","0.0e+00","2.3e-07","0.0e+00","1.8e-07","1.4e-03"
"2930","confech","0.00029","0.00059","0.0000","0.000","0.0000","0.0e+00","2.7e-18","0.0e+00","2.2e-18","1.3e-03"
"2931","AngelitaJaviera","0.00059","0.00088","0.0000","0.000","0.0000","0.0e+00","5.5e-18","0.0e+00","4.4e-18","1.3e-03"
"2934","Pipovaldebenito","0.00088","0.00117","0.0000","0.000","0.0000","0.0e+00","8.9e-18","0.0e+00","6.7e-18","1.3e-03"
"2941","andresdouglasr","0.00029","0.00059","0.0000","0.000","0.0000","0.0e+00","2.7e-18","0.0e+00","2.2e-18","1.3e-03"
"2946","aalegred","0.00029","0.00059","0.0000","0.000","0.0000","0.0e+00","2.7e-18","0.0e+00","2.4e-18","1.3e-03"
"2925","danirslz","0.00147","0.00176","0.0000","0.000","0.0000","0.0e+00","1.4e-17","0.0e+00","1.1e-17","1.3e-03"
