"","hashtag","type","vcount","ecount","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank","density","reciprosity","wcc"
"1","Yomarchoel11","reply","  50","   32","1.2800","0.64000","0.64000","4.1351e-04","1.7007e-05","0.0200000","0.03000000","0.000000","0.0282843","0.02000000","0.01306122","0.0000000"," 20"
"2","Yomarchoel11","mention"," 231","  199","1.7229","0.86147","0.86147","1.8896e-05","2.4657e-06","0.0357694","0.01030060","0.022024","0.0424300","0.00432900","0.00374553","0.0102564"," 55"
"3","Yomarchoel11","retweet","1287"," 1487","2.3108","1.15540","1.15540","6.0547e-07","1.8653e-06","0.0524233","0.00145622","0.034257","0.0143561","0.00077700","0.00089844","0.0026900"," 45"
"4","4deagosto","reply"," 559","  394","1.4097","0.70483","0.70483","3.2099e-06","8.0580e-08","0.0223614","0.00178891","0.000000","0.0100937","0.00178891","0.00126314","0.0205128","196"
"5","4deagosto","mention","1929"," 1578","1.6361","0.81804","0.81804","2.6920e-07","7.9046e-07","0.0120533","0.00089101","0.024598","0.0063205","0.00051840","0.00042429","0.0064599","491"
"6","4deagosto","retweet","8169","11380","2.7861","1.39307","1.39307","1.5060e-08","2.9663e-06","0.0076857","0.00033212","0.035239","0.0036766","0.00012241","0.00017055","0.0050980","387"
"7","reformaeducacional","reply","  81","   51","1.2593","0.62963","0.62963","1.5576e-04","2.3441e-05","0.0123457","0.02469136","0.000000","0.0355231","0.01234568","0.00787037","0.0400000"," 34"
"8","reformaeducacional","mention"," 192","  239","2.4896","1.24479","1.24479","2.7738e-05","9.0417e-05","0.0099814","0.02442847","0.062130","0.0198458","0.00520833","0.00651723","0.0272727"," 40"
"9","reformaeducacional","retweet","1066"," 1209","2.2683","1.13415","1.13415","8.8600e-07","6.8670e-06","0.0549766","0.00108451","0.080285","0.0170662","0.00093809","0.00106493","0.0115990"," 80"
"10","tomaliceo","mention","   2","    1","1.0000","0.50000","0.50000","7.5000e-01","0.0000e+00","0.5000000","0.50000000","0.000000","1.0000000","0.50000000","0.50000000","0.0000000","  1"
