"","user","degree"
"749","elquintopoder","927"
"264","sentidoscomunes","475"
"3393","dmanoucheri","436"
"7435","tvn_mauricio","249"
"3883","baradit","238"
"7211","el_dinamo","193"
"7278","inti_illimani","187"
"560","cpulgarpinaud","183"
"6007","elciruela","170"
"505","canal_chile","156"
"7648","mipascal","143"
"465","nolesvoteschile","134"
"7509","yomesumo","133"
"7485","com_fech","106"
"7494","sergiocanalesv","102"
"5730","jchains5150"," 96"
"7476","copano"," 96"
"3207","challtumay"," 90"
"7730","sobras"," 89"
"7701","ciclismourbano"," 88"
"7636","larepublica_pe"," 87"
"6107","universitecl"," 83"
"7587","comiendomusica"," 81"
"7800","tomaslaibe"," 78"
"7456","nacioncl"," 77"
"7560","aalaluf"," 70"
"6782","sonico"," 63"
"7344","fernandopaulsen"," 63"
"7453","cmilillo"," 57"
"7433","soyarica"," 56"
"7440","democraciareal"," 56"
"7577","h_peraltac"," 56"
"7576","dariogayo"," 54"
"1392","incubolica"," 52"
"7469","rodrigovega"," 52"
"7546","chainotown"," 52"
"7621","juventudsin"," 49"
"7497","a77acado"," 46"
"4672","oscar_rivera"," 45"
"7963","elobservatodo"," 44"
"2484","zorrotapatio"," 43"
"7330","elpost_cl"," 43"
"7535","elmostrador"," 42"
"7503","tolerancia0"," 39"
"7490","n00ctambul00"," 38"
"4884","driverosf"," 36"
"89","mautolosa"," 34"
"7574","fernandezpm"," 34"
"7602","ciudadanooscar"," 34"
"2727","sergiovillegas"," 32"
"7454","christianpino"," 31"
"8139","negropirata"," 31"
"7431","mercuriovalpo"," 30"
"4221","jaimegajardo"," 29"
"7564","alfonsoconcha"," 29"
"1929","proamboax"," 28"
"7927","mauroarnold"," 28"
"241","dontobal"," 27"
"7287","soychilecl"," 27"
"7463","rodrigo_ramirez"," 27"
"7604","mercurioafta"," 27"
"3563","gitanavagabunda"," 26"
"6804","sesnaola"," 26"
"7451","lacarola_lo"," 26"
"2551","ingridcruztoro"," 25"
"3338","valenzuelalevi"," 25"
"203","barrocoaustral"," 24"
"878","oposicionpinera"," 24"
"2312","lapilito"," 24"
"3114","gabrielapaznow"," 24"
"8262","opositoraysen"," 24"
"262","antigonia_info"," 23"
"3399","sonnianavarro"," 23"
"8081","gacela_azul"," 23"
"21","andrea_thno"," 22"
"1499","jmarroquing"," 22"
"7548","hernan_sr"," 22"
"2977","frantasticaah"," 21"
"3662","dmlynarz"," 21"
"5536","guillebetancur"," 21"
"7238","lytho"," 21"
"7575","diarioafta"," 21"
"7605","claudiog"," 21"
"7726","fcocaroca"," 21"
"7882","hicalito"," 21"
"322","pedrodvaldivia"," 20"
"2562","gatasaba"," 20"
"6635","che_sandoval"," 20"
"7483","ignaciowalker"," 20"
"8004","joaq_fernandez"," 20"
"31","monicaolivaresf"," 19"
"980","miguelpaz"," 19"
"35","celoo"," 18"
