"","user","degree"
"220","kmila_hernandez","31"
"228","camila_vallejo","29"
"71","sebastiancaiceo","22"
"239","thecliniccl","20"
"248","panchofigueroa","20"
"108","sebagamboa_","18"
"18","cami_carrascoh","17"
"14","ierrazuriz_","16"
"225","el_dinamo","16"
"214","asomao_org","12"
"15","verolow_","11"
"44","ae_saenz","10"
"233","coneschile","10"
"87","sentidoscomunes"," 8"
"218","sombraroja"," 6"
"237","cdbarrie"," 6"
"7","mzmatnet"," 5"
"184","oets93"," 5"
"240","oposicionpinera"," 5"
"40","camilo_patagon"," 4"
"209","ceembb2012"," 4"
"234","movimientosurda"," 4"
"245","tvparachile"," 4"
"20","javierken94"," 3"
"26","angeeel_95"," 3"
"206","victorramirez"," 3"
"212","oscararacol"," 3"
"235","ojobienabie"," 3"
"236","danymedrano"," 3"
"249","nfacuse"," 3"
"79","rvillegash"," 2"
"204","lfsanchezo"," 2"
"207","kenssel_rojas"," 2"
"230","jessystormy"," 2"
"250","juan_urra"," 2"
"173","jjosemanuel"," 1"
"205","andreaprofe"," 1"
"208","janorojo"," 1"
"210","espantachuncho"," 1"
"211","riikrdou"," 1"
"213","jsusach"," 1"
"215","rodrigoalcainop"," 1"
"216","vargsvillalobos"," 1"
"217","maneriquelme"," 1"
"219","cceledon_pgc"," 1"
"221","gvovish"," 1"
"222","jsaramirezg"," 1"
"223","huirca"," 1"
"224","pampino2000"," 1"
"226","sebavielmas"," 1"
"227","aleconcejala"," 1"
"229","rafaelurriola"," 1"
"231","jaimegalazg"," 1"
"232","gitanavagabunda"," 1"
"238","mariela2770"," 1"
"241","veracarrera"," 1"
"242","elenaaguila"," 1"
"243","lmrendon"," 1"
"244","guillesaavedraj"," 1"
"246","migrivass"," 1"
"247","fernamaya"," 1"
"251","jaimegajardo"," 1"
"1","MoisesParedesR"," 0"
"2","ConesChile"," 0"
"3","FEscobarPipo"," 0"
"4","Constituyente21"," 0"
"5","OtroFelipeMas"," 0"
"6","Jose_SotoV"," 0"
"8","StgDespierta"," 0"
"9","VMLEIVA"," 0"
"10","FuserCardenas"," 0"
"11","Rodrigo_RiveraC"," 0"
"12","paticorvaleone"," 0"
"13","Vane_Ganamor"," 0"
"16","ConstanzaaN"," 0"
"17","TTEMH"," 0"
"19","EdChamorro"," 0"
"21","Roberto_ToledoZ"," 0"
"22","MovilizateChile"," 0"
"23","jorgeerrazuriz"," 0"
"24","Mastikable"," 0"
"25","La_CAMILISIMA"," 0"
"27","bdeb"," 0"
"28","LAburtoBorquez"," 0"
"29","acelo7"," 0"
"30","Difusion_IN"," 0"
"31","fesimctc"," 0"
"32","marxismo_cl"," 0"
"33","SANMANUELMELIP"," 0"
"34","jorgeloayza"," 0"
"35","indignadapiola"," 0"
"36","RodrigoCaldern"," 0"
"37","ValenzuelaFuica"," 0"
"38","Gorakor"," 0"
"39","chunchovenegas"," 0"
"41","luisivancs"," 0"
"42","Valespfoigelman"," 0"
"43","maxchileno"," 0"
"45","Carolina_Jarap"," 0"
"46","emedeche"," 0"
"47","Lau_95"," 0"
"48","NoamTitelman"," 0"
"49","nachoadaos"," 0"
"50","jennypardosilva"," 0"
"51","ayymarta"," 0"
"52","pelusa201"," 0"
"53","NeldaCordova"," 0"
"54","rod_naranjo"," 0"
"55","Pablosolist"," 0"
"56","MUOZZAVALA"," 0"
"57","LuciaLutty"," 0"
"58","cralro"," 0"
"59","diec1997"," 0"
"60","taniamaturana1"," 0"
"61","domicarmona"," 0"
"62","akugna"," 0"
"63","ValentinaVarGut"," 0"
"64","Bjul"," 0"
"65","SerranoDaniela_"," 0"
"66","LunaMorales"," 0"
"67","AlexisArayaM"," 0"
"68","parguaman"," 0"
"69","nicolgarrido"," 0"
"70","SandSophie"," 0"
"72","SebaSarfone"," 0"
"73","MontecinosDow54"," 0"
"74","FZavalaJara"," 0"
"75","fotocabello"," 0"
"76","PatoPattan"," 0"
"77","laSofiaPaz"," 0"
"78","ChikAspie"," 0"
"80","dalidelcentro"," 0"
"81","frambuezza"," 0"
"82","yurich3nko"," 0"
"83","rodrigoalonsoh"," 0"
"84","MVargasU"," 0"
"85","alexeicortes"," 0"
"86","Karolcariola"," 0"
"88","Rafa__Star"," 0"
"89","Niuasuhara"," 0"
"90","NizamUlMulk"," 0"
"91","RAPcanal"," 0"
"92","pabloperu35480"," 0"
"93","chk_rut"," 0"
"94","mmontenegro"," 0"
"95","fischerps"," 0"
"96","marceloalegandr"," 0"
"97","pejomoagui"," 0"
"98","Bielsa_Rebelde"," 0"
"99","Megachilo"," 0"
"100","JoseMjosethomas"," 0"
"101","Sergio_Caniumil"," 0"
"102","CatherineValn"," 0"
"103","jestoryas"," 0"
"104","anny_012"," 0"
"105","VVallesteros"," 0"
"106","GabGonzalezC"," 0"
"107","brionesantonio"," 0"
"109","Educacion2020"," 0"
"110","FEUV_Stgo"," 0"
"111","gonzalocidv"," 0"
"112","Mazelita"," 0"
"113","ricardo_galaz"," 0"
"114","jpjam"," 0"
"115","CarlosCatriman"," 0"
"116","The_PsychobusT"," 0"
"117","crisghm"," 0"
"118","RNuevoMundo"," 0"
"119","Antibush1"," 0"
"120","emiiiii_HH"," 0"
"121","clauyara"," 0"
"122","andres_poblete"," 0"
"123","Daniela______16"," 0"
"124","janecarvajal"," 0"
"125","mark35d"," 0"
"126","novilic"," 0"
"127","Hecgonq"," 0"
"128","Djaralfaro"," 0"
"129","Angel_mayi"," 0"
"130","huachoinfernal"," 0"
"131","Rulo_Argel"," 0"
"132","kely_an"," 0"
"133","marcelillavn"," 0"
"134","Panchita__"," 0"
"135","trigorosa"," 0"
"136","pameulrika"," 0"
"137","Milodon"," 0"
"138","luna_rojav"," 0"
"139","Camidemaria"," 0"
"140","la_evex"," 0"
"141","kineDRstrings"," 0"
"142","EFE1313"," 0"
"143","PAITAMO"," 0"
"144","ElDrZombie"," 0"
"145","RegresivaCuenta"," 0"
"146","Contimasque"," 0"
"147","ElpueblodeChile"," 0"
"148","patricio_jose"," 0"
"149","karinnajavi"," 0"
"150","JorgeRojasEcon"," 0"
"151","mpardogarces"," 0"
"152","susana_zz"," 0"
"153","pilintrucca"," 0"
"154","Flaviacornejo"," 0"
"155","AlecBaldwin_W"," 0"
"156","vanevergarac"," 0"
"157","Akundunz"," 0"
"158","RaulPereiraQ"," 0"
"159","Mrs_piojachica"," 0"
"160","c_ugas"," 0"
"161","Cleivag"," 0"
"162","cristianv"," 0"
"163","RobinsonStorey"," 0"
"164","claudita1605"," 0"
"165","tottygalvez"," 0"
"166","camaralucida2"," 0"
"167","quintrali35"," 0"
"168","tashalovesdulce"," 0"
"169","LeonardoAdiaz24"," 0"
"170","lobosluna"," 0"
"171","Shanyafueoqpado"," 0"
"172","Lukas_thecuchos"," 0"
"174","jcnancyta"," 0"
"175","CAV11"," 0"
"176","GabrielaGAD"," 0"
"177","MalegriaRoja"," 0"
"178","Emilioparalelus"," 0"
"179","quevedovicky"," 0"
"180","AlfonsoPizarro"," 0"
"181","MatiasTL_"," 0"
"182","toblipaaa"," 0"
"183","MarceSuarezBrin"," 0"
"185","paulocontrerasc"," 0"
"186","privonne"," 0"
"187","Mati_Rioseco"," 0"
"188","jconcev"," 0"
"189","diegocorvalan"," 0"
"190","jpluhrs"," 0"
"191","ivoinge"," 0"
