"","user","degree"
"174","miguelgaraym","65"
"181","pabloparedesm","22"
"168","susana_zz","20"
"172","espantachuncho","12"
"188","rhon2008","12"
"182","dolores_cautivo","10"
"96","jacamato"," 6"
"185","maneriquelme"," 5"
"176","leivarojas"," 4"
"180","javiparada"," 4"
"186","apa_charlie"," 4"
"192","piamontealegre"," 3"
"183","glamorosalaosa"," 2"
"191","sombraroja"," 2"
"21","illapu"," 1"
"84","estebandoctor"," 1"
"173","guajars"," 1"
"175","edopac"," 1"
"177","hugodiazm"," 1"
"178","ralbornozp"," 1"
"179","marioorellanag"," 1"
"184","mariafdalucero"," 1"
"187","angelarquia"," 1"
"189","todossomosasamb"," 1"
"190","joelynott"," 1"
"193","verde_olivo"," 1"
"1","radicalyfeliz"," 0"
"2","Resiste_Pata"," 0"
"3","lulu_fenix"," 0"
"4","fans_tv_chilena"," 0"
"5","luzxi_cg"," 0"
"6","vefarlu"," 0"
"7","jcandianeira"," 0"
"8","PabloReyes_F"," 0"
"9","valeeria1313"," 0"
"10","Angep_verdugo"," 0"
"11","luna_rojav"," 0"
"12","LAburtoBorquez"," 0"
"13","enChileHoy"," 0"
"14","carocaf"," 0"
"15","pandorolof"," 0"
"16","DaiSpencer"," 0"
"17","katazepp"," 0"
"18","SerafinaMarina"," 0"
"19","antumillan"," 0"
"20","pitchel_jota"," 0"
"22","BOEMIA_"," 0"
"23","Anabellais"," 0"
"24","motacrack"," 0"
"25","copeticoto"," 0"
"26","TerapiadeAbejas"," 0"
"27","BustamLucia"," 0"
"28","Page2Pablo"," 0"
"29","REnriqueTorres"," 0"
"30","RNuevoMundo"," 0"
"31","lunguz"," 0"
"32","amaranto69"," 0"
"33","OscarAraya1990"," 0"
"34","BeatrizMachuca"," 0"
"35","lvillavicenciom"," 0"
"36","meliposa21"," 0"
"37","Libertario_CC"," 0"
"38","isaflowers"," 0"
"39","mrosenzvaig"," 0"
"40","EvFritz"," 0"
"41","SilviMontanaro"," 0"
"42","claudiomunozr"," 0"
"43","Magov25"," 0"
"44","Manueeeel"," 0"
"45","kekoG"," 0"
"46","GiorgioJackson"," 0"
"47","Gabitaluz"," 0"
"48","fdezdelareguera"," 0"
"49","eacunab"," 0"
"50","borrayretrocede"," 0"
"51","T_TKattyT_T"," 0"
"52","miciudadela"," 0"
"53","JosMaldonado7"," 0"
