"","user","degree"
"2182","gabrielboric","394"
"413","inti_illimani","328"
"82","_hexagram_","269"
"1818","mariseka","232"
"3164","hectormorals","197"
"354","vacuna709","158"
"29","frannajoes","154"
"1048","rvfradiopopular","106"
"3247","intihistorico","103"
"3437","diegoureyes"," 77"
"3053","anomico_2"," 72"
"75","ditomunozz"," 71"
"3232","gransopi"," 55"
"647","elciruela"," 51"
"42","pedrolivares"," 49"
"123","flaitechileno"," 48"
"3240","difamadores"," 48"
"1355","illapu"," 46"
"2796","misharf"," 45"
"90","barrocoaustral"," 43"
"814","onegalone"," 42"
"3188","anonchilean"," 42"
"89","ali_vero"," 39"
"1803","sentidoscomunes"," 38"
"725","pandorolof"," 37"
"3236","palomapicasso9"," 34"
"850","el_alexis"," 32"
"3259","movimientosurda"," 32"
"3230","panchofigueroa"," 31"
"98","ierrazuriz_"," 30"
"77","panchozambranoc"," 27"
"3481","manuel_guerrero"," 26"
"150","miguelgaraym"," 25"
"2851","amarogael"," 21"
"1234","panchajlv"," 20"
"2964","vargsvillalobos"," 20"
"3361","roriveram"," 20"
"3434","goyarzun"," 20"
"100","marxismo_cl"," 19"
"1511","youngvictoria16"," 19"
"825","mixsodareloaded"," 18"
"1037","kenssel_rojas"," 18"
"2209","sudamericanas"," 18"
"28","clau_1919"," 17"
"130","mesup_chile"," 16"
"1982","daneotwi"," 16"
"2745","salas234"," 16"
"3147","chilepatetico"," 16"
"3430","pabloskid"," 16"
"486","lcarrizoh"," 15"
"936","espantachuncho"," 15"
"1562","gmobastias"," 15"
"3222","jpablolh"," 15"
"3332","frantasticaah"," 15"
"170","nuevaizquierda1"," 14"
"581","zoonicax"," 14"
"1305","ia_derecho"," 14"
"174","diegonzal"," 13"
"738","mgoyenechea"," 13"
"1041","lasultimas"," 13"
"1774","astorgapablo"," 13"
"2969","nuryasuncion"," 13"
"3418","jchainss515o"," 13"
"3500","javiparada"," 13"
"106","r_torrealbar"," 12"
"1551","ivanexxx69"," 12"
"133","gloriaapii"," 11"
"1075","piperivas"," 11"
"1201","novilic"," 11"
"2430","el_dinamo"," 11"
"3223","cparedesa"," 11"
"3286","jorgelatrille"," 11"
"3372","pilorockabilly"," 11"
"3543","todossomosasamb"," 11"
"311","nolesvoteschile"," 10"
"36","maldocris76","  9"
"506","burbruja","  9"
"1270","cocabeltran","  9"
"1984","osvaldoaravena","  9"
"2626","despinoza90","  9"
"3285","profelopezp","  9"
"3392","jathibaut","  9"
"3453","_temistocles","  9"
"25","maryposa_lf","  8"
"734","tryo1","  8"
"1155","mjimenez90","  8"
"1178","fpipe87","  8"
"1613","hferran","  8"
"3227","estebancash","  8"
"3262","rhon2008","  8"
"3297","juliomunz","  8"
"3423","elconejorojo","  8"
"3534","soycotidad","  8"
"57","ginniasa","  7"
"80","contremol","  7"
"95","andreacoyhaique","  7"
"104","grullita9","  7"
"641","carla_hdez","  7"
"662","violeta_bsas","  7"
"823","trigorosa","  7"
"1082","furchile","  7"
"1126","motacrack","  7"
"1324","andreaprofe","  7"
"1559","reinaldolope","  7"
"1659","quintanadonoso","  7"
"3194","juancatepillan","  7"
"3309","mgutiollarzu","  7"
"3377","quedamenos","  7"
"3475","plaulie","  7"
"3538","sebita_seba","  7"
"294","starbreakerh","  6"
"616","trolky","  6"
"853","sergiovillegas","  6"
"1076","pameulrika","  6"
"1134","ccp_movilizada","  6"
"1420","elchedelosgays","  6"
"1800","esopino","  6"
"2291","laotravoz","  6"
"2829","pdelaba","  6"
"3234","contreraspato","  6"
"3287","el_samx","  6"
"3315","celinafont","  6"
"3385","zurdo_pensante","  6"
"3474","mpdpsicocirco","  6"
"3496","javierrogel3","  6"
"3512","franjose9","  6"
"3523","mluisa_ubeda","  6"
"11","jonathansilgo","  5"
"56","maria_josecc","  5"
"84","diegocorvalan","  5"
"714","oposicionpinera","  5"
"993","maneriquelme","  5"
"1007","primoya","  5"
"1113","emedeche","  5"
"1217","funadoscl","  5"
"1808","lassnibatt","  5"
"1811","entremarycielo","  5"
"3334","ungalloafonico","  5"
"3345","mata1709","  5"
"3353","locaria69","  5"
"3358","javiarce","  5"
"3395","andreadelpolen","  5"
"3450","moisesparedesr","  5"
"3458","enchilehoy","  5"
"3477","micaelalobos","  5"
"3517","powerlesliecl","  5"
"1","_once","  4"
"134","roanbaros","  4"
"200","alerubicel","  4"
"550","ilibeco_enf","  4"
"723","iwgo","  4"
"1098","te_miro_gente","  4"
"1114","claudiovasquezg","  4"
"1292","simonaxm","  4"
"1299","cro_camilo_js","  4"
"2941","negrossura","  4"
"3239","jchains5150","  4"
"3250","inpolitic","  4"
"3268","secundarios","  4"
"3272","isaramoscano","  4"
"3273","elkedescansa","  4"
"3275","angela_poblete","  4"
"3278","claudiaigvi","  4"
"3281","vicherrema","  4"
"3312","izquierda_tuit","  4"
"3330","gcriado","  4"
"3337","pedrobelmar","  4"
"3348","sondecalle","  4"
"3421","leviman1","  4"
"3471","cgonzalezja","  4"
"3493","edufu__","  4"
"3525","_coonny","  4"
"44","cecirubicel","  3"
"46","allendexxi","  3"
"72","concejalahig","  3"
"76","paulinatalia45","  3"
"116","kunamaskta","  3"
"374","raulperezsalas","  3"
"408","anngiemendoza","  3"
"573","eugenioquintana","  3"
"705","jignacioolave","  3"
"833","leguayork","  3"
"872","grupoillapu","  3"
"960","mysickness","  3"
"1047","verde_olivo","  3"
"1156","elquintopoder","  3"
"1261","gaspar4334","  3"
"1566","janetnoseda","  3"
"1569","alonso_nunez","  3"
"1918","bernaic","  3"
"2189","dracecicastillo","  3"
"2208","lupelupitav","  3"
"2391","jaimegajardo","  3"
"2631","kawesqar_","  3"
"3111","silvi_rivas","  3"
"3158","izkia","  3"
"3169","phumanista","  3"
"3191","profesnunoa","  3"
"3217","tecosuag","  3"
"3233","israferreira","  3"
"3237","c_full","  3"
"3241","oshrik","  3"
"3257","ccuevasz","  3"
"3265","koskita","  3"
"3271","nikoyola","  3"
"3301","yasnidrew","  3"
"3313","fercitex","  3"
"3314","ideaurgente","  3"
"3319","ricardoacevedo","  3"
"3327","rcaceresdiaz","  3"
"3333","marieangesz","  3"
"3370","pazjones","  3"
"3387","zapatosdenina","  3"
"3419","citurrietad","  3"
"3438","tanzamaniatika","  3"
"3445","jessystormy","  3"
"3446","la_fech","  3"
"3448","pablo_fepucv","  3"
"3451","oets93","  3"
"3459","patoseba","  3"
"3463","sabotaje","  3"
"3488","mjsessa","  3"
"3491","diegpele","  3"
"3492","panchoxfg","  3"
"3510","amandagollo","  3"
"3519","nikilivil","  3"
"3541","alcalasykes","  3"
"17","belenbariloche","  2"
"18","katykinta","  2"
"74","caguirrn","  2"
"83","wiwizorro","  2"
"102","nicolasvargasm","  2"
"132","palyta","  2"
"148","klaudyz","  2"
"151","cumpleventos","  2"
"158","marialuzz","  2"
"160","alfonsogc","  2"
"167","jt_castillo","  2"
"246","evillavicencio","  2"
"252","chauchalospacos","  2"
"280","xeo_andres","  2"
"281","yuvizin","  2"
"370","mafitas","  2"
"385","jjcc_chile","  2"
"431","yedezma","  2"
"442","imilpan","  2"
"546","chitofunk","  2"
"704","guenumans","  2"
"1056","lafibradei","  2"
"1070","sebastiancaiceo","  2"
"1175","nosoyjuan","  2"
"1244","verolow_","  2"
"1410","rivassantin","  2"
"1561","ashlymarion","  2"
"1612","cneryda","  2"
"1829","d1egorojo","  2"
"2068","feusach","  2"
"2099","javigarridoc","  2"
"2164","jcoulon","  2"
"2311","confelareina","  2"
"2970","menesesfab","  2"
"3115","segonzalezg","  2"
"3117","jlgallardo","  2"
"3121","wilson_f_c","  2"
"3135","lore_burgos","  2"
"3142","_maripa","  2"
"3143","escorpiored1974","  2"
"3163","m_agt_6","  2"
"3182","piamontealegre","  2"
"3183","acua03","  2"
"3187","emiliamalig","  2"
"3192","maikol_","  2"
"3235","karlaximena17","  2"
"3248","kiplingchile","  2"
"3253","chinyviscay","  2"
"3254","berniap","  2"
"3255","marcelalopezg","  2"
"3263","loreniri","  2"
"3274","david_molina_","  2"
"3276","javconsaa","  2"
"3277","mco_weichafe","  2"
"3289","sita_mini","  2"
"3291","macaguillen","  2"
"3292","pmarambio","  2"
"3294","vistorio","  2"
"3295","cote_sovino","  2"
"3296","diegobustosw","  2"
"3299","aaristegui","  2"
"3304","elxedder","  2"
"3305","ptno","  2"
"3306","isaicaza","  2"
"3311","mvarelaf","  2"
"3320","jcl","  2"
"3321","supernicol","  2"
"3323","siempreencontra","  2"
"3324","carlosgonma","  2"
"3331","pamitazavala","  2"
"3335","riospaniagua","  2"
"3340","josebustamant14","  2"
"3344","topherekiem","  2"
"3349","elrajachucha","  2"
"3351","totofredo","  2"
"3354","encaminocorp","  2"
"3369","mtorresromero","  2"
"3374","sandraazul4","  2"
"3376","jaimeagustin","  2"
"3380","ma","  2"
"3391","locoporcolocolo","  2"
"3398","faurizio","  2"
"3404","monoaries","  2"
"3409","lautarobruhn","  2"
"3416","kekeas","  2"
"3422","fjnicolas","  2"
"3443","luisvalerio11","  2"
"3452","yanay_raymapu","  2"
"3456","yerkoobilinovic","  2"
"3457","monacalamaro","  2"
"3460","fchaccv","  2"
"3464","alebottinelli","  2"
"3466","diegonoguerab","  2"
"3467","sarmiento510","  2"
"3472","alonsoherrera_","  2"
"3476","fabiancastrog","  2"
"3479","rodrigogarayr","  2"
"3486","usagiloli","  2"
"3503","monchex93","  2"
"3504","mt16_","  2"
"3513","javisilva_","  2"
"3516","eldanielmorales","  2"
"3526","jfoncea","  2"
"3527","jfriumallo","  2"
"3529","taniamaturana1","  2"
"3532","jacintamanuela","  2"
"3535","aldani_12","  2"
"3536","semillaluna","  2"
"3537","brionesantonio","  2"
"3539","andresaguirres","  2"
"3547","elblogdeulises","  2"
"3548","gemamolca","  2"
"3553","rodvalencia","  2"
"3558","quevedovicky","  2"
"3561","mwaissbluth","  2"
"3","ccarrillolopez","  1"
"9","ecologistachile","  1"
"12","wladimarti","  1"
"15","mbravomaule","  1"
"19","lauralbornoz","  1"
"22","ivanbar","  1"
"24","msdark","  1"
"26","raven_stability","  1"
"39","noestoy","  1"
"40","clauyara","  1"
"47","fefi_caracci","  1"
"48","kakofrox","  1"
"52","mipascal","  1"
"81","estebanarasi","  1"
"97","masterifr","  1"
"101","coonstanz","  1"
"105","uchii_pa","  1"
"118","pauladelafu","  1"
"140","jhoako23","  1"
"141","palomita_ita","  1"
"147","ulriksen_r","  1"
"163","aleramoscano","  1"
"175","zuargo","  1"
"286","misabel19","  1"
"291","canal_chile","  1"
"324","fampago","  1"
"360","1081osorno","  1"
"395","andrea_thno","  1"
"407","marcelo_vasquez","  1"
"423","paulotenino","  1"
"508","carcamofelipe","  1"
"598","universitecl","  1"
"653","copeticoto","  1"
"730","letaquin","  1"
"761","mariellines","  1"
"856","payowa","  1"
"914","pavlosky4","  1"
"964","claester","  1"
"978","papurri_pop","  1"
"1067","jcandianeira","  1"
"1120","guilleceverio","  1"
"1141","zakudido","  1"
"1184","camuxa","  1"
"1198","tinamodotti71","  1"
"1216","sebagamboa_","  1"
"1235","lolypalquenolee","  1"
"1255","ratioessendi","  1"
"1264","tremeitor","  1"
"1285","buggynight","  1"
"1297","luislarrainlyd","  1"
"1310","rorronazzal","  1"
"1332","pam_arq","  1"
"1357","phansha_kyf","  1"
"1430","robscullionbuck","  1"
"1479","d0nfil0fi0","  1"
"1506","carvallo58","  1"
"1510","javiunchi","  1"
"1539","mario_ramon","  1"
"1581","jaimelabra","  1"
"1586","elyglezm","  1"
"1608","jrzv68","  1"
"1670","cami_carrascoh","  1"
"1674","josecoronado_","  1"
"1721","aliochdelasott","  1"
"1949","nicoescobar_","  1"
"2035","pavlabc","  1"
"2037","caroxespinoza","  1"
"2058","lusr20","  1"
"2065","tereelimontero","  1"
"2109","leocandianeira","  1"
"2156","cpulgarpinaud","  1"
"2272","carmen_hertz","  1"
"2300","jpabloperezf","  1"
"2338","maluchayallego","  1"
"2422","idiottwins","  1"
"2458","nikodelpuerto","  1"
"2459","clapeca","  1"
"2468","jolorca","  1"
"2566","marilynvolpi","  1"
"2751","claudiacecili24","  1"
"2770","floresnatalie","  1"
"2803","aleclandestino","  1"
"2858","artecanal","  1"
"2862","anonopshispano","  1"
"2939","radio_tierra","  1"
"2945","karen_66","  1"
"2953","mabelpau","  1"
"3149","camilovillagran","  1"
"3157","331nico","  1"
"3167","itakachile","  1"
"3173","jesshupat","  1"
"3176","cafpfinisterrae","  1"
"3193","mattacerna","  1"
"3195","dvdvm3","  1"
"3199","rolohl","  1"
"3203","dolguin","  1"
"3216","tomasoski","  1"
"3218","carlatia","  1"
"3219","ras_silva","  1"
"3220","maltrecha","  1"
"3221","ca6ttl","  1"
"3224","18tano","  1"
"3225","blancalewin","  1"
"3226","cotecumplido","  1"
"3228","_carlosmolina_","  1"
"3229","mbarreral","  1"
"3231","orfe1973","  1"
"3238","cococontre","  1"
"3242","jjosemanuel","  1"
"3243","krivera_uls","  1"
"3244","cbrenett","  1"
"3245","vickyherbst","  1"
"3246","felipdelgadillo","  1"
"3249","valpoteamo","  1"
"3251","niurkacalderon","  1"
"3252","patakatete","  1"
"3256","el_institutano","  1"
"3258","kanishxc","  1"
"3260","clauvas68","  1"
"3261","armario_podcast","  1"
"3264","exfiona","  1"
"3266","camachopeca","  1"
"3267","payasalucinogen","  1"
"3269","geraldinedolo","  1"
"3270","tierrarevuelta","  1"
"3279","veritoch","  1"
"3280","flaiteilustrado","  1"
"3282","__gonz","  1"
"3283","halunkevalnor","  1"
"3284","sobrexposicion","  1"
"3288","baleri_","  1"
"3290","peachehiv","  1"
"3293","alvaropruneda","  1"
"3298","adiccionxjoonas","  1"
"3300","elfelipetorres","  1"
"3302","vitovaldivielso","  1"
"3303","monvely","  1"
"3307","franci_osorio","  1"
"3308","fonchicl","  1"
"3310","mmorilla","  1"
"3316","devitacura","  1"
"3317","diegriquelm","  1"
"3318","cami_salasramos","  1"
"3322","le_mandril","  1"
"3325","fsrojas","  1"
"3326","mutan_09","  1"
"3328","foxylady_","  1"
"3329","elfo","  1"
"3336","eisubversivo","  1"
"3338","_eduardoa_","  1"
"3339","sebeats_","  1"
"3341","cheojaque","  1"
"3342","ceppdi","  1"
"3343","ngelamoreira","  1"
"3346","panxosolis","  1"
"3347","elxshiko2011","  1"
"3350","larutadelmambo","  1"
"3352","remediopalament","  1"
"3355","mvalderrama303","  1"
"3356","frandetierra","  1"
"3357","after_all_","  1"
"3359","zurdologo","  1"
"3360","amag2010","  1"
"3362","alex_elpianista","  1"
"3363","ren_reis","  1"
"3364","ichiblake","  1"
"3365","at_suez","  1"
"3366","comacronico","  1"
"3367","ivanchin_05","  1"
"3368","nueva_agenda","  1"
"3371","fernastro","  1"
"3373","pinkampage2","  1"
"3375","felk99","  1"
"3378","lameeculo","  1"
"3379","patronicarla","  1"
"3381","pipoignacio","  1"
