"","user","degree"
"119","manecolombia","640"
"23","indignateco","138"
"109","visteycalza"," 42"
"786","ivanogelabe"," 27"
"26","comunicauca"," 21"
"673","pipebrave"," 21"
"123","hekatombe"," 20"
"767","esopino"," 19"
"43","yoligrilla"," 17"
"751","phumano"," 17"
"664","confidencialcol"," 14"
"769","macarenazoo"," 12"
"781","seguracam"," 12"
"667","elespectador"," 11"
"725","camikant"," 11"
"39","sebastian9206","  8"
"774","andrescvg","  8"
"86","galvinho11","  7"
"670","prensaestudiant","  7"
"737","cpulgarpinaud","  7"
"35","elpayanes","  6"
"597","sibeluixlcd","  6"
"672","opanoticias","  6"
"683","clau_1919","  6"
"34","hughe182","  5"
"192","andressan","  5"
"248","carcamofelipe","  5"
"661","lorestalromance","  5"
"697","ebcl","  5"
"51","christiancanoc","  4"
"323","kmilo","  4"
"552","juanslopezm","  4"
"658","charlishaten","  4"
"680","subcantante","  4"
"689","diangoar","  4"
"700","natimovi","  4"
"712","lylietha","  4"
"716","sebasvalencia4","  4"
"753","juanespain","  4"
"785","algotipico","  4"
"10","mandy_julietha","  3"
"31","rodrigocruzhz","  3"
"48","sebastianmolin","  3"
"49","anny2109","  3"
"328","polichiinela","  3"
"359","stevenaball","  3"
"632","karloz_kmpoz","  3"
"639","lordpipe","  3"
"641","maomen21","  3"
"668","carloscuentero","  3"
"691","cjosuperioruam","  3"
"701","payamaya","  3"
"705","alecarvajal","  3"
"776","isappa","  3"
"779","cabralita","  3"
"21","mjalarconn","  2"
"27","arttesano","  2"
"42","andrema92","  2"
"54","lauraca93","  2"
"57","jecruzo","  2"
"63","cronopiando","  2"
"67","nataly_asher","  2"
"203","lapopularmusic","  2"
"212","sincelejo_","  2"
"337","futbolrebelde","  2"
"570","lu_miranda","  2"
"608","yilmg6","  2"
"618","ottoreyes","  2"
"656","alvaroforero03","  2"
"662","pipe92pg","  2"
"665","zoomcanal","  2"
"674","crissedw7","  2"
"682","chechobarraza","  2"
"684","nubia2481","  2"
"688","milocamilomc","  2"
"692","camilacarcamog","  2"
"696","lasha_92","  2"
"698","wally_social","  2"
"713","eltiempo","  2"
"719","elespectadorcom","  2"
"720","comunistamexico","  2"
"721","abc_foundation","  2"
"723","pipegris","  2"
"728","nacri_caos","  2"
"744","javiermv88","  2"
"748","flakamh","  2"
"759","veritoch_","  2"
"768","topin_","  2"
"787","vereda_estreita","  2"
"799","jairoriverah","  2"
"807","ncortiz","  2"
"55","inconformestoy","  1"
"59","ivanogelabert","  1"
"79","deisyviento","  1"
"92","marxismo_cl","  1"
"139","ginniasa","  1"
"158","esteban930611","  1"
"161","ca_liur","  1"
"178","1800argumentos","  1"
"202","fepavoice","  1"
"215","nanap21","  1"
"278","camilopinzon_91","  1"
"356","stevendemonmc","  1"
"398","pameulrika","  1"
"445","camilorey12","  1"
"463","fernandaohsi","  1"
"512","maantgonz","  1"
"532","ditec912","  1"
