"","user","degree"
"646","camila_vallejo","320"
"8","happyciclistas","284"
"273","mfc_oficial"," 85"
"447","ciclopatagonia"," 62"
"15","bicicultura"," 47"
"30","sebagamboa_"," 30"
"14","heavyciclistas"," 27"
"373","feusach"," 26"
"664","vidaoutdoor"," 24"
"157","cami_carrascoh"," 23"
"633","sentidoscomunes"," 23"
"255","ciclistaseduc"," 18"
"665","twittsejera"," 15"
"275","sgiacaman"," 14"
"652","sboric"," 12"
"532","gonzalogarcia71"," 11"
"647","barrocoaustral","  8"
"236","maqmaravillosa","  7"
"237","claudiovillar","  7"
"250","dhiro73","  7"
"667","sebastiancaiceo","  7"
"16","hreynoldsn","  6"
"100","movimientosurda","  6"
"136","ierrazuriz_","  6"
"571","gabrielboric","  5"
"617","gespinosaa","  5"
"588","sebucha","  4"
"76","trev1ze","  3"
"653","steve_sk8","  3"
"654","leon_usach","  3"
"673","panchofigueroa","  3"
"675","patiaraya","  3"
"23","felix_liberona","  2"
"218","quevedovicky","  2"
"301","miguegonzalezc","  2"
"323","chikoandres","  2"
"380","pedalealoco","  2"
"623","eljotape","  2"
"626","patocioso","  2"
"639","frankanovoa","  2"
"640","galfonmolina","  2"
"655","oets93","  2"
"656","astorgapablo","  2"
"660","jtlabarca","  2"
"662","sebavielmas","  2"
"668","chic_malakian","  2"
"672","la_fech","  2"
"677","calderon_lopez","  2"
"1","the_chileanway","  1"
"20","lvera50","  1"
"29","mattacerna","  1"
"217","marcelomena","  1"
"284","efren_osorio","  1"
"305","tvparachile","  1"
"466","clauditapss","  1"
"469","theriddle3","  1"
"540","vivelabici","  1"
"552","macletas","  1"
"597","vashneo","  1"
"634","jota_unrc","  1"
"648","morales_ravest","  1"
"649","inti_illimani","  1"
"650","pelaorodrigorc","  1"
"651","lukasberredo","  1"
"657","colivos17","  1"
"658","mjimenez90","  1"
"659","caroperezd","  1"
"661","32bernardo","  1"
"663","cafpfinisterrae","  1"
"666","patomancillal","  1"
"669","pablosolist","  1"
"670","librosbuendia","  1"
"671","juan_itoandres","  1"
"674","pedaleaxlacalle","  1"
"676","felic_el_gato","  1"
"678","laultimapapita","  1"
"2","claudio_a41","  0"
"3","kineDRstrings","  0"
"4","claubarattini","  0"
"5","gastonarroyof","  0"
"6","EJoseluisDiaz","  0"
"7","mfuchsh","  0"
"9","LalaVallejos","  0"
"10","Nosotrasalpedal","  0"
"11","rschwarzenbergs","  0"
"12","loliaossandon","  0"
"13","Racontreras","  0"
"17","Naturali","  0"
"18","BerniJofre","  0"
"19","AmphleT","  0"
"21","AledeValpito","  0"
"22","Pedaleaxlacalle","  0"
"24","gzohm","  0"
"25","dtapiamendez","  0"
"26","HernanRadical","  0"
"27","edgardolazo","  0"
"28","vinorkmen","  0"
"31","SDonoso_","  0"
"32","nikokren","  0"
"33","StgDespierta","  0"
"34","FEUTEM","  0"
"35","pipe10389","  0"
"36","CristianMarclo","  0"
"37","MovilizateChile","  0"
"38","MatiasTL_","  0"
"39","Martinezebestia","  0"
"40","prensaopal","  0"
"41","saboteamos","  0"
"42","niesvanrohe","  0"
"43","sebodroc0299","  0"
"44","22031967","  0"
"45","PedaleaCl","  0"
"46","lokogbpedro","  0"
"47","gamboa_maricel","  0"
"48","juanseapi","  0"
"49","bastifelipe23","  0"
"50","robertoschott","  0"
"51","locault","  0"
"52","WillyGaray","  0"
"53","JuanSolaligue","  0"
"54","cribarria","  0"
"55","isonauta","  0"
"56","CamiBeta","  0"
"57","DupaYates","  0"
"58","MaxsandMax","  0"
"59","Monica01Parra","  0"
"60","IzquierdaActiva","  0"
"61","Crisarriagada","  0"
"62","fran__monte","  0"
"63","vasquezclaudio","  0"
"64","ConstanzaFranz","  0"
"65","Kedoms","  0"
"66","sitac57","  0"
"67","martinalvarezm","  0"
"68","lunaanais","  0"
"69","Karibuj","  0"
"70","javitthaminaj","  0"
"71","catalittin","  0"
"72","vfuentesbascur","  0"
"73","yonocuentotodo","  0"
"74","719flor","  0"
"75","fpipe87","  0"
"77","Mayafernandeza","  0"
"78","ignacioolguin","  0"
"79","monicmar68","  0"
"80","moncho_127","  0"
"81","jasal19jas","  0"
"82","yadivalenzuela_","  0"
"83","sergioicastillo","  0"
"84","xButterflyJB","  0"
"85","MarraquetaCafe","  0"
"86","ebixito","  0"
"87","diazdegortari","  0"
"88","Gin_Yerel","  0"
"89","madmanuu","  0"
"90","gvillanueva2012","  0"
"91","gurrutiar","  0"
"92","nelsonjrb","  0"
"93","gringoviejo2000","  0"
"94","danieljadue","  0"
"95","jroblesc","  0"
"96","rcamargo11","  0"
"97","carvallo58","  0"
"98","Mariii_Hunter","  0"
"99","chaconubac","  0"
"101","awdreiita","  0"
"102","Techouna69","  0"
"103","mscilabra","  0"
"104","ignaciabieber95","  0"
"105","mabealci","  0"
"106","rod_herrera","  0"
"107","Pipox3","  0"
"108","Chivy7","  0"
"109","Lucho__21","  0"
"110","alfonsocalisto","  0"
"111","gonzalofiguero","  0"
"112","miztlariel","  0"
"113","paulinasolis","  0"
"114","AljandraRios","  0"
"115","JavierAmaranta","  0"
"116","CxFabrega","  0"
"117","camilarancibia","  0"
"118","rayonahuel","  0"
"119","yarekar_p","  0"
"120","jerryelrasposo","  0"
"121","MalegriaRoja","  0"
"122","hriospe","  0"
"123","uam854","  0"
"124","Rapeco42","  0"
"125","Rafa_Pizarro18","  0"
"126","Cerlimcar","  0"
"127","magdalenavd","  0"
"128","duranaca","  0"
"129","Zoe_Basso","  0"
"130","xcycowayx","  0"
"131","cralro","  0"
"132","KteAraya","  0"
"133","heychilly","  0"
"134","LunaMorales","  0"
"135","pablito_ruiz","  0"
"137","ricardo108","  0"
"138","fmgopar","  0"
"139","camibanez","  0"
"140","marchello_77","  0"
"141","Juancra95","  0"
"142","urbavista2010","  0"
"143","JorgeRojasEcon","  0"
"144","dannielsam","  0"
"145","aluucyparamore","  0"
"146","patricio_jose","  0"
"147","Pekita_Mocha","  0"
"148","anbarrerae","  0"
"149","misspartes","  0"
"150","la_evex","  0"
"151","tahysg","  0"
"152","camguerra_","  0"
"153","rod_naranjo","  0"
"154","andreslorusso","  0"
"155","oscarespinoza91","  0"
"156","Campionline","  0"
"158","ivanauta","  0"
"159","siconauta","  0"
"160","valegrez","  0"
"161","Clausalidad","  0"
"162","lfgarciac","  0"
"163","AlecBaldwin_W","  0"
"164","margaritpastene","  0"
"165","paulette_pem","  0"
"166","PoetaPatagon","  0"
"167","erialberto1","  0"
"168","CarlaGomJu","  0"
"169","aztecadani","  0"
"170","monodarwinista","  0"
"171","eclopezm","  0"
"172","JuanIgnaciooE","  0"
"173","vdmvidal","  0"
"174","sandrapaoC","  0"
"175","talijofre","  0"
"176","aptsk","  0"
"177","BrendaMonjes","  0"
"178","Pablosolist","  0"
"179","L4V4ND4LO","  0"
"180","romero7x","  0"
"181","ChrisLopez_2015","  0"
"182","neurofox","  0"
"183","_BlueDragonfly","  0"
"184","carlosluis1518","  0"
