"","user","degree"
"169","twittsejera","24"
"165","tomalafacultad","15"
"20","naupuc","11"
"76","espantachuncho"," 9"
"159","cami_carrascoh"," 8"
"179","felipeignaciogr"," 8"
"66","sebastiancaiceo"," 7"
"176","awkaweche"," 7"
"190","sebagamboa_"," 7"
"166","marcelamomberg"," 6"
"167","_mimar"," 6"
"174","_hars_"," 6"
"187","juliostark"," 6"
"171","pandorolof"," 5"
"1","emiliamalig"," 4"
"175","elenpat18"," 4"
"177","feusach"," 4"
"184","1524patricia"," 4"
"2","nuestrocanto"," 3"
"162","jiyanez"," 3"
"164","gabrielboric"," 3"
"168","bernardo_oax"," 3"
"180","emedeche"," 3"
"181","cantante_calva"," 3"
"193","ja_mrtnz"," 3"
"6","nitrojorjo"," 2"
"170","miltambores"," 2"
"173","movimientosurda"," 2"
"183","fran_gmorgado"," 2"
"189","guilleceverio"," 2"
"8","tvparachile"," 1"
"45","sboric"," 1"
"52","vicherrema"," 1"
"67","ditomunozz"," 1"
"89","ierrazuriz_"," 1"
"124","anticapi"," 1"
"130","u_informado"," 1"
"156","pcuellarb"," 1"
"161","mysickness"," 1"
"163","_anixens"," 1"
"172","sebhaff"," 1"
"178","cristobalgodoyv"," 1"
"182","papurri_pop"," 1"
"185","hiocariz"," 1"
"186","la_fech"," 1"
"188","covalle1969"," 1"
"191","gerberp47"," 1"
"192","valdesblanca"," 1"
"194","marjoriecuello"," 1"
"195","recarex"," 1"
"3","AlonsoQuevedo"," 0"
"4","RubilarCatalina"," 0"
"5","MutanRashen"," 0"
"7","canabalon"," 0"
"9","MovilizateChile"," 0"
"10","Dexter_25"," 0"
"11","DrNemmo"," 0"
"12","AleMundacaB"," 0"
"13","nanitamm"," 0"
"14","kenaes"," 0"
"15","fernandoavilag"," 0"
"16","IEEPOOficial"," 0"
"17","flakita090909"," 0"
"18","nacho_oliva"," 0"
"19","nemu8"," 0"
"21","fireyesr"," 0"
"22","CACB_UC"," 0"
"23","sebavielmas"," 0"
"24","alefdezf"," 0"
"25","felolagos"," 0"
"26","nicodelcanto"," 0"
"27","plherrera"," 0"
"28","MatiasTL_"," 0"
"29","frambuezza"," 0"
"30","MatiasLarroulet"," 0"
"31","Huasopuc"," 0"
"32","CataPoblete05"," 0"
"33","parguaman"," 0"
"34","MattyLL"," 0"
