"","user","degree"
"52","barrocoaustral","1018"
"153","sentidoscomunes"," 541"
"1387","inti_illimani"," 428"
"12","sboric"," 416"
"128","maneriquelme"," 250"
"3744","dmanoucheri"," 225"
"4206","camila_vallejo"," 210"
"7886","hectormorals"," 200"
"2482","flaitechileno"," 189"
"442","carcamofelipe"," 180"
"382","cpulgarpinaud"," 163"
"2721","jjcc_chile"," 155"
"338","pandorolof"," 153"
"4293","renenaranjo"," 149"
"94","guenumans"," 143"
"2210","vilmafloressoto"," 142"
"3241","difamadores"," 142"
"811","elquintopoder"," 122"
"735","gabrielboric"," 116"
"557","tvparachile"," 107"
"371","toledo_campos"," 105"
"863","biobio"," 103"
"460","illapu","  98"
"48","arriagadabizaca","  94"
"4156","manuel_guerrero","  94"
"110","ginniasa","  93"
"783","rvfradiopopular","  91"
"121","clau_1919","  87"
"127","osvaldoaravena","  87"
"1503","ferurre","  86"
"2633","oposicionpinera","  83"
"7900","ivanexxx69","  83"
"76","frannajoes","  82"
"1005","mariseka","  77"
"8651","diegoureyes","  76"
"2262","jchains5150","  71"
"7987","movimientosurda","  71"
"7873","marcoporchile","  69"
"117","trabajo_chile","  68"
"8035","decanamedicina","  67"
"8060","elterribledios","  66"
"7788","claudio","  60"
"8504","democraciareal","  60"
"339","motacrack","  58"
"6243","elconejorojo","  57"
"8237","valdivianos","  57"
"96","mpdpsicocirco","  52"
"432","reinaldolope","  52"
"75","ditomunozz","  51"
"97","semiautomatico","  51"
"7921","mautolosa","  49"
"7891","thecliniccl","  48"
"254","karlaximena17","  47"
"488","mauricionv","  47"
"3788","pinkampage2","  46"
"3822","primoya","  46"
"4006","danieljadue","  46"
"35","carlosampuero","  45"
"932","_hexagram_","  43"
"80","espantachuncho","  42"
"2027","bernaic","  41"
"7889","pcayuqueo","  41"
"8675","rfuchslocher","  41"
"1442","florcitamotuda","  37"
"2256","elciruela","  37"
"7957","intihistorico","  37"
"155","anngiemendoza","  35"
"2293","felipeherrerah","  35"
"3975","yokito1978","  35"
"1382","uchilecineteca","  34"
"7589","zippoaries","  34"
"7592","leivarojas","  34"
"8681","malaimagen","  34"
"73","javiparada","  33"
"221","vale23","  33"
"337","pecatore","  32"
"1341","mattacerna","  32"
"3221","dmlynarz","  32"
"4630","juanucolautaro","  32"
"7794","pazpena","  32"
"118","pedrodvaldivia","  31"
"3745","pedroruminot","  31"
"7753","mxahoraonunca","  31"
"2457","piratalucky","  30"
"5164","eustaquioperez","  30"
"7883","el_dinamo","  30"
"283","sebavalenzuelam","  29"
"879","pcuellarb","  29"
"1124","ccp_movilizada","  29"
"3119","orozkista","  29"
"7871","milla_viera","  29"
"9151","manolod13","  29"
"399","piars","  28"
"945","jobecerra","  28"
"9102","saboteamos","  28"
"9201","franciscamusic","  28"
"72","simonaxm","  27"
"3550","davidacc","  27"
"5687","panchozambranoc","  27"
"217","marcelogodoyg","  26"
"374","pita_diaz","  26"
"2357","alejandritaflo","  25"
"2877","1800hrs","  25"
"2989","laotravoz","  25"
"7950","el_alexis","  25"
"309","colomba_blue","  24"
"1467","camiloriffo","  24"
"8117","jchainss515o","  24"
"8474","ventanaopasillo","  24"
"1516","elchascas","  23"
"5556","youngvictoria16","  23"
"8014","estuche","  23"
"61","radicalyfeliz","  22"
"5381","link_anarquista","  22"
"99","brionesantonio","  21"
"334","ivanacarrasco","  21"
"1444","mixsodareloaded","  21"
"8049","juanolivares9","  21"
"8628","matiascifuentes","  21"
"8629","panchajlv","  21"
"8647","goyarzun","  21"
"5446","jignacioolave","  20"
"8409","dilemas","  20"
"3125","1800argumentos","  19"
"3809","amaranto69","  19"
"5183","quichyb","  19"
"8329","lavitamina","  19"
"50","verde_olivo","  18"
"112","pilarangelang","  18"
"199","marilynpoblete","  18"
"448","jesicaba","  18"
"2567","universitecl","  18"
"8298","simenon","  18"
"8719","cuamsamblea132","  18"
"208","gaspar4334","  17"
"478","sbricenob","  17"
"2026","gmobastias","  17"
"7630","pattalrringo","  17"
"7712","onegalone","  17"
"8015","pelaorodrigorc","  17"
"323","sebastiancaiceo","  16"
"541","patana","  16"
"1050","salewsky","  16"
"2199","ncortiz","  16"
"2239","nolesvoteschile","  16"
"5591","lasultimas","  16"
"5911","emeieleaa","  16"
"7915","vbascur","  16"
"8198","miguelgaraym","  16"
"321","anonchilean","  15"
"422","pazvictoriacl","  15"
"423","dhiro73","  15"
"2519","incubolica","  15"
"3085","clauyara","  15"
"8352","nicodelmastro","  15"
"154","violeta_bsas","  14"
"361","pablodiazdelrio","  14"
"2147","dauphine__","  14"
"4011","aharambour","  14"
"7944","cuevaspato","  14"
"8079","algohuelemal_cl","  14"
"8108","claucebb","  14"
"8200","citurrietad","  14"
"375","pamdavinci","  13"
"1150","cami_carrascoh","  13"
"3116","joseonavarro","  13"
"3179","fpairo","  13"
"6180","ronell","  13"
"6983","karenglavic","  13"
"8389","cacerolachilena","  13"
"9075","hijadelrayo","  13"
"33","javivillalobosc","  12"
"136","ale_gonzale","  12"
"343","gpelizarraga","  12"
"409","gc_marines","  12"
"708","jaimegajardo","  12"
"1216","vargsvillalobos","  12"
"1532","maldocris76","  12"
"1884","esopino","  12"
"2041","bovedasdeacero","  12"
"4005","cut_copy_","  12"
"4278","albohemio","  12"
"6186","maluchayallego","  12"
"6206","noesnalaferia","  12"
"8061","pablorebolledo","  12"
"8063","edufu__","  12"
"8093","sarmiento510","  12"
