"","user","degree"
"122","el_dinamo","96"
"3","elchedelosgays"," 8"
"129","insu_democrata"," 6"
"120","anefchile"," 4"
"131","miguelgaraym"," 4"
"136","papurri_pop"," 3"
"126","pgselles"," 2"
"133","ecovago"," 2"
"1","ebcl"," 1"
"20","locault"," 1"
"31","pabloteillier"," 1"
"123","claester"," 1"
"124","aalegred"," 1"
"125","camila_mard"," 1"
"127","vale23"," 1"
"128","pecatore"," 1"
"130","aimanen"," 1"
"132","fransamo"," 1"
"134","roanbaros"," 1"
"135","saezps"," 1"
"137","rociopazpizarro"," 1"
"138","rotarola"," 1"
"139","vamosdenuevo"," 1"
"2","Nativomartinez"," 0"
"4","rpecori"," 0"
"5","hernanpacheco"," 0"
"6","Cconmemoria"," 0"
"7","arielinho07"," 0"
"8","SebaGodoyElguet"," 0"
"9","IturrietaR"," 0"
"10","pavilar01"," 0"
"11","RubnVilches"," 0"
"12","SSATYR"," 0"
"13","karestroika"," 0"
"14","Jessus_Enrique"," 0"
"15","wuallon"," 0"
"16","TaniaVojkovicC"," 0"
"17","wtfseba"," 0"
"18","MatiJofre"," 0"
"19","Marianopalma"," 0"
"21","hugosolar"," 0"
"22","esodalomismo"," 0"
"23","ulriksen_r"," 0"
"24","paulaelisamd"," 0"
"25","tusy_vo"," 0"
"26","Selegna_Sil"," 0"
"27","jtgazmuri"," 0"
"28","Mozaico125"," 0"
"29","creepincita"," 0"
"30","Lobo__Stepario"," 0"
"32","JuanitoEfectivo"," 0"
"33","Mirsalis"," 0"
"34","PatriciaDonoso"," 0"
"35","yoopino_dtodo"," 0"
"36","KarlaSkittle"," 0"
"37","BPulidoSalinas"," 0"
"38","joaquinmayorga"," 0"
"39","thammyta_"," 0"
"40","mae_jica"," 0"
"41","vvillacastro"," 0"
"42","constantinogue"," 0"
"43","LuzPatriciaLeal"," 0"
"44","DanielMartinezM"," 0"
"45","generacion80"," 0"
"46","gonzalovarelaj"," 0"
"47","bian__k"," 0"
"48","nofakelambs"," 0"
"49","ProfeRama"," 0"
"50","marisellacm"," 0"
"51","la_Fech"," 0"
"52","ivanauta"," 0"
"53","LaHuerfa_Anita"," 0"
"54","Hecgonq"," 0"
"55","RocioBenvenuto"," 0"
"56","graciamanisha"," 0"
"57","OvejjaPerdida"," 0"
"58","Benjaminp11"," 0"
"59","crammsyg"," 0"
"60","Movilizatecl"," 0"
"61","karoleishon"," 0"
"62","duranrivera"," 0"
"63","pamoca_cl"," 0"
"64","Mr_Chalo"," 0"
"65","LaConstantini"," 0"
"66","spangpolitik"," 0"
"67","24hNOinforma"," 0"
"68","fender_isa"," 0"
"69","Lsanmar13"," 0"
"70","Ta_m_my"," 0"
"71","gota_chalo"," 0"
"72","pancholamatta"," 0"
"73","marxismo_cl"," 0"
"74","kikestofeles"," 0"
"75","metrocio"," 0"
"76","TecnoFury"," 0"
"77","AledeValpito"," 0"
"78","Eljanovega"," 0"
"79","Castelli_Pia"," 0"
"80","feaguilarlorca"," 0"
"81","Santi_Camila18"," 0"
"82","MFernandaAzocar"," 0"
"83","MladenYopoHerre"," 0"
"84","DegRearte"," 0"
"85","petiforra"," 0"
"86","nachoaguila"," 0"
"87","ARISCHILLAN"," 0"
"88","Jajaviermore"," 0"
"89","Feuc"," 0"
"90","nicole_cid"," 0"
"91","derkhazar"," 0"
"92","francover"," 0"
"93","_kagemusha_"," 0"
"94","ohcecy"," 0"
"95","MarioMoya1976"," 0"
"96","Foroactualidad"," 0"
"97","Ignacia013"," 0"
"98","nelson_20ALVRZ"," 0"
"99","danathur"," 0"
"100","eldanizp"," 0"
"101","JaavieraMora"," 0"
"102","estoessimple1"," 0"
"103","fpipe87"," 0"
"104","QuenneAitken"," 0"
"105","evillagranm"," 0"
"106","Anitalavaya"," 0"
"107","AmphleT"," 0"
"108","LaVeroMolina"," 0"
"109","Sannypasten"," 0"
"110","BUBINA2"," 0"
"111","carlanga6818"," 0"
"112","dreadlokoos"," 0"
"113","incon3xo"," 0"
"114","PuruSergio"," 0"
"115","romanmuzzi"," 0"
"116","claudiapoduje"," 0"
"117","JuanPablo2907"," 0"
"118","jivial"," 0"
"119","CataSzigeti"," 0"
"121","karinabazar"," 0"
