"","user","degree"
"13","sentidoscomunes","28"
"31","raecheco","14"
"82","ramonmarcos","11"
"81","asambleaecuador","10"
"80","camtor007"," 9"
"44","jordanth1"," 7"
"2","udeca"," 3"
"48","salpegu"," 3"
"49","diegogg"," 3"
"83","anuardager"," 3"
"38","naupuc"," 2"
"77","uxueetxebeste"," 2"
"72","alcorlebeta"," 1"
"75","iusfilosofo"," 1"
"76","valenzuelalevi"," 1"
"78","cmgorriagan"," 1"
"79","que_hacen"," 1"
"84","cristortu"," 1"
"1","Catiwi"," 0"
"3","NoamTitelman"," 0"
"4","GerArr_"," 0"
"5","maidenchelas"," 0"
"6","rorro_didas"," 0"
"7","osvaldoyanez"," 0"
"8","ylaotramitad"," 0"
"9","FernandoSegundo"," 0"
"10","Cosmonaut_Moz"," 0"
"11","alesansan"," 0"
"12","dhiro73"," 0"
"14","ncortiz"," 0"
"15","quill0tan0"," 0"
"16","NicoFigueroa"," 0"
"17","susanytalynda"," 0"
"18","EineKlaine"," 0"
"19","CristianXe"," 0"
"20","Saladehistoria"," 0"
"21","jaimekeo"," 0"
"22","FrancisParra"," 0"
"23","kenaes"," 0"
"24","Pedag_Criticas"," 0"
"25","audelino"," 0"
"26","OutVader"," 0"
"27","itziargomez"," 0"
"28","NestorGarciaR"," 0"
"29","koticksam"," 0"
"30","MatiasReeves"," 0"
"32","pecantos"," 0"
"33","fran_acevedo"," 0"
"34","Feuc"," 0"
"35","ManeRiosD"," 0"
"36","ProAccesoChile"," 0"
"37","nacho_oliva"," 0"
"39","phillippe_foix"," 0"
"40","Jochaconaguirre"," 0"
"41","MiaRubi"," 0"
"42","FADAEBalears"," 0"
"43","SandraMerMor"," 0"
"45","jesusgverdugo"," 0"
"46","olganunez"," 0"
"47","eusebiocordoba"," 0"
"50","pepfowzer"," 0"
"51","PilarHerranzluc"," 0"
"52","gumi99"," 0"
"53","EnriqueV01"," 0"
"54","diananis23"," 0"
"55","DipIzquierdaJal"," 0"
"56","Legislometro"," 0"
"57","mavisaab80"," 0"
"58","verorivadeneira"," 0"
"59","patriciovazquz"," 0"
"60","eltiempocuenca"," 0"
"61","UPyD_Asamblea"," 0"
"62","SergioTomas2"," 0"
"63","emilio_daz"," 0"
"64","IESCARLOSBOUSOO"," 0"
"65","ZairaYael"," 0"
"66","Ismael_enb"," 0"
"67","JovenesconPozos"," 0"
"68","Miguel_Pech88"," 0"
"69","veroasambleista"," 0"
"70","Imbabura1"," 0"
"71","CheReencarnado"," 0"
"73","tctvwcuevapa"," 0"
"74","AlexisAsamblea"," 0"
