"","user","degree"
"1174","camila_vallejo","351"
"40","mwaissbluth","177"
"1182","lafundacionsol","145"
"1167","gmunozstuardo"," 74"
"842","reinaldolope"," 56"
"1189","marcoporchile"," 45"
"64","daemparral"," 36"
"1200","educacion2020"," 34"
"492","kuka1812"," 28"
"1054","copano"," 26"
"6","s_saavedra"," 24"
"1187","elquintopoder"," 23"
"557","domitetzner"," 18"
"1197","sentidoscomunes"," 18"
"1299","danirslz"," 18"
"30","jinostro"," 16"
"57","ginniasa"," 16"
"818","mquiero"," 16"
"23","rvillegash"," 14"
"1179","dhojman"," 14"
"1168","dmanoucheri"," 13"
"452","superarpobreza"," 11"
"961","raecheco"," 11"
"1256","fbaezurbina"," 10"
"60","marioorellanag","  9"
"108","l_na7","  9"
"665","cami_carrascoh","  9"
"1053","feusach","  9"
"1118","elwerne","  9"
"1227","mcanepa","  9"
"20","vlatorre","  8"
"1171","andreabuccioni","  8"
"1172","hectormorals","  8"
"1231","aconcz","  8"
"19","fdialoga","  7"
"1177","el_dinamo","  7"
"1183","radiozero977","  7"
"1191","ciudadanoi","  7"
"1203","cn_castro","  7"
"1228","nacholira","  7"
"1289","patoprotester","  7"
"25","loreleymv","  6"
"26","lacesia","  6"
"1239","nduchamp","  6"
"1255","c_quinzacara","  6"
"1269","elayllu","  6"
"17","jerkoelcangrejo","  5"
"474","leomoreno14","  5"
"1155","mauricioparral","  5"
"1194","pituxmat","  5"
"1261","tjholt","  5"
"1265","maluchayallego","  5"
"1312","gagutierrezc","  5"
"39","ernymorgan","  4"
"73","felipeignaciogr","  4"
"654","motacrack","  4"
"1121","jany_alvarezg","  4"
"1138","danny_millar","  4"
"1173","usach","  4"
"1181","miguelpaz","  4"
"1199","pepoglatz","  4"
"1202","kraljevich","  4"
"1229","leivarojas","  4"
"1252","valin_sc17","  4"
"1281","jorgecondezan","  4"
"1305","cristangel2","  4"
"93","gabrielboric","  3"
"612","pablacampos","  3"
"1180","hugocabrera","  3"
"1216","giorgiojackson","  3"
"1232","rahumadas","  3"
"1273","powerlesliecl","  3"
