"","user","degree"
"2133","tvn_mauricio","266"
"2174","inti_illimani","146"
"56","sentidoscomunes","140"
"543","elquintopoder","127"
"1803","jaimegajardo"," 80"
"875","votainteligente"," 61"
"177","carcamofelipe"," 59"
"2172","eduarriagadal"," 58"
"2081","nacioncl"," 57"
"2358","javierasuarez"," 51"
"1312","pattalrringo"," 50"
"2146","patopimienta"," 49"
"2140","panchofigueroa"," 48"
"745","guenumans"," 38"
"2203","jtorellana"," 38"
"485","elciruela"," 35"
"2060","thecliniccl"," 32"
"22","nolesvoteschile"," 31"
"325","cpulgarpinaud"," 31"
"2130","cnnchile"," 30"
"2134","hectormorals"," 28"
"2218","manuel_guerrero"," 27"
"1770","jcferrada"," 25"
"2125","carolaurrejola"," 24"
"2250","el_dinamo"," 24"
"2411","azzafran"," 24"
"224","vilmafloressoto"," 23"
"2035","copano"," 23"
"1983","gmanen"," 22"
"2169","rodrigovega"," 22"
"2177","baradit"," 21"
"1909","universitecl"," 20"
"1423","janetnoseda"," 19"
"2285","vakillaintown"," 18"
"2363","iamflaite"," 17"
"2487","valparadiego"," 17"
"2","salvatoreamor"," 16"
"963","fvillad"," 16"
"2383","quilapayun"," 15"
"227","invunche"," 14"
"2270","lordwatermelon"," 14"
"2385","jobecerra"," 14"
"2445","rickburgos"," 14"
"2490","patana"," 14"
"228","visteycalza"," 13"
"944","edsiper"," 13"
"1832","s_pena"," 13"
"1409","solerojas"," 12"
"2156","gabrielboric"," 12"
"136","a_pando"," 11"
"2138","jchains5150"," 11"
"2191","rmaza2008"," 11"
"2499","fantuzziasexma"," 10"
"21","colectivofauna","  9"
"72","carlosampuero","  9"
"2501","joussenmatias","  9"
"2209","peperivasc","  8"
"2283","gpdelarderel","  8"
"2314","nosoyescritor","  8"
"50","gonzalotapia","  7"
"241","sergiovillegas","  7"
"330","barrocoaustral","  7"
"822","anngiemendoza","  7"
"851","marieangesz","  7"
"1014","ceppdi","  7"
"2051","carolinazimend","  7"
"2071","vuranga","  7"
"2308","ecologistachile","  7"
"2310","javier_hd","  7"
"2380","daglaspino","  7"
"2476","anorien_1","  7"
"353","javconsaa","  6"
"640","cibarrag","  6"
"879","unilearnsity","  6"
"1253","com_fech","  6"
"1677","tengochicle","  6"
"2148","alfarias","  6"
"2151","delgueta5","  6"
"2158","maritoandresv","  6"
"2223","hugosoiza","  6"
"2243","soyelcueck","  6"
"2276","jolorca","  6"
"2287","conni_sf","  6"
"2291","laotravoz","  6"
"2351","mariopenailillo","  6"
"2408","growupman","  6"
"2410","lvera50","  6"
"2458","caroaedo","  6"
"2461","james_knox_","  6"
"2465","pedrolivares","  6"
"28","awaissbluth","  5"
"34","yedezma","  5"
"96","caroespi0","  5"
"425","frdyvaldes","  5"
"438","despinoza90","  5"
"922","edugalaz","  5"
"1384","incubolica","  5"
"1558","cristianroco","  5"
