"","user","degree"
"1068","hectorcaldera","222"
"2288","anak14","192"
"2480","alexvzlalibre","164"
"21","flaconauta69"," 92"
"2334","alfonsoconcha"," 72"
"2483","mariseka"," 68"
"95","enrique2009"," 64"
"14","lerida1510"," 63"
"13","andriuna1"," 56"
"103","leandro_paredes"," 52"
"2612","unetenses"," 52"
"1794","com_fech"," 46"
"2490","biobio"," 44"
"23","elchedelosgays"," 41"
"2510","latercera"," 41"
"1632","suberca"," 36"
"1230","inti_illimani"," 34"
"2542","pedrobh95"," 34"
"2229","tomalafacultad"," 33"
"132","ccp_movilizada"," 32"
"50","sebasmanrox"," 30"
"2487","cnnchile"," 29"
"1688","manecolombia"," 28"
"2773","elobservatodo"," 27"
"2426","enpautamega"," 26"
"99","el_institutano"," 25"
"308","riro1999"," 25"
"1638","gabrielboric"," 25"
"2790","soychilecl"," 25"
"2292","mariale_dc"," 23"
"280","marue16"," 22"
"41","donmatas"," 21"
"1415","yokito1978"," 21"
"2518","oposicionpinera"," 21"
"60","dgoeskite"," 20"
"2511","mercuriovalpo"," 20"
"2701","fer_pacita"," 20"
"2342","votainteligente"," 19"
"2522","sentidoscomunes"," 19"
"2524","elcomerciocom"," 19"
"2694","kiikass"," 18"
"1076","jllaulen"," 17"
"2375","nadja_"," 17"
"2476","chavezsincorona"," 17"
"1798","elciruela"," 16"
"2295","liderunox"," 16"
"1787","tjaque"," 14"
"1932","juanrequesens"," 14"
"2756","_italoignacio"," 14"
"2784","salas234"," 14"
"2478","gildatd"," 13"
"2520","oficinaprensapc"," 13"
"2528","seba_araos"," 12"
"2727","nutrimarce_"," 12"
"2805","csanchezrozas"," 12"
"15","patriayo"," 11"
"100","chaameelaa"," 11"
"2417","roperoedgar"," 11"
"2464","ccinfo_ucm"," 11"
"2504","sboric"," 11"
"2515","sebatiano"," 11"
"2556","lourdesubieta"," 11"
"2644","wuallon"," 11"
"2706","vacuna709"," 11"
"2730","mmannett"," 11"
"1167","ginniasa"," 10"
"2388","rubenalexei"," 10"
"2395","jairoriverah"," 10"
"2517","esopino"," 10"
"2606","abuepape2"," 10"
"2736","prod_chileno"," 10"
"114","ruedaveloz","  9"
"1302","feso_oficial","  9"
"1645","red_mivoz","  9"
"1894","ucabistas","  9"
"1930","malditoprotozoo","  9"
"2069","1954candanga","  9"
"2272","daetsid","  9"
"2732","caropaz_","  9"
"2834","carluc90","  9"
"42","phi_foix","  8"
"140","tofranku","  8"
"1508","universitecl","  8"
"2486","salamandravene","  8"
"2513","soyarica","  8"
"2529","jjcc_chile","  8"
"2543","elsurcl","  8"
"2552","jjreye","  8"
"2587","hectd","  8"
"2794","austral_losrios","  8"
"2879","ceciliatoro","  8"
"431","cicutica","  7"
"1975","socializa","  7"
"2494","angela_poblete","  7"
"2496","nacioncl","  7"
"2514","shaiagosin","  7"
"2558","chichita1","  7"
"2567","mariielizz","  7"
"2583","mctte09","  7"
"2616","quetacar","  7"
"2682","marcelodiazd","  7"
"2821","manuelucab","  7"
"89","anngiemendoza","  6"
"1412","gentedelsur","  6"
"1488","anatijoux","  6"
"2345","pablo_zuniga","  6"
"2541","laestrellaiqq","  6"
"2565","dictadura2009","  6"
"2569","alirioangel01","  6"
"2585","gerardomolinab","  6"
"2619","diegozam","  6"
"2652","dsmolansky","  6"
"2726","huella_digital","  6"
"2797","elcaarlooz","  6"
"2806","soniabouzas","  6"
"976","maneriquelme","  5"
"1155","daniboonita","  5"
