"","user","degree"
"678","amnistiachile","823"
"129","yonovotexel","133"
"57","aqui_leo"," 40"
"37","maneriquelme"," 36"
"855","velagrau"," 34"
"854","yessica_yo"," 32"
"8","manuel_guerrero"," 31"
"822","matiasasun"," 20"
"391","ginniasa"," 15"
"206","elquintopoder"," 14"
"806","cami_carrascoh"," 14"
"17","indignadapiola"," 13"
"573","cristianogs"," 11"
"827","mgutiollarzu"," 11"
"21","difamadores","  8"
"497","ccuevasz","  8"
"804","fenasanhueza","  8"
"826","vlatorre","  8"
"814","barrocoaustral","  7"
"18","carolinavalka","  6"
"9","pablogalaz","  5"
"525","simonaxm","  5"
"820","nfacuse","  5"
"846","ml_lilith","  5"
"14","elyglezm","  4"
"30","jsusach","  4"
"515","carvallo58","  4"
"805","ee_morales","  4"
"308","fcoaguayo","  3"
"834","pedrocisternao","  3"
"40","cata_lamatta","  2"
"83","radicalyfeliz","  2"
"234","esopino","  2"
"443","copeticoto","  2"
"651","redclade","  2"
"700","rvfradiopopular","  2"
"705","verde_olivo","  2"
"750","iohansilva","  2"
"823","berna_saa","  2"
"825","carilemu","  2"
"830","trev1ze","  2"
"831","factorabsoluto","  2"
"838","amapola_4_ever","  2"
"840","paulinasolis","  2"
"843","aosoriogalvez","  2"
"844","rsntidasocial","  2"
"850","berniap","  2"
"851","matilde_mendez","  2"
"852","cgonzalezrothen","  2"
"31","jorbritoh","  1"
"96","danielescobar","  1"
"160","ierrazuriz_","  1"
"188","tmsstgo","  1"
"262","libioperez","  1"
"400","jcoulon","  1"
"411","papurri_pop","  1"
"505","efren_osorio","  1"
"816","mario_ramon","  1"
"819","cocabeltran","  1"
"821","pacot23","  1"
"824","diivan88","  1"
"828","solobelisa","  1"
"829","do","  1"
"832","oc_isabel","  1"
"833","denisselive","  1"
"835","sebavielmas","  1"
"836","cataszigeti","  1"
"837","profelopezp","  1"
"839","anaamancay","  1"
"841","juanmorano","  1"
"842","lolita_top","  1"
"845","rodrigojerez","  1"
"847","arpestre","  1"
"848","jorgesanhuezaas","  1"
"849","anibalxcore","  1"
"853","rotarola","  1"
"856","marjoriecuello","  1"
"1","Techouna69","  0"
"2","Racurafael","  0"
"3","spammera66","  0"
"4","LuisaCataldo","  0"
"5","FACTORABSOLUTO","  0"
"6","CuraumaPlacilla","  0"
"7","amperiodista","  0"
"10","aquiestaene","  0"
"11","JorgeChandia","  0"
"12","carlos4252","  0"
"13","vatitres","  0"
"15","Guido_Bravo","  0"
"16","Nino_Mundaca","  0"
"19","fifernand","  0"
"20","Chileokulto","  0"
"22","Tania220Solis","  0"
"23","StgDespierta","  0"
"24","gvergara_","  0"
"25","noxelgrande","  0"
"26","sebagamboa_","  0"
"27","ANKALAO","  0"
"28","eugeniofarias","  0"
"29","jureltipoatun","  0"
"32","FEUTFSM_CC","  0"
"33","Gary_mbb_ubo","  0"
"34","liithoo_z","  0"
"35","ParticipaUach","  0"
"36","nietodelclorero","  0"
"38","pablacampos","  0"
"39","gaspar4334","  0"
"41","_elpadilla","  0"
"42","Estrella16_","  0"
"43","jzavalae","  0"
"44","dmlynarz","  0"
"45","Rodrigofsj","  0"
"46","FelipeParadaM","  0"
"47","emiliamalig","  0"
"48","DuranMaximo","  0"
"49","chileayuda","  0"
"50","pazbartolome","  0"
"51","aranhera","  0"
"52","pablohenny","  0"
"53","tunastart","  0"
"54","Sebinoo","  0"
"55","Chamelo","  0"
"56","Fer_Mranda","  0"
"58","creepincita","  0"
"59","LizamaCris","  0"
"60","obsDDHHcl","  0"
"61","claudiomunozr","  0"
"62","Alvarolo_25","  0"
"63","CarlostSabbath","  0"
"64","klau2007","  0"
"65","Cartarbri","  0"
"66","janetnoseda","  0"
"67","Salas234","  0"
"68","emilie_lecosth","  0"
"69","carliset","  0"
"70","manedef","  0"
"71","tomasjordanD","  0"
"72","pipofuentealba","  0"
"73","Trece__","  0"
"74","ObrequeMauricio","  0"
"75","EnzoMorales","  0"
"76","CorpParticipa","  0"
"77","MattyLL","  0"
"78","challtumay","  0"
"79","anaforest","  0"
"80","gitanavagabunda","  0"
"81","leivarojas","  0"
"82","kamay0214","  0"
"84","catalinasofia_h","  0"
"85","PabloReyes_F","  0"
"86","MaxsandMax","  0"
"87","NachoOrtega","  0"
"88","ditomunozz","  0"
"89","NidiaRj","  0"
"90","jrzv68","  0"
"91","visualstock","  0"
"92","Jfcardenasr","  0"
"93","pollomartinez32","  0"
"94","BarbieMolotov","  0"
"95","SANMANUELMELIP","  0"
"97","Carla_Carrera","  0"
"98","ciudadano2020","  0"
"99","mariela2770","  0"
"100","AsesorCiudadano","  0"
"101","funfunes","  0"
"102","gregoriomarben","  0"
"103","emedeche","  0"
"104","antinatividad","  0"
"105","ANAFULLERTON","  0"
"106","KholoeDokalfRay","  0"
"107","mquiero","  0"
"108","Carlos_Chh","  0"
"109","guenumans","  0"
"110","gutierrezadaros","  0"
"111","afernandezatuez","  0"
"112","Patricio_Diaz","  0"
"113","wabokros","  0"
"114","Pascual_Aguerre","  0"
"115","iwgo","  0"
"116","diegolunaq","  0"
"117","juanseapi","  0"
"118","IndignadosChile","  0"
"119","lolybg","  0"
"120","paula_esperanza","  0"
"121","JuanIgnacioVP","  0"
"122","ncortiz","  0"
"123","valladaresector","  0"
"124","rvillegash","  0"
"125","Dona_Bar_bara","  0"
"126","ceciliarod","  0"
"127","memegalarce","  0"
"128","hernanver","  0"
"130","nancysotokramm","  0"
"131","AbogadosPrivad1","  0"
"132","lakshmi_eva","  0"
"133","FZavalaJara","  0"
"134","juanjosalbia","  0"
"135","normamoralesdaz","  0"
"136","jedomm","  0"
"137","lriquelme","  0"
"138","cedron5000","  0"
"139","bivega","  0"
"140","MatiasTL_","  0"
"141","miciudadela","  0"
"142","ETIENNEANGELIQ1","  0"
"143","catala_style","  0"
"144","TerapiadeAbejas","  0"
"145","Contrainformate","  0"
"146","sara_araya","  0"
"147","javcollao","  0"
"148","dilefante","  0"
"149","CataGonz","  0"
"150","AmnistiaEEUU","  0"
"151","maurosmr","  0"
"152","Cosmonaut_Moz","  0"
"153","findeciclo","  0"
"154","pauli_912","  0"
"155","yuvizin","  0"
"156","espantachuncho","  0"
"157","blantycina","  0"
"158","pavlosky4","  0"
"159","_Andres_Rojas","  0"
"161","cbarriaroman","  0"
"162","Kangrejo","  0"
"163","jacquelineher15","  0"
"164","Pichilemu_Chile","  0"
"165","clolavillana","  0"
"166","MoisesParedesR","  0"
"167","rnunezmiranda","  0"
"168","Wally_Social","  0"
"169","Sxrgio","  0"
"170","RadioPolar","  0"
"171","migelitro","  0"
"172","radio_tierra","  0"
"173","Pantxo2112","  0"
"174","zarria19deabril","  0"
"175","piamontealegre","  0"
"176","panchozambranoc","  0"
"177","DiputadosDC","  0"
"178","vigojoker","  0"
"179","DaniRodriguezv","  0"
"180","sncastro","  0"
"181","rourios","  0"
"182","guajars","  0"
"183","JC_Cayul","  0"
"184","lurrutiare","  0"
"185","Vicho_","  0"
"186","el_jere","  0"
"187","ErikaHennings","  0"
"189","rbrtndrs","  0"
"190","IgnacioIriarte","  0"
"191","ACCIONdeongs","  0"
