"","user","degree"
"18","naupuc","31"
"13","maibennett","28"
"56","caipuc","23"
"9","vlatorre","20"
"185","twittsejera","19"
"28","nacho_oliva","17"
"101","emiliamalig","15"
"4","cn_castro","13"
"8","mkniehaus","13"
"124","jiyanez","12"
"22","miorozco"," 8"
"29","magdalenagil"," 8"
"94","oindependiente"," 8"
"188","sentidoscomunes"," 8"
"189","srcrispin"," 8"
"82","feusach"," 7"
"170","velagrau"," 7"
"175","cmgonzalezr"," 6"
"178","cata_lamatta"," 6"
"182","oiperello"," 6"
"125","raecheco"," 5"
"163","cdbarrie"," 5"
"168","danirslz"," 5"
"180","gonzzapat"," 5"
"27","jzavalae"," 4"
"69","feutfsm"," 4"
"72","jorbritoh"," 4"
"164","nicoescobar_"," 4"
"193","caroperezd"," 4"
"197","fperezas"," 4"
"1","goyanedelv"," 3"
"42","ignaciapinto"," 3"
"93","caracola_cn"," 3"
"104","acouble"," 3"
"127","fran_acevedo"," 3"
"136","fjbengoat"," 3"
"139","dakanacho"," 3"
"166","cmadero_sj"," 3"
"171","manacalcagni"," 3"
"187","fabarrientos"," 3"
"7","andybartelsman"," 2"
"49","sebavielmas"," 2"
"147","felipevargasr"," 2"
"148","sofiasintilde"," 2"
"159","jpmirasmendi"," 2"
"183","pancho_era"," 2"
"184","cpobleteb"," 2"
"194","jaumetbachs"," 2"
"199","javipumarino"," 2"
"201","cecomuc"," 2"
"6","jonathanorrego"," 1"
"23","juanojeda26"," 1"
"71","pameladrm"," 1"
"165","cstewartc"," 1"
"181","pablocatrileo"," 1"
"186","feuc"," 1"
"190","cpenafielo"," 1"
"191","carolinabuneder"," 1"
"192","anidelrio"," 1"
"195","mkrauskopf"," 1"
"196","astorgapablo"," 1"
"198","ingridelena"," 1"
"200","danny_millar"," 1"
"2","Nicomgs"," 0"
"3","mbcanessa"," 0"
"5","Cruizta"," 0"
"10","SDonoso_"," 0"
"11","JTLabarca"," 0"
"12","DaniSotoN"," 0"
"14","CamiFigueroa"," 0"
"15","OmarSeguel90"," 0"
"16","spobletec"," 0"
"17","JuanCriLabbe"," 0"
"19","RominaArrigoni"," 0"
"20","CAAE_UC"," 0"
"21","cristobalotero"," 0"
"24","CataPoblete05"," 0"
"25","jpluhrs"," 0"
"26","jiboncom"," 0"
"30","pitucontrucci"," 0"
"31","Utu_dragon"," 0"
"32","nataliabeatriz"," 0"
"33","lapumi"," 0"
"34","nemu8"," 0"
"35","jleytong"," 0"
"36","ilarrosa"," 0"
"37","Tani_Jonas"," 0"
"38","omlazo"," 0"
"39","fireyesr"," 0"
"40","pavloschuff"," 0"
"41","tiojeda"," 0"
"43","nicolaisofi"," 0"
"44","latitudsur"," 0"
"45","catahernandezs"," 0"
"46","CACB_UC"," 0"
"47","Fer_Andrade_P"," 0"
"48","sebacorreaduval"," 0"
"50","alefdezf"," 0"
"51","felolagos"," 0"
"52","GastonOssandon"," 0"
"53","nicodelcanto"," 0"
"54","plherrera"," 0"
"55","romanklau"," 0"
"57","EduardoToro_"," 0"
"58","PaulyVelozo"," 0"
"59","leiva_tomas"," 0"
"60","MatiasTL_"," 0"
"61","frambuezza"," 0"
"62","MatiasLarroulet"," 0"
"63","juanjosesilva"," 0"
"64","Huasopuc"," 0"
"65","n_moraless"," 0"
"66","jfyksj"," 0"
"67","YokaSalazar"," 0"
"68","Feuc"," 0"
"70","CristianCofre"," 0"
"73","pguzmav54"," 0"
"74","dbrieba"," 0"
"75","bomberobravo"," 0"
"76","unavico"," 0"
"77","RodriigoArratia"," 0"
"78","Rodrigooleafazz"," 0"
"79","jose_maritano"," 0"
"80","PAIEPUSACH"," 0"
"81","brahmer"," 0"
"83","NoamTitelman"," 0"
"84","ylagos_cl"," 0"
"85","_mirandamolina_"," 0"
"86","krolourdes"," 0"
"87","p4blohernandez"," 0"
"88","MjoseTapia"," 0"
"89","carmen_gomez"," 0"
"90","mpaldunate"," 0"
"91","AlonsoQuevedo"," 0"
"92","Claudia_negri"," 0"
