"","user","degree"
"40","sentidoscomunes","500"
"1121","panchofigueroa"," 60"
"28","jjotta"," 45"
"1038","gabrielboric"," 35"
"64","vilmafloressoto"," 34"
"1099","soyarica"," 32"
"145","valenzuelalevi"," 29"
"365","srcrispin"," 28"
"6","csanhuezac"," 26"
"32","mozeifala"," 20"
"978","hggaete"," 19"
"1028","el_alexis"," 18"
"721","carielgarcia"," 17"
"1088","twittsejero"," 16"
"1076","mane_ro"," 15"
"34","eleytoni"," 13"
"417","nolesvoteschile"," 13"
"628","marcelodiazd"," 13"
"1130","lostres"," 13"
"1147","velagrau"," 13"
"1104","austral_osorno"," 12"
"1145","jorbritoh"," 12"
"444","soychilecl"," 11"
"977","claudiopietro"," 11"
"167","raecheco","  9"
"225","florcitamotuda","  9"
"539","yodebocl","  9"
"1111","laly_quezada","  9"
"16","andres_aa7","  8"
"493","laotravoz","  8"
"738","buhoscl","  8"
"1034","naupuc","  8"
"90","kambiado","  7"
"200","campusupla","  7"
"260","sboric","  7"
"530","pepoglatz","  7"
"986","bastianlb","  7"
"1027","daguirreval","  7"
"1149","fernandorojas_","  7"
"12","tomaslaibe","  6"
"970","cadena_nacional","  6"
"981","huinkamanque","  6"
"1061","feuvsantiago","  6"
"1075","juanluiscarv","  6"
"1154","goveme","  6"
"55","esopino","  5"
"372","nicolasanglasg","  5"
"1024","beatrizcaceres","  5"
"1056","creceruc","  5"
"1058","gonzpt","  5"
"1059","paz_asenjo","  5"
"1087","feuc","  5"
"1167","jjcc_chile","  5"
"61","isama","  4"
"692","cata_figueroa","  4"
"778","mmontenegro","  4"
"914","m_lorca","  4"
"955","soledadalvear","  4"
"1022","felipithow","  4"
"1041","cgalaz","  4"
"1078","mariogiannetti","  4"
"1082","frias_diego","  4"
"1089","cad_uc","  4"
"1113","tattycasas","  4"
"1141","tomasfuentes","  4"
"4","sciologo","  3"
"9","rafaelcastromza","  3"
"17","angeliiick","  3"
"83","ginniasa","  3"
"972","sebavielmas","  3"
"998","jgalvez_a","  3"
"1019","gonzalezcaamano","  3"
"1039","luzprieto","  3"
"1042","gcriado","  3"
"1053","s3ialsf","  3"
"1072","sebagc","  3"
"1080","karydelfino","  3"
"1090","carolaghuidobro","  3"
"1112","tamarandra","  3"
"1120","universitecl","  3"
"1123","mercurioafta","  3"
"1124","paula_fd","  3"
"1134","mercuriovalpo","  3"
"1142","gn_mendez","  3"
"1151","manedef","  3"
"1152","mafubaki","  3"
"1158","javierau","  3"
"56","saladeprofes","  2"
"60","hecmarq","  2"
"81","jobadilla","  2"
"92","diegovillacer","  2"
"165","fcamiranda","  2"
"366","israferreira","  2"
"408","toledo_campos","  2"
"452","zoonicax","  2"
"547","valpoteamo","  2"
"1000","1800argumentos","  2"
"1023","kmcero","  2"
"1026","domingaortuzar","  2"
"1040","silabario","  2"
"1049","renolander","  2"
"1050","fredyriosc","  2"
"1051","cmunozsazo","  2"
"1063","savehand","  2"
"1064","francisco_cova","  2"
"1066","leandro_paredes","  2"
"1068","javilandiaa","  2"
"1069","k0oke","  2"
"1077","romanerd","  2"
"1091","nduffau","  2"
"1110","feubbchillan","  2"
"1115","encaminocorp","  2"
"1117","sebeats_","  2"
"1119","sesnaola","  2"
"1125","teachaholic","  2"
"1126","omlazo","  2"
"1129","lion_fighter","  2"
"1131","camilicious1986","  2"
"1139","hugojofre","  2"
"1146","c2rq","  2"
"1157","el_amigo_12","  2"
"1161","afuentealbaf","  2"
"1168","andradecristian","  2"
"1","fernita92","  1"
"5","ginocordovac","  1"
"18","nacho_oliva","  1"
"21","camiloriffo","  1"
"24","gabytaorellana","  1"
"43","jordychavez","  1"
"46","dany_peki","  1"
"80","barrocoaustral","  1"
"118","ballotage_cl","  1"
"136","brontobeats","  1"
"144","nrebolledo","  1"
"150","ffuenza","  1"
"196","javiarce","  1"
"207","ninnecita","  1"
"223","ivn_b_o","  1"
"236","paz_correa","  1"
"241","lukitotikul","  1"
"276","elcataldo","  1"
"316","nvaizquierda","  1"
"414","felipeignaciocu","  1"
"470","mariana_gat","  1"
"556","ncandel","  1"
"827","reneancar","  1"
"834","u_informado","  1"
"883","jserracino","  1"
"900","perezmuena","  1"
