"","user","degree"
"1","ccp_movilizada","7532"
"37","recarex","  70"
"2","radicalyfeliz","  65"
"6","colpoderpopular","  52"
"92","elperrotracio","  39"
"63","feliperasa","  38"
"22","verde_olivo","  31"
"45","rvfradiopopular","  30"
"390","link_anarquista","  28"
"102","marxismo_cl","  22"
"14","negrodanny","  21"
"994","marjoriecuello","  20"
"79","clau_1919","  17"
"5","p_l_o_mo","  15"
"8","artecanal","  12"
"2485","daniloacevedo","  12"
"32","seixba","  11"
"80","claudiacecili24","  11"
"227","risetka","  11"
"1042","clauyara","  11"
"1242","bernaic","  10"
"57","moise_paredes","   9"
"184","ditomunozz","   9"
"918","niko_sepulveda","   9"
"1849","pecatore","   9"
"90","sebafarfans","   8"
"115","pavlosky4","   8"
"195","gmobastias","   8"
"622","maxekampos","   8"
"1643","elquintopoder","   8"
"1812","mesup_chile","   8"
"2393","prensa_nacional","   8"
"36","mcarcol","   7"
"100","machecampos","   7"
"379","quintrali35","   7"
"1759","mansaguman","   7"
"47","furchile","   6"
"55","vale23","   6"
"76","caraepolera","   6"
"340","alonso_nunez","   6"
"2452","anonchileno","   6"
"12","chilepatetico","   5"
"31","viejoypregunton","   5"
"208","mariela2770","   5"
"237","negrossura","   5"
"1652","janetnoseda","   5"
"1879","oposicionpinera","   5"
"3","cbellolio","   4"
"13","preste_juan","   4"
"27","maneriquelme","   4"
"40","viejoyconteston","   4"
"46","plvj58","   4"
"66","colomba_blue","   4"
"107","janaravena","   4"
"131","espantachuncho","   4"
"174","viejoaprendiz_","   4"
"392","tierrarevuelta","   4"
"489","xkako","   4"
"829","msiomara","   4"
"888","pameulrika","   4"
"1004","aralmu","   4"
"1421","franttastica","   4"
"1426","pilarangelang","   4"
"1596","monamonik_","   4"
"2479","sentidoscomunes","   4"
"2483","marcoporchile","   4"
"16","ginniasa","   3"
"39","bunkeradicta294","   3"
"85","generacion80","   3"
"170","ximusu","   3"
"222","lesliona","   3"
"231","jolorca","   3"
"268","carcamofelipe","   3"
"434","_isabelsalgado","   3"
"937","hijodelsalitre","   3"
"974","pablo_medinad","   3"
"1149","radiosantamaria","   3"
"1275","ricardo_galaz","   3"
"1506","el_institutano","   3"
"1639","pitchel_jota","   3"
"1801","esopino","   3"
"1918","dicosaez","   3"
"2134","mark35d","   3"
"2443","reinaldolope","   3"
"2463","clausamon","   3"
"2472","soydederecha","   3"
"56","jennypardosilva","   2"
"140","enrique2009","   2"
"150","juliolopezaysen","   2"
"164","constantinogue","   2"
"167","jureltipoatun","   2"
"261","datosyremates","   2"
"289","_hexagram_","   2"
"322","escasoaporte","   2"
"353","simonfilko","   2"
"364","welyyy","   2"
"459","fel_chile","   2"
"748","u_informado","   2"
"777","lachina_chile","   2"
"810","te_miro_gente","   2"
"823","alvaroescaso","   2"
"839","yoyigo07","   2"
"858","pintorgnaranjo","   2"
"914","illapu","   2"
"975","azetaene","   2"
"979","esasinomas","   2"
"980","silviastorga","   2"
"982","ncortiz","   2"
"999","mecheverriabert","   2"
"1022","fenasanhueza","   2"
"1196","secundarios_com","   2"
"1317","emedeche","   2"
"1852","inti_illimani","   2"
"1962","confelareina","   2"
"2238","javieramena","   2"
"2345","defensasecundar","   2"
"2478","planetazuniga","   2"
"2481","baezaquintana","   2"
"2484","masterifr","   2"
"2490","marceloca0","   2"
"2491","dianadagostino_","   2"
"2497","evillavicencio","   2"
"21","pipiolo_federal","   1"
"28","gustavosilvalo","   1"
"50","yoopino_dtodo","   1"
"59","improvised_cl","   1"
"60","generadorstereo","   1"
"65","allendexxi","   1"
"74","spammera66","   1"
"82","a_valenzuelan","   1"
"84","cafeconmerken","   1"
"87","nuestrocanto","   1"
"95","v_quijada","   1"
"105","pianitou","   1"
"114","kationokoso","   1"
"122","iwgo","   1"
"130","mazuritab","   1"
"134","miguelgaraym","   1"
"142","maluchayallego","   1"
"171","marcela39109101","   1"
"172","burbruja","   1"
"238","carvallo58","   1"
"253","pinguinazo2006","   1"
"280","migelitro","   1"
"299","misharf","   1"
"318","gatoooso","   1"
"376","pavilar01","   1"
"400","salas234","   1"
"405","marianoasecas","   1"
"408","bdeb","   1"
"456","eugenioquintana","   1"
"458","lautarobruhn","   1"
"493","jacamato","   1"
"514","corphumanas","   1"
"556","movimientosurda","   1"
"577","tomacc2013","   1"
"603","copeticoto","   1"
"610","josefinaurora","   1"
"680","luisalbertomoya","   1"
"714","geo_sur","   1"
"741","esutilsubvertir","   1"
"760","ff_kmy","   1"
"800","ivancardoza","   1"
"804","jottamora","   1"
"827","amaranto69","   1"
"845","kanishxc","   1"
"890","aiferricorti","   1"
"905","lmrendon","   1"
"919","paiz_chile","   1"
"928","funfunes","   1"
"950","universitecl","   1"
"954","ali_vero","   1"
