"","user","degree"
"19","soychilecl","4"
"18","laestrellavalpo","3"
"17","rodrigo_ogalde","1"
"20","austral_osorno","1"
"21","soyarica","1"
"22","mercuriovalpo","1"
"23","ellanquihue","1"
"24","australtemuco","1"
"25","_claudiosoto","1"
"26","soycopiapo","1"
"27","estrella_antofa","1"
"28","mercurioafta","1"
"1","quilpue9","0"
"2","HernanAraya","0"
"3","bishoot","0"
"4","lamejorchile","0"
"5","Panshopero","0"
"6","mariaignacia","0"
"7","LeslieMCofre","0"
"8","ercu3rvo","0"
"9","GlobalMax_Chile","0"
"10","SebaAranedaT","0"
"11","brujogonso","0"
"12","RSkywalkerrr","0"
"13","SebAstudillo","0"
"14","VMLEIVA","0"
"15","YoLaMariaPaz","0"
"16","Vaaaale15","0"
