"","user","degree"
"1857","camila_vallejo","704"
"165","gabrielboric","124"
"33","ccp_movilizada","117"
"1904","sentidoscomunes","117"
"1912","el_dinamo","109"
"4","marjoriecuello","102"
"538","elquintopoder"," 83"
"1981","panchofigueroa"," 72"
"1943","feusach"," 67"
"119","rvfradiopopular"," 58"
"136","cut_copy_"," 52"
"72","vlatorre"," 45"
"1969","izqautonoma"," 43"
"2032","illapu"," 43"
"123","sussie_noemi"," 39"
"18","gmobastias"," 35"
"110","ditomunozz"," 35"
"275","difamadores"," 33"
"913","amaranto69"," 32"
"1885","dmanoucheri"," 30"
"116","carcamofelipe"," 28"
"2065","rvillegash"," 25"
"2089","cristpineda"," 25"
"2098","soychilecl"," 25"
"1510","jjcc_chile"," 24"
"266","universitecl"," 23"
"940","sebafarfans"," 23"
"2055","1800horas"," 23"
"421","u_informado"," 22"
"12","cami_carrascoh"," 21"
"16","cata_lamatta"," 21"
"15","espantachuncho"," 19"
"1995","jparedesgodoy"," 19"
"2080","elobservatodo"," 19"
"21","patoprotester"," 16"
"75","emiliamalig"," 16"
"1887","menesesfabi"," 16"
"2110","oposicionpinera"," 16"
"644","naupuc"," 14"
"2085","thecliniccl"," 14"
"1636","elciruela"," 13"
"67","sergio_006"," 12"
"313","esopino"," 12"
"943","maluchayallego"," 12"
"2082","educaire"," 12"
"147","clauyara"," 11"
"296","mapc"," 11"
"278","claudiomunozr"," 10"
"330","albohemio"," 10"
"3","elyglezm","  9"
"492","susana_zz","  9"
"963","dadalito_","  9"
"1402","sboric","  9"
"1952","biobio","  9"
"1986","colomba_blue","  9"
"2048","pelao_bravo","  9"
"2062","frikioni","  9"
"170","jorbritoh","  8"
"1264","cpulgarpinaud","  8"
"1951","profesnunoa","  8"
"1956","ksanxezz","  8"
"1988","la_fech","  8"
"2071","yoyigo07","  8"
"2103","el_bruna","  8"
"2125","vhubnerg","  8"
"2128","presupuesto2012","  8"
"17","manuel_guerrero","  7"
"42","konixan","  7"
"84","carlosampuero","  7"
"665","raecheco","  7"
"808","link_anarquista","  7"
"868","ursula_eggers","  7"
"871","lostres","  7"
"1771","patricioberrios","  7"
"1955","papurri_pop","  7"
"2000","valdivianos","  7"
"2101","laestrellavalpo","  7"
"2115","soyarica","  7"
"2135","austral_losrios","  7"
"5","c_ugas","  6"
"57","edo_fredes","  6"
"559","furchile","  6"
"1853","cecomuc","  6"
"1860","gespinosaa","  6"
