"","Source","Target","weight","from_size"
"1","celebrity","celebrity",0.24,96
"2","celebrity","movs",0.0266666666666667,96
"3","celebrity","orgs",0,96
"4","celebrity","leaders",0.08,96
"5","celebrity","media",0.0533333333333333,96
"6","celebrity","people",0.6,96
"7","leaders","celebrity",0.032258064516129,57
"8","leaders","movs",0.161290322580645,57
"9","leaders","orgs",0.0645161290322581,57
"10","leaders","leaders",0.258064516129032,57
"11","leaders","media",0.032258064516129,57
"12","leaders","people",0.451612903225806,57
"13","media","celebrity",0.25,59
"14","media","movs",0.125,59
"15","media","orgs",0,59
"16","media","leaders",0.125,59
"17","media","media",0.125,59
"18","media","people",0.375,59
"19","movs","celebrity",0.0182370820668693,104
"20","movs","movs",0.121580547112462,104
"21","movs","orgs",0,104
"22","movs","leaders",0.158054711246201,104
"23","movs","media",0.033434650455927,104
"24","movs","people",0.668693009118541,104
"25","orgs","celebrity",0.363636363636364,32
"26","orgs","movs",0.0909090909090909,32
"27","orgs","orgs",0,32
"28","orgs","leaders",0.0909090909090909,32
"29","orgs","media",0.0909090909090909,32
"30","orgs","people",0.363636363636364,32
"31","people","celebrity",0.100803212851406,29153
"32","people","movs",0.136546184738956,29153
"33","people","orgs",0.0036144578313253,29153
"34","people","leaders",0.0923694779116466,29153
"35","people","media",0.0879518072289157,29153
"36","people","people",0.578714859437751,29153
