"","Source","Target","weight","from_size"
"1","celebrity","celebrity",0.137931034482759,96
"2","celebrity","movs",0.153256704980843,96
"3","celebrity","orgs",0.00383141762452107,96
"4","celebrity","leaders",0.0689655172413793,96
"5","celebrity","media",0.0881226053639847,96
"6","celebrity","people",0.547892720306513,96
"7","leaders","celebrity",0.0225225225225225,57
"8","leaders","movs",0.371621621621622,57
"9","leaders","orgs",0.018018018018018,57
"10","leaders","leaders",0.11036036036036,57
"11","leaders","media",0.0540540540540541,57
"12","leaders","people",0.423423423423423,57
"13","media","celebrity",0.0183150183150183,59
"14","media","movs",0.377289377289377,59
"15","media","orgs",0.00732600732600733,59
"16","media","leaders",0.0586080586080586,59
"17","media","media",0.0915750915750916,59
"18","media","people",0.446886446886447,59
"19","movs","celebrity",0.0158646218931782,104
"20","movs","movs",0.440507667900582,104
"21","movs","orgs",0.00423056583818086,104
"22","movs","leaders",0.0401903754627181,104
"23","movs","media",0.0391327340031729,104
"24","movs","people",0.460074034902168,104
"25","orgs","celebrity",0.0105263157894737,32
"26","orgs","movs",0.321052631578947,32
"27","orgs","orgs",0.00526315789473684,32
"28","orgs","leaders",0.144736842105263,32
"29","orgs","media",0.0368421052631579,32
"30","orgs","people",0.481578947368421,32
"31","people","celebrity",0.0893366420978555,29153
"32","people","movs",0.203377902885292,29153
"33","people","orgs",0.00631504870550761,29153
"34","people","leaders",0.0698174006444683,29153
"35","people","media",0.103114930182599,29153
"36","people","people",0.528038075484277,29153
