"","source","target","proportion.reply","proportion.mention","proportion.retweet","proportion.total"
"1","celebrity","celebrity",0.24,0.132075471698113,0.137931034482759,0.153846153846154
"2","celebrity","movs",0.0266666666666667,0.0188679245283019,0.153256704980843,0.0995475113122172
"3","celebrity","orgs",0,0,0.00383141762452107,0.00226244343891403
"4","celebrity","leaders",0.08,0.10377358490566,0.0689655172413793,0.0791855203619909
"5","celebrity","media",0.0533333333333333,0.0754716981132075,0.0881226053639847,0.0791855203619909
"6","celebrity","people",0.6,0.669811320754717,0.547892720306513,0.585972850678733
"7","movs","celebrity",0.0182370820668693,0.0204081632653061,0.0158646218931782,0.0170940170940171
"8","movs","movs",0.121580547112462,0.284013605442177,0.440507667900582,0.37037037037037
"9","movs","orgs",0,0.00510204081632653,0.00423056583818086,0.00391737891737892
"10","movs","leaders",0.158054711246201,0.215986394557823,0.0401903754627181,0.0908119658119658
"11","movs","media",0.033434650455927,0.0510204081632653,0.0391327340031729,0.040954415954416
"12","movs","people",0.668693009118541,0.423469387755102,0.460074034902168,0.476851851851852
"13","orgs","celebrity",0.363636363636364,0.0434782608695652,0.0105263157894737,0.0248447204968944
"14","orgs","movs",0.0909090909090909,0.239130434782609,0.321052631578947,0.300207039337474
"15","orgs","orgs",0,0.0760869565217391,0.00526315789473684,0.0186335403726708
"16","orgs","leaders",0.0909090909090909,0.195652173913043,0.144736842105263,0.153209109730849
"17","orgs","media",0.0909090909090909,0.0543478260869565,0.0368421052631579,0.041407867494824
"18","orgs","people",0.363636363636364,0.391304347826087,0.481578947368421,0.461697722567288
"19","leaders","celebrity",0.032258064516129,0.0427350427350427,0.0225225225225225,0.027027027027027
"20","leaders","movs",0.161290322580645,0.094017094017094,0.371621621621622,0.305743243243243
"21","leaders","orgs",0.0645161290322581,0.102564102564103,0.018018018018018,0.0371621621621622
"22","leaders","leaders",0.258064516129032,0.376068376068376,0.11036036036036,0.170608108108108
"23","leaders","media",0.032258064516129,0.0598290598290598,0.0540540540540541,0.0540540540540541
"24","leaders","people",0.451612903225806,0.324786324786325,0.423423423423423,0.405405405405405
"25","media","celebrity",0.25,0.00719424460431655,0.0183150183150183,0.019047619047619
"26","media","movs",0.125,0.100719424460432,0.377289377289377,0.280952380952381
"27","media","orgs",0,0,0.00732600732600733,0.00476190476190476
"28","media","leaders",0.125,0.158273381294964,0.0586080586080586,0.0928571428571429
"29","media","media",0.125,0.237410071942446,0.0915750915750916,0.14047619047619
"30","media","people",0.375,0.496402877697842,0.446886446886447,0.461904761904762
"31","people","celebrity",0.100803212851406,0.0829428897049512,0.0893366420978555,0.0889958841345034
"32","people","movs",0.136546184738956,0.179055337469925,0.203377902885292,0.197810048924439
"33","people","orgs",0.0036144578313253,0.0181081423325313,0.00631504870550761,0.00765706298050788
"34","people","leaders",0.0923694779116466,0.0666075724958845,0.0698174006444683,0.0702958763687194
"35","people","media",0.0879518072289157,0.115866784855008,0.103114930182599,0.104092568144754
"36","people","people",0.578714859437751,0.537419273141699,0.528038075484277,0.531148559447076
