"","account","date","value","type"
"1","@camila_vallejo",2011-01-01,2.0416665,"positive"
"2","@camila_vallejo",2011-02-01,1.9,"positive"
"3","@camila_vallejo",2011-03-01,2.622619,"positive"
"4","@camila_vallejo",2011-04-01,2.529874,"positive"
"5","@camila_vallejo",2011-05-01,2.1293337,"positive"
"6","@camila_vallejo",2011-06-01,2.5256972,"positive"
"7","@camila_vallejo",2011-07-01,2.200801,"positive"
"8","@camila_vallejo",2011-08-01,2.1823566,"positive"
"9","@camila_vallejo",2011-09-01,2.323407,"positive"
"10","@camila_vallejo",2011-10-01,2.0551276,"positive"
"11","@camila_vallejo",2011-11-01,2.321566,"positive"
"12","@camila_vallejo",2011-12-01,2.426955,"positive"
"13","@camila_vallejo",2012-01-01,2.0957341,"positive"
"14","@camila_vallejo",2012-02-01,2.1284046,"positive"
"15","@camila_vallejo",2012-03-01,2.2149668,"positive"
"16","@camila_vallejo",2012-04-01,2.394066,"positive"
"17","@camila_vallejo",2012-05-01,2.3421807,"positive"
"18","@camila_vallejo",2012-06-01,2.184247,"positive"
"19","@camila_vallejo",2012-07-01,2.123521,"positive"
"20","@camila_vallejo",2012-08-01,2.2635686,"positive"
"21","@camila_vallejo",2012-09-01,2.112966,"positive"
"22","@camila_vallejo",2012-10-01,2.7418795,"positive"
"23","@camila_vallejo",2012-11-01,2.3798032,"positive"
"24","@camila_vallejo",2012-12-01,2.4148655,"positive"
"25","@camila_vallejo",2013-01-01,2.2007575,"positive"
"26","@camila_vallejo",2013-02-01,2.290145,"positive"
"27","@camila_vallejo",2013-03-01,2.6908326,"positive"
"28","@camila_vallejo",2013-04-01,2.370058,"positive"
"29","@camila_vallejo",2013-05-01,2.396652,"positive"
"30","@camila_vallejo",2013-06-01,2.2818973,"positive"
"31","@camila_vallejo",2013-07-01,2.3815901,"positive"
"32","@camila_vallejo",2013-08-01,2.2257226,"positive"
"33","@camila_vallejo",2013-09-01,2.4644096,"positive"
"34","@camila_vallejo",2013-10-01,2.7264872,"positive"
"35","@camila_vallejo",2013-11-01,2.3195093,"positive"
"36","@gabrielboric",2011-01-01,2.7318842,"positive"
"37","@gabrielboric",2011-02-01,2.575,"positive"
"38","@gabrielboric",2011-03-01,2.2592492,"positive"
"39","@gabrielboric",2011-04-01,2.5432823,"positive"
"40","@gabrielboric",2011-05-01,2.4135613,"positive"
"41","@gabrielboric",2011-06-01,2.2911181,"positive"
"42","@gabrielboric",2011-07-01,2.216024,"positive"
"43","@gabrielboric",2011-08-01,2.4277961,"positive"
"44","@gabrielboric",2011-09-01,2.2968152,"positive"
"45","@gabrielboric",2011-10-01,2.1373167,"positive"
"46","@gabrielboric",2011-11-01,2.4008865,"positive"
"47","@gabrielboric",2011-12-01,2.4981422,"positive"
"48","@gabrielboric",2012-01-01,2.3135426,"positive"
"49","@gabrielboric",2012-02-01,2.299675,"positive"
"50","@gabrielboric",2012-03-01,2.2078316,"positive"
"51","@gabrielboric",2012-04-01,2.271521,"positive"
"52","@gabrielboric",2012-05-01,2.3032131,"positive"
"53","@gabrielboric",2012-06-01,2.2009668,"positive"
"54","@gabrielboric",2012-07-01,2.2904649,"positive"
"55","@gabrielboric",2012-08-01,2.1364026,"positive"
"56","@gabrielboric",2012-09-01,2.1405547,"positive"
"57","@gabrielboric",2012-10-01,2.2557936,"positive"
"58","@gabrielboric",2012-11-01,2.3375626,"positive"
"59","@gabrielboric",2012-12-01,2.0533323,"positive"
"60","@gabrielboric",2013-01-01,2.2183483,"positive"
"61","@gabrielboric",2013-02-01,2.2233448,"positive"
"62","@gabrielboric",2013-03-01,2.1522584,"positive"
"63","@gabrielboric",2013-04-01,2.0979106,"positive"
"64","@gabrielboric",2013-05-01,2.1720672,"positive"
"65","@gabrielboric",2013-06-01,2.1746333,"positive"
