"","date","time","type","count","datetime"
"1",2012-11-13,"03:10:12","people",0,2012-11-13 03:10:12
"2",2012-11-22,"00:10:34","people",1,2012-11-22 00:10:34
"3",2012-11-27,"00:08:29","people",2,2012-11-27 00:08:29
"4",2012-12-03,"15:46:47","people",3,2012-12-03 15:46:47
"5",2012-12-04,"02:50:21","people",4,2012-12-04 02:50:21
"6",2012-12-04,"02:51:02","people",5,2012-12-04 02:51:02
"7",2012-12-05,"22:21:06","people",6,2012-12-05 22:21:06
"8",2012-12-10,"21:34:54","people",7,2012-12-10 21:34:54
"9",2012-12-16,"00:42:13","people",8,2012-12-16 00:42:13
"10",2012-12-18,"03:10:01","people",9,2012-12-18 03:10:01
"11",2012-12-18,"03:16:48","people",10,2012-12-18 03:16:48
"12",2012-12-18,"23:29:37","people",11,2012-12-18 23:29:37
"13",2013-01-21,"02:21:12","people",12,2013-01-21 02:21:12
"14",2013-01-21,"02:21:27","leaders",0,2013-01-21 02:21:27
"15",2013-01-21,"02:22:31","people",13,2013-01-21 02:22:31
"16",2013-01-21,"02:22:31","people",14,2013-01-21 02:22:31
"17",2013-01-21,"02:22:52","people",15,2013-01-21 02:22:52
"18",2013-01-21,"02:22:58","people",16,2013-01-21 02:22:58
"19",2013-01-21,"02:24:41","people",17,2013-01-21 02:24:41
"20",2013-01-21,"02:26:39","people",18,2013-01-21 02:26:39
"21",2013-01-21,"02:27:03","people",19,2013-01-21 02:27:03
"22",2013-01-21,"02:44:06","people",20,2013-01-21 02:44:06
"23",2013-01-21,"03:05:03","people",21,2013-01-21 03:05:03
"24",2013-01-21,"12:33:08","celebrities",0,2013-01-21 12:33:08
"25",2013-01-23,"14:45:25","people",22,2013-01-23 14:45:25
"26",2013-02-01,"00:16:18","people",23,2013-02-01 00:16:18
"27",2013-02-01,"14:29:04","people",24,2013-02-01 14:29:04
"28",2013-02-02,"12:49:56","people",25,2013-02-02 12:49:56
"29",2013-02-03,"21:14:10","people",26,2013-02-03 21:14:10
"30",2013-02-07,"19:53:40","people",27,2013-02-07 19:53:40
"31",2013-02-17,"11:12:51","people",28,2013-02-17 11:12:51
"32",2013-02-25,"05:16:04","people",29,2013-02-25 05:16:04
"33",2013-02-28,"06:28:13","people",30,2013-02-28 06:28:13
"34",2013-02-28,"06:30:38","people",31,2013-02-28 06:30:38
"35",2013-02-28,"06:31:20","people",32,2013-02-28 06:31:20
"36",2013-02-28,"06:33:07","people",33,2013-02-28 06:33:07
"37",2013-03-06,"15:36:24","people",34,2013-03-06 15:36:24
"38",2013-03-06,"15:37:43","people",35,2013-03-06 15:37:43
"39",2013-03-08,"11:19:40","people",36,2013-03-08 11:19:40
"40",2013-03-11,"00:25:00","people",37,2013-03-11 00:25:00
"41",2013-03-17,"13:37:59","people",38,2013-03-17 13:37:59
"42",2013-03-22,"15:33:30","people",39,2013-03-22 15:33:30
"43",2013-03-25,"19:44:23","people",40,2013-03-25 19:44:23
"44",2013-03-28,"01:26:39","people",41,2013-03-28 01:26:39
"45",2013-03-28,"12:17:18","people",42,2013-03-28 12:17:18
"46",2013-03-28,"15:09:57","people",43,2013-03-28 15:09:57
"47",2013-03-28,"15:11:09","people",44,2013-03-28 15:11:09
"48",2013-03-28,"15:13:55","people",45,2013-03-28 15:13:55
"49",2013-03-28,"15:19:20","people",46,2013-03-28 15:19:20
"50",2013-03-28,"15:19:21","people",47,2013-03-28 15:19:21
"51",2013-03-28,"15:21:21","people",48,2013-03-28 15:21:21
"52",2013-03-28,"15:23:10","people",49,2013-03-28 15:23:10
"53",2013-03-28,"15:34:12","people",50,2013-03-28 15:34:12
"54",2013-03-28,"15:38:27","people",51,2013-03-28 15:38:27
"55",2013-03-28,"15:46:34","people",52,2013-03-28 15:46:34
"56",2013-03-28,"15:55:02","people",53,2013-03-28 15:55:02
"57",2013-03-28,"15:55:57","people",54,2013-03-28 15:55:57
"58",2013-03-28,"15:59:58","people",55,2013-03-28 15:59:58
"59",2013-03-28,"20:35:28","people",56,2013-03-28 20:35:28
"60",2013-04-02,"21:32:06","people",57,2013-04-02 21:32:06
"61",2013-04-04,"15:15:07","people",58,2013-04-04 15:15:07
"62",2013-04-04,"16:22:18","people",59,2013-04-04 16:22:18
"63",2013-04-04,"16:23:36","people",60,2013-04-04 16:23:36
"64",2013-04-04,"16:23:40","people",61,2013-04-04 16:23:40
"65",2013-04-04,"16:23:41","people",62,2013-04-04 16:23:41
"66",2013-04-04,"16:24:12","people",63,2013-04-04 16:24:12
"67",2013-04-04,"16:24:24","people",64,2013-04-04 16:24:24
"68",2013-04-04,"16:24:41","people",65,2013-04-04 16:24:41
"69",2013-04-04,"16:24:50","people",66,2013-04-04 16:24:50
"70",2013-04-04,"16:25:02","people",67,2013-04-04 16:25:02
"71",2013-04-04,"16:28:07","people",68,2013-04-04 16:28:07
"72",2013-04-04,"16:28:30","people",69,2013-04-04 16:28:30
"73",2013-04-04,"16:30:07","leaders",1,2013-04-04 16:30:07
"74",2013-04-04,"16:30:23","movs",0,2013-04-04 16:30:23
"75",2013-04-04,"16:30:24","people",70,2013-04-04 16:30:24
"76",2013-04-04,"16:30:43","people",71,2013-04-04 16:30:43
"77",2013-04-04,"16:30:54","people",72,2013-04-04 16:30:54
"78",2013-04-04,"16:31:15","people",73,2013-04-04 16:31:15
"79",2013-04-04,"16:31:37","people",74,2013-04-04 16:31:37
"80",2013-04-04,"16:31:38","people",75,2013-04-04 16:31:38
"81",2013-04-04,"16:32:08","people",76,2013-04-04 16:32:08
"82",2013-04-04,"16:32:31","people",77,2013-04-04 16:32:31
"83",2013-04-04,"16:34:57","people",78,2013-04-04 16:34:57
"84",2013-04-04,"16:35:11","people",79,2013-04-04 16:35:11
"85",2013-04-04,"16:36:32","people",80,2013-04-04 16:36:32
"86",2013-04-04,"16:38:47","people",81,2013-04-04 16:38:47
"87",2013-04-04,"16:40:52","people",82,2013-04-04 16:40:52
"88",2013-04-04,"16:42:39","people",83,2013-04-04 16:42:39
"89",2013-04-04,"16:43:35","people",84,2013-04-04 16:43:35
"90",2013-04-04,"16:44:06","people",85,2013-04-04 16:44:06
"91",2013-04-04,"16:44:08","people",86,2013-04-04 16:44:08
"92",2013-04-04,"16:50:19","people",87,2013-04-04 16:50:19
"93",2013-04-04,"16:57:51","people",88,2013-04-04 16:57:51
"94",2013-04-04,"17:35:06","people",89,2013-04-04 17:35:06
"95",2013-04-04,"17:40:27","people",90,2013-04-04 17:40:27
"96",2013-04-07,"02:09:13","people",91,2013-04-07 02:09:13
"97",2013-04-08,"01:25:22","people",92,2013-04-08 01:25:22
"98",2013-04-08,"16:32:41","people",93,2013-04-08 16:32:41
"99",2013-04-08,"17:14:03","people",94,2013-04-08 17:14:03
"100",2013-04-08,"19:42:52","people",95,2013-04-08 19:42:52
"101",2013-04-08,"22:22:43","people",96,2013-04-08 22:22:43
"102",2013-04-08,"22:24:32","people",97,2013-04-08 22:24:32
"103",2013-04-08,"23:04:46","people",98,2013-04-08 23:04:46
"104",2013-04-08,"23:33:11","people",99,2013-04-08 23:33:11
"105",2013-04-09,"00:47:00","people",100,2013-04-09 00:47:00
"106",2013-04-09,"02:02:13","people",101,2013-04-09 02:02:13
"107",2013-04-09,"17:47:16","people",102,2013-04-09 17:47:16
