"","date","time","type","count","datetime"
"1",2011-08-10,"22:12:36","people",0,2011-08-10 22:12:36
"2",2011-08-11,"02:38:19","people",1,2011-08-11 02:38:19
"3",2011-11-13,"21:45:03","people",2,2011-11-13 21:45:03
"4",2011-11-14,"01:53:56","people",3,2011-11-14 01:53:56
"5",2011-11-14,"17:10:08","people",4,2011-11-14 17:10:08
"6",2011-11-14,"19:06:56","people",5,2011-11-14 19:06:56
"7",2011-11-20,"02:43:45","people",6,2011-11-20 02:43:45
"8",2011-11-21,"15:51:17","people",7,2011-11-21 15:51:17
"9",2011-11-21,"15:56:37","people",8,2011-11-21 15:56:37
"10",2011-11-23,"23:19:39","people",9,2011-11-23 23:19:39
"11",2011-11-23,"23:20:18","people",10,2011-11-23 23:20:18
"12",2011-11-23,"23:20:52","people",11,2011-11-23 23:20:52
"13",2011-11-23,"23:21:10","people",12,2011-11-23 23:21:10
"14",2011-11-23,"23:21:16","people",13,2011-11-23 23:21:16
"15",2011-11-23,"23:21:40","people",14,2011-11-23 23:21:40
"16",2011-11-23,"23:21:43","people",15,2011-11-23 23:21:43
"17",2011-11-23,"23:22:00","people",16,2011-11-23 23:22:00
"18",2011-11-23,"23:22:13","people",17,2011-11-23 23:22:13
"19",2011-11-23,"23:31:02","people",18,2011-11-23 23:31:02
"20",2011-11-23,"23:33:13","people",19,2011-11-23 23:33:13
"21",2011-11-24,"00:29:11","movs",0,2011-11-24 00:29:11
"22",2011-11-24,"00:29:47","people",20,2011-11-24 00:29:47
"23",2011-11-24,"00:29:53","people",21,2011-11-24 00:29:53
"24",2011-11-24,"00:30:05","people",22,2011-11-24 00:30:05
"25",2011-11-24,"00:30:13","people",23,2011-11-24 00:30:13
"26",2011-11-24,"00:30:27","people",24,2011-11-24 00:30:27
"27",2011-11-24,"00:30:43","people",25,2011-11-24 00:30:43
"28",2011-11-24,"00:30:52","people",26,2011-11-24 00:30:52
"29",2011-11-24,"00:31:09","people",27,2011-11-24 00:31:09
"30",2011-11-24,"00:31:10","people",28,2011-11-24 00:31:10
"31",2011-11-24,"00:31:10","people",29,2011-11-24 00:31:10
"32",2011-11-24,"00:31:25","people",30,2011-11-24 00:31:25
"33",2011-11-24,"00:32:15","people",31,2011-11-24 00:32:15
"34",2011-11-24,"00:32:22","people",32,2011-11-24 00:32:22
"35",2011-11-24,"00:32:39","movs",1,2011-11-24 00:32:39
"36",2011-11-24,"00:32:41","people",33,2011-11-24 00:32:41
"37",2011-11-24,"00:32:44","people",34,2011-11-24 00:32:44
"38",2011-11-24,"00:33:11","people",35,2011-11-24 00:33:11
"39",2011-11-24,"00:33:18","people",36,2011-11-24 00:33:18
"40",2011-11-24,"00:33:54","people",37,2011-11-24 00:33:54
"41",2011-11-24,"00:33:56","people",38,2011-11-24 00:33:56
"42",2011-11-24,"00:34:20","people",39,2011-11-24 00:34:20
"43",2011-11-24,"00:34:25","people",40,2011-11-24 00:34:25
"44",2011-11-24,"00:34:27","people",41,2011-11-24 00:34:27
"45",2011-11-24,"00:34:58","people",42,2011-11-24 00:34:58
"46",2011-11-24,"00:35:25","people",43,2011-11-24 00:35:25
"47",2011-11-24,"00:35:35","people",44,2011-11-24 00:35:35
"48",2011-11-24,"00:35:38","people",45,2011-11-24 00:35:38
"49",2011-11-24,"00:36:19","people",46,2011-11-24 00:36:19
"50",2011-11-24,"00:36:24","people",47,2011-11-24 00:36:24
"51",2011-11-24,"00:36:36","people",48,2011-11-24 00:36:36
"52",2011-11-24,"00:36:37","people",49,2011-11-24 00:36:37
"53",2011-11-24,"00:36:40","people",50,2011-11-24 00:36:40
"54",2011-11-24,"00:36:40","people",51,2011-11-24 00:36:40
"55",2011-11-24,"00:36:44","people",52,2011-11-24 00:36:44
"56",2011-11-24,"00:36:45","people",53,2011-11-24 00:36:45
"57",2011-11-24,"00:36:46","people",54,2011-11-24 00:36:46
"58",2011-11-24,"00:37:24","people",55,2011-11-24 00:37:24
"59",2011-11-24,"00:38:02","people",56,2011-11-24 00:38:02
"60",2011-11-24,"00:38:09","people",57,2011-11-24 00:38:09
"61",2011-11-24,"00:38:27","people",58,2011-11-24 00:38:27
"62",2011-11-24,"00:38:51","movs",2,2011-11-24 00:38:51
"63",2011-11-24,"00:39:52","people",59,2011-11-24 00:39:52
"64",2011-11-24,"00:39:56","people",60,2011-11-24 00:39:56
"65",2011-11-24,"00:40:02","people",61,2011-11-24 00:40:02
"66",2011-11-24,"00:40:04","people",62,2011-11-24 00:40:04
"67",2011-11-24,"00:40:10","people",63,2011-11-24 00:40:10
"68",2011-11-24,"00:40:12","people",64,2011-11-24 00:40:12
"69",2011-11-24,"00:40:16","people",65,2011-11-24 00:40:16
"70",2011-11-24,"00:40:32","people",66,2011-11-24 00:40:32
"71",2011-11-24,"00:40:38","people",67,2011-11-24 00:40:38
"72",2011-11-24,"00:40:50","people",68,2011-11-24 00:40:50
"73",2011-11-24,"00:41:15","people",69,2011-11-24 00:41:15
"74",2011-11-24,"00:41:33","people",70,2011-11-24 00:41:33
"75",2011-11-24,"00:42:13","people",71,2011-11-24 00:42:13
"76",2011-11-24,"00:42:14","people",72,2011-11-24 00:42:14
"77",2011-11-24,"00:43:09","people",73,2011-11-24 00:43:09
"78",2011-11-24,"00:44:38","people",74,2011-11-24 00:44:38
"79",2011-11-24,"00:44:59","people",75,2011-11-24 00:44:59
"80",2011-11-24,"00:45:00","people",76,2011-11-24 00:45:00
"81",2011-11-24,"00:45:11","people",77,2011-11-24 00:45:11
"82",2011-11-24,"00:46:32","people",78,2011-11-24 00:46:32
"83",2011-11-24,"00:46:37","people",79,2011-11-24 00:46:37
"84",2011-11-24,"00:47:21","people",80,2011-11-24 00:47:21
"85",2011-11-24,"00:50:01","people",81,2011-11-24 00:50:01
"86",2011-11-24,"00:50:12","people",82,2011-11-24 00:50:12
"87",2011-11-24,"00:51:08","people",83,2011-11-24 00:51:08
"88",2011-11-24,"00:51:40","people",84,2011-11-24 00:51:40
"89",2011-11-24,"00:52:33","people",85,2011-11-24 00:52:33
"90",2011-11-24,"00:53:18","people",86,2011-11-24 00:53:18
"91",2011-11-24,"00:53:25","people",87,2011-11-24 00:53:25
"92",2011-11-24,"00:53:55","people",88,2011-11-24 00:53:55
"93",2011-11-24,"00:54:39","people",89,2011-11-24 00:54:39
"94",2011-11-24,"00:55:13","people",90,2011-11-24 00:55:13
"95",2011-11-24,"00:56:36","people",91,2011-11-24 00:56:36
"96",2011-11-24,"00:58:22","people",92,2011-11-24 00:58:22
"97",2011-11-24,"00:59:09","people",93,2011-11-24 00:59:09
"98",2011-11-24,"00:59:51","people",94,2011-11-24 00:59:51
"99",2011-11-24,"01:05:53","people",95,2011-11-24 01:05:53
"100",2011-11-24,"01:07:52","people",96,2011-11-24 01:07:52
"101",2011-11-24,"01:15:38","people",97,2011-11-24 01:15:38
"102",2011-11-24,"01:21:02","people",98,2011-11-24 01:21:02
"103",2011-11-24,"01:21:10","movs",3,2011-11-24 01:21:10
"104",2011-11-24,"01:21:38","people",99,2011-11-24 01:21:38
"105",2011-11-24,"01:21:55","people",100,2011-11-24 01:21:55
"106",2011-11-24,"01:21:55","people",101,2011-11-24 01:21:55
"107",2011-11-24,"01:21:56","people",102,2011-11-24 01:21:56
"108",2011-11-24,"01:22:09","people",103,2011-11-24 01:22:09
"109",2011-11-24,"01:22:09","people",104,2011-11-24 01:22:09
"110",2011-11-24,"01:22:15","people",105,2011-11-24 01:22:15
"111",2011-11-24,"01:22:23","people",106,2011-11-24 01:22:23
"112",2011-11-24,"01:22:30","people",107,2011-11-24 01:22:30
"113",2011-11-24,"01:22:40","people",108,2011-11-24 01:22:40
"114",2011-11-24,"01:22:55","people",109,2011-11-24 01:22:55
"115",2011-11-24,"01:22:57","people",110,2011-11-24 01:22:57
"116",2011-11-24,"01:22:59","people",111,2011-11-24 01:22:59
"117",2011-11-24,"01:23:01","people",112,2011-11-24 01:23:01
"118",2011-11-24,"01:23:04","people",113,2011-11-24 01:23:04
"119",2011-11-24,"01:23:13","people",114,2011-11-24 01:23:13
"120",2011-11-24,"01:23:26","people",115,2011-11-24 01:23:26
"121",2011-11-24,"01:23:44","people",116,2011-11-24 01:23:44
"122",2011-11-24,"01:23:46","people",117,2011-11-24 01:23:46
"123",2011-11-24,"01:23:50","people",118,2011-11-24 01:23:50
"124",2011-11-24,"01:23:52","people",119,2011-11-24 01:23:52
"125",2011-11-24,"01:23:56","people",120,2011-11-24 01:23:56
"126",2011-11-24,"01:24:07","people",121,2011-11-24 01:24:07
"127",2011-11-24,"01:24:07","people",122,2011-11-24 01:24:07
"128",2011-11-24,"01:24:33","people",123,2011-11-24 01:24:33
"129",2011-11-24,"01:24:54","people",124,2011-11-24 01:24:54
