"","date","time","type","count","datetime"
"1",2012-08-19,"23:07:25","leaders",0,2012-08-19 23:07:25
"2",2012-08-19,"23:09:44","movs",0,2012-08-19 23:09:44
"3",2012-08-19,"23:10:04","people",0,2012-08-19 23:10:04
"4",2012-08-19,"23:10:05","people",1,2012-08-19 23:10:05
"5",2012-08-19,"23:10:25","people",2,2012-08-19 23:10:25
"6",2012-08-19,"23:10:37","people",3,2012-08-19 23:10:37
"7",2012-08-19,"23:11:20","people",4,2012-08-19 23:11:20
"8",2012-08-19,"23:14:33","people",5,2012-08-19 23:14:33
"9",2012-08-19,"23:16:05","people",6,2012-08-19 23:16:05
"10",2012-08-19,"23:16:31","people",7,2012-08-19 23:16:31
"11",2012-08-19,"23:42:22","people",8,2012-08-19 23:42:22
"12",2012-08-19,"23:47:58","people",9,2012-08-19 23:47:58
"13",2012-08-20,"00:06:23","people",10,2012-08-20 00:06:23
"14",2012-08-23,"15:46:06","people",11,2012-08-23 15:46:06
"15",2012-08-23,"15:48:15","people",12,2012-08-23 15:48:15
"16",2012-08-26,"20:05:28","people",13,2012-08-26 20:05:28
"17",2012-08-28,"21:47:02","leaders",1,2012-08-28 21:47:02
"18",2012-08-28,"21:47:41","people",14,2012-08-28 21:47:41
"19",2012-08-28,"21:47:55","people",15,2012-08-28 21:47:55
"20",2012-08-28,"21:49:49","people",16,2012-08-28 21:49:49
"21",2012-08-28,"21:52:01","people",17,2012-08-28 21:52:01
"22",2012-08-28,"21:52:32","people",18,2012-08-28 21:52:32
"23",2012-08-28,"21:53:31","people",19,2012-08-28 21:53:31
"24",2012-08-28,"21:57:57","movs",1,2012-08-28 21:57:57
"25",2012-08-28,"22:02:19","people",20,2012-08-28 22:02:19
"26",2012-08-28,"22:09:15","leaders",2,2012-08-28 22:09:15
"27",2012-08-28,"22:14:54","people",21,2012-08-28 22:14:54
"28",2012-08-28,"22:15:22","people",22,2012-08-28 22:15:22
"29",2012-08-28,"22:18:27","people",23,2012-08-28 22:18:27
"30",2012-08-28,"22:34:56","people",24,2012-08-28 22:34:56
"31",2012-08-29,"03:28:02","people",25,2012-08-29 03:28:02
"32",2012-09-04,"23:44:45","people",26,2012-09-04 23:44:45
"33",2012-09-04,"23:50:15","people",27,2012-09-04 23:50:15
"34",2012-09-09,"02:49:41","movs",2,2012-09-09 02:49:41
"35",2012-09-09,"02:50:17","people",28,2012-09-09 02:50:17
"36",2012-09-09,"02:51:21","people",29,2012-09-09 02:51:21
"37",2012-09-09,"02:53:01","people",30,2012-09-09 02:53:01
"38",2012-09-09,"03:17:34","people",31,2012-09-09 03:17:34
"39",2012-09-09,"03:20:39","people",32,2012-09-09 03:20:39
