"","date","time","type","count","datetime"
"1",2011-02-15,"03:50:39","people",0,2011-02-15 03:50:39
"2",2011-03-24,"06:40:07","people",1,2011-03-24 06:40:07
"3",2011-08-15,"18:54:14","people",2,2011-08-15 18:54:14
"4",2011-08-18,"04:49:43","people",3,2011-08-18 04:49:43
"5",2011-08-23,"17:42:21","people",4,2011-08-23 17:42:21
"6",2011-08-23,"22:28:49","media",0,2011-08-23 22:28:49
"7",2011-08-25,"01:54:52","people",5,2011-08-25 01:54:52
"8",2011-08-25,"01:55:32","movs",0,2011-08-25 01:55:32
"9",2011-08-25,"01:56:13","people",6,2011-08-25 01:56:13
"10",2011-08-25,"01:56:32","people",7,2011-08-25 01:56:32
"11",2011-08-25,"14:57:28","people",8,2011-08-25 14:57:28
"12",2012-03-13,"16:24:26","people",9,2012-03-13 16:24:26
"13",2012-03-13,"16:25:03","people",10,2012-03-13 16:25:03
"14",2012-03-13,"17:24:25","people",11,2012-03-13 17:24:25
"15",2012-08-24,"15:56:56","movs",1,2012-08-24 15:56:56
"16",2012-08-24,"15:58:00","people",12,2012-08-24 15:58:00
"17",2012-08-24,"15:59:16","people",13,2012-08-24 15:59:16
"18",2012-08-24,"16:20:19","movs",2,2012-08-24 16:20:19
"19",2012-08-24,"16:21:09","movs",3,2012-08-24 16:21:09
"20",2012-08-24,"16:59:09","people",14,2012-08-24 16:59:09
"21",2012-08-24,"17:30:17","movs",4,2012-08-24 17:30:17
"22",2012-08-24,"17:35:57","leaders",0,2012-08-24 17:35:57
"23",2012-08-24,"17:36:02","people",15,2012-08-24 17:36:02
"24",2012-08-24,"18:30:18","movs",5,2012-08-24 18:30:18
"25",2012-08-24,"18:30:18","movs",6,2012-08-24 18:30:18
"26",2012-08-24,"18:30:44","people",16,2012-08-24 18:30:44
"27",2012-08-24,"18:34:19","people",17,2012-08-24 18:34:19
"28",2012-08-24,"19:15:04","orgs",0,2012-08-24 19:15:04
"29",2012-08-24,"19:15:29","people",18,2012-08-24 19:15:29
"30",2012-08-24,"19:16:07","people",19,2012-08-24 19:16:07
"31",2012-08-24,"21:30:09","movs",7,2012-08-24 21:30:09
"32",2012-08-24,"21:34:11","people",20,2012-08-24 21:34:11
"33",2012-08-24,"22:00:10","movs",8,2012-08-24 22:00:10
"34",2012-08-24,"22:12:36","people",21,2012-08-24 22:12:36
"35",2012-08-24,"22:15:06","orgs",1,2012-08-24 22:15:06
"36",2012-08-24,"22:19:02","people",22,2012-08-24 22:19:02
"37",2012-08-24,"22:36:08","people",23,2012-08-24 22:36:08
