"","date","time","type","count","datetime"
"1",2012-08-01,"00:29:00","movs",0,2012-08-01 00:29:00
"2",2012-08-01,"00:29:25","people",0,2012-08-01 00:29:25
"3",2012-08-01,"00:30:33","movs",1,2012-08-01 00:30:33
"4",2012-08-01,"00:31:39","people",1,2012-08-01 00:31:39
"5",2012-08-01,"00:32:08","people",2,2012-08-01 00:32:08
"6",2012-08-01,"00:32:34","people",3,2012-08-01 00:32:34
"7",2012-08-01,"00:32:35","movs",2,2012-08-01 00:32:35
"8",2012-08-01,"00:33:02","people",4,2012-08-01 00:33:02
"9",2012-08-01,"00:33:49","people",5,2012-08-01 00:33:49
"10",2012-08-01,"00:36:24","leaders",0,2012-08-01 00:36:24
"11",2012-08-01,"00:39:49","people",6,2012-08-01 00:39:49
"12",2012-08-01,"01:05:26","movs",3,2012-08-01 01:05:26
"13",2012-08-01,"01:06:15","people",7,2012-08-01 01:06:15
"14",2012-08-01,"01:09:12","leaders",1,2012-08-01 01:09:12
"15",2012-08-01,"01:09:27","people",8,2012-08-01 01:09:27
"16",2012-08-01,"01:10:35","leaders",2,2012-08-01 01:10:35
"17",2012-08-01,"01:11:54","people",9,2012-08-01 01:11:54
"18",2012-08-01,"01:30:09","people",10,2012-08-01 01:30:09
"19",2012-08-01,"02:27:34","people",11,2012-08-01 02:27:34
"20",2012-08-01,"02:38:41","people",12,2012-08-01 02:38:41
"21",2012-08-01,"02:40:48","movs",4,2012-08-01 02:40:48
"22",2012-08-01,"02:41:00","movs",5,2012-08-01 02:41:00
"23",2012-08-01,"02:48:36","orgs",0,2012-08-01 02:48:36
"24",2012-08-01,"04:25:21","people",13,2012-08-01 04:25:21
"25",2012-08-01,"04:25:27","people",14,2012-08-01 04:25:27
"26",2012-08-01,"04:48:36","orgs",1,2012-08-01 04:48:36
"27",2012-08-01,"05:12:01","people",15,2012-08-01 05:12:01
"28",2012-08-01,"05:16:01","people",16,2012-08-01 05:16:01
"29",2012-08-01,"05:18:10","people",17,2012-08-01 05:18:10
"30",2012-08-01,"05:20:43","people",18,2012-08-01 05:20:43
"31",2012-08-01,"05:23:53","people",19,2012-08-01 05:23:53
"32",2012-08-01,"06:25:10","leaders",3,2012-08-01 06:25:10
"33",2012-08-01,"06:26:00","leaders",4,2012-08-01 06:26:00
"34",2012-08-01,"12:43:24","orgs",2,2012-08-01 12:43:24
"35",2012-08-01,"12:44:17","orgs",3,2012-08-01 12:44:17
"36",2012-08-01,"12:46:03","leaders",5,2012-08-01 12:46:03
"37",2012-08-01,"12:47:56","people",20,2012-08-01 12:47:56
"38",2012-08-01,"12:48:03","people",21,2012-08-01 12:48:03
"39",2012-08-01,"12:48:07","movs",6,2012-08-01 12:48:07
"40",2012-08-01,"12:49:44","leaders",6,2012-08-01 12:49:44
"41",2012-08-01,"12:49:51","people",22,2012-08-01 12:49:51
"42",2012-08-01,"12:54:02","people",23,2012-08-01 12:54:02
"43",2012-08-01,"13:00:29","orgs",4,2012-08-01 13:00:29
"44",2012-08-01,"13:33:02","people",24,2012-08-01 13:33:02
"45",2012-08-01,"13:36:11","orgs",5,2012-08-01 13:36:11
"46",2012-08-01,"13:40:25","people",25,2012-08-01 13:40:25
"47",2012-08-01,"13:40:56","movs",7,2012-08-01 13:40:56
"48",2012-08-01,"13:41:30","people",26,2012-08-01 13:41:30
"49",2012-08-01,"13:41:46","people",27,2012-08-01 13:41:46
"50",2012-08-01,"13:41:47","people",28,2012-08-01 13:41:47
"51",2012-08-01,"13:43:12","people",29,2012-08-01 13:43:12
"52",2012-08-01,"13:53:14","people",30,2012-08-01 13:53:14
"53",2012-08-01,"14:04:05","leaders",7,2012-08-01 14:04:05
"54",2012-08-01,"14:21:12","people",31,2012-08-01 14:21:12
"55",2012-08-01,"14:32:15","people",32,2012-08-01 14:32:15
"56",2012-08-01,"14:34:50","orgs",6,2012-08-01 14:34:50
"57",2012-08-01,"14:42:53","people",33,2012-08-01 14:42:53
"58",2012-08-01,"14:59:11","people",34,2012-08-01 14:59:11
"59",2012-08-01,"15:10:36","orgs",7,2012-08-01 15:10:36
"60",2012-08-01,"15:46:37","orgs",8,2012-08-01 15:46:37
"61",2012-08-01,"15:46:49","orgs",9,2012-08-01 15:46:49
"62",2012-08-01,"16:50:28","people",35,2012-08-01 16:50:28
"63",2012-08-01,"16:54:06","people",36,2012-08-01 16:54:06
"64",2012-08-01,"16:55:17","people",37,2012-08-01 16:55:17
"65",2012-08-01,"17:02:31","movs",8,2012-08-01 17:02:31
"66",2012-08-01,"18:12:04","orgs",10,2012-08-01 18:12:04
"67",2012-08-01,"18:28:27","people",38,2012-08-01 18:28:27
"68",2012-08-01,"18:32:36","people",39,2012-08-01 18:32:36
"69",2012-08-01,"18:33:38","people",40,2012-08-01 18:33:38
"70",2012-08-01,"18:33:44","people",41,2012-08-01 18:33:44
"71",2012-08-01,"18:33:48","people",42,2012-08-01 18:33:48
"72",2012-08-01,"18:52:04","people",43,2012-08-01 18:52:04
"73",2012-08-01,"18:54:58","people",44,2012-08-01 18:54:58
"74",2012-08-01,"18:56:13","people",45,2012-08-01 18:56:13
"75",2012-08-01,"18:56:29","people",46,2012-08-01 18:56:29
"76",2012-08-01,"19:02:03","people",47,2012-08-01 19:02:03
"77",2012-08-01,"19:36:13","leaders",8,2012-08-01 19:36:13
"78",2012-08-01,"20:02:51","people",48,2012-08-01 20:02:51
"79",2012-08-02,"04:00:25","people",49,2012-08-02 04:00:25
"80",2012-08-02,"13:22:38","people",50,2012-08-02 13:22:38
"81",2012-08-02,"13:23:14","people",51,2012-08-02 13:23:14
"82",2012-08-02,"13:24:09","people",52,2012-08-02 13:24:09
"83",2012-08-02,"13:46:39","people",53,2012-08-02 13:46:39
"84",2012-08-02,"13:50:55","people",54,2012-08-02 13:50:55
"85",2012-08-02,"14:19:07","people",55,2012-08-02 14:19:07
"86",2012-08-02,"14:28:47","people",56,2012-08-02 14:28:47
"87",2012-08-02,"14:33:26","movs",9,2012-08-02 14:33:26
"88",2012-08-02,"14:34:34","people",57,2012-08-02 14:34:34
"89",2012-08-02,"14:36:04","people",58,2012-08-02 14:36:04
