"","date","time","type","count","datetime"
"1",2011-07-02,"22:11:28","people",0,2011-07-02 22:11:28
"2",2011-07-05,"12:53:13","people",1,2011-07-05 12:53:13
"3",2011-07-05,"23:15:16","people",2,2011-07-05 23:15:16
"4",2011-07-06,"01:54:26","people",3,2011-07-06 01:54:26
"5",2011-07-08,"15:41:53","people",4,2011-07-08 15:41:53
"6",2011-07-08,"15:48:51","people",5,2011-07-08 15:48:51
"7",2011-07-08,"15:56:21","people",6,2011-07-08 15:56:21
"8",2011-08-11,"17:26:43","people",7,2011-08-11 17:26:43
"9",2011-08-11,"17:33:23","people",8,2011-08-11 17:33:23
"10",2011-08-11,"18:45:12","people",9,2011-08-11 18:45:12
"11",2011-08-12,"01:32:33","people",10,2011-08-12 01:32:33
"12",2011-08-18,"17:25:31","people",11,2011-08-18 17:25:31
"13",2011-08-18,"17:28:06","people",12,2011-08-18 17:28:06
"14",2011-08-18,"17:28:30","people",13,2011-08-18 17:28:30
"15",2011-08-18,"17:42:46","people",14,2011-08-18 17:42:46
"16",2011-08-18,"17:52:02","people",15,2011-08-18 17:52:02
"17",2011-09-06,"23:50:02","people",16,2011-09-06 23:50:02
"18",2011-10-06,"01:51:28","people",17,2011-10-06 01:51:28
"19",2011-10-06,"02:10:05","people",18,2011-10-06 02:10:05
"20",2011-10-30,"23:17:51","people",19,2011-10-30 23:17:51
"21",2012-01-03,"16:17:40","people",20,2012-01-03 16:17:40
"22",2012-01-15,"19:47:09","people",21,2012-01-15 19:47:09
"23",2012-04-21,"23:25:03","people",22,2012-04-21 23:25:03
"24",2012-04-25,"18:25:32","people",23,2012-04-25 18:25:32
"25",2012-04-25,"18:35:32","people",24,2012-04-25 18:35:32
"26",2012-07-07,"17:13:53","people",25,2012-07-07 17:13:53
"27",2012-08-07,"18:47:06","people",26,2012-08-07 18:47:06
"28",2012-08-16,"16:32:27","people",27,2012-08-16 16:32:27
"29",2012-09-05,"23:15:28","people",28,2012-09-05 23:15:28
"30",2013-02-27,"00:34:32","people",29,2013-02-27 00:34:32
"31",2013-04-10,"04:15:58","people",30,2013-04-10 04:15:58
