"","date","time","type","count","datetime"
"1",2011-06-20,"23:03:47","people",0,2011-06-20 23:03:47
"2",2011-06-20,"23:03:48","media",0,2011-06-20 23:03:48
"3",2011-06-20,"23:03:49","media",1,2011-06-20 23:03:49
"4",2011-06-20,"23:03:50","people",1,2011-06-20 23:03:50
"5",2011-06-20,"23:40:56","people",2,2011-06-20 23:40:56
"6",2011-06-28,"20:00:27","people",3,2011-06-28 20:00:27
"7",2011-08-07,"04:02:14","people",4,2011-08-07 04:02:14
"8",2011-08-08,"05:59:28","people",5,2011-08-08 05:59:28
"9",2011-08-17,"03:52:35","people",6,2011-08-17 03:52:35
"10",2011-08-26,"19:04:17","people",7,2011-08-26 19:04:17
"11",2011-08-27,"01:36:37","people",8,2011-08-27 01:36:37
"12",2011-09-21,"13:52:10","media",2,2011-09-21 13:52:10
"13",2011-10-24,"13:21:04","media",3,2011-10-24 13:21:04
"14",2011-10-24,"13:21:05","media",4,2011-10-24 13:21:05
"15",2011-10-24,"13:21:05","media",5,2011-10-24 13:21:05
"16",2011-10-24,"13:21:05","media",6,2011-10-24 13:21:05
"17",2011-10-24,"13:21:06","people",9,2011-10-24 13:21:06
"18",2011-10-24,"13:21:06","media",7,2011-10-24 13:21:06
"19",2011-10-24,"13:21:08","media",8,2011-10-24 13:21:08
"20",2011-10-24,"13:21:08","people",10,2011-10-24 13:21:08
"21",2011-10-24,"13:21:09","people",11,2011-10-24 13:21:09
"22",2011-10-24,"13:21:10","people",12,2011-10-24 13:21:10
"23",2011-10-24,"13:21:13","people",13,2011-10-24 13:21:13
"24",2011-10-24,"13:21:13","media",9,2011-10-24 13:21:13
"25",2011-10-24,"13:21:13","media",10,2011-10-24 13:21:13
"26",2011-10-24,"13:21:14","people",14,2011-10-24 13:21:14
"27",2011-10-24,"13:21:14","media",11,2011-10-24 13:21:14
"28",2011-10-24,"13:21:16","media",12,2011-10-24 13:21:16
"29",2011-10-24,"13:21:16","movs",0,2011-10-24 13:21:16
"30",2011-10-24,"13:22:25","people",15,2011-10-24 13:22:25
"31",2011-10-24,"13:22:27","people",16,2011-10-24 13:22:27
"32",2011-10-24,"13:22:47","people",17,2011-10-24 13:22:47
"33",2011-10-24,"13:26:50","people",18,2011-10-24 13:26:50
"34",2011-10-24,"13:27:48","people",19,2011-10-24 13:27:48
"35",2011-10-24,"13:29:44","people",20,2011-10-24 13:29:44
