"","date","time","type","count","datetime"
"1",2011-06-22,"02:21:27","people",0,2011-06-22 02:21:27
"2",2012-04-22,"00:43:54","people",1,2012-04-22 00:43:54
"3",2012-04-22,"00:50:46","people",2,2012-04-22 00:50:46
"4",2012-04-22,"00:51:55","people",3,2012-04-22 00:51:55
"5",2012-04-22,"00:52:10","people",4,2012-04-22 00:52:10
"6",2012-04-22,"00:54:48","people",5,2012-04-22 00:54:48
"7",2012-04-22,"00:55:47","people",6,2012-04-22 00:55:47
"8",2012-04-22,"01:01:40","people",7,2012-04-22 01:01:40
"9",2012-04-22,"01:02:03","people",8,2012-04-22 01:02:03
"10",2012-04-22,"01:03:55","people",9,2012-04-22 01:03:55
"11",2012-04-22,"01:10:42","people",10,2012-04-22 01:10:42
"12",2012-04-22,"01:14:18","people",11,2012-04-22 01:14:18
"13",2012-04-22,"01:14:48","people",12,2012-04-22 01:14:48
"14",2012-04-22,"01:15:33","people",13,2012-04-22 01:15:33
"15",2012-04-22,"01:15:44","people",14,2012-04-22 01:15:44
"16",2012-04-22,"01:19:11","people",15,2012-04-22 01:19:11
"17",2012-04-22,"01:20:44","people",16,2012-04-22 01:20:44
"18",2012-04-22,"01:20:53","movs",0,2012-04-22 01:20:53
"19",2012-04-22,"01:21:12","people",17,2012-04-22 01:21:12
"20",2012-04-22,"01:21:18","people",18,2012-04-22 01:21:18
"21",2012-04-22,"01:21:18","people",19,2012-04-22 01:21:18
"22",2012-04-22,"01:21:29","people",20,2012-04-22 01:21:29
"23",2012-04-22,"01:21:34","people",21,2012-04-22 01:21:34
"24",2012-04-22,"01:22:06","people",22,2012-04-22 01:22:06
"25",2012-04-22,"01:22:32","people",23,2012-04-22 01:22:32
"26",2012-04-22,"01:22:52","people",24,2012-04-22 01:22:52
"27",2012-04-22,"01:22:55","people",25,2012-04-22 01:22:55
"28",2012-04-22,"01:23:51","people",26,2012-04-22 01:23:51
"29",2012-04-22,"01:24:03","movs",1,2012-04-22 01:24:03
"30",2012-04-22,"01:24:37","people",27,2012-04-22 01:24:37
"31",2012-04-22,"01:25:31","movs",2,2012-04-22 01:25:31
"32",2012-04-22,"01:25:52","movs",3,2012-04-22 01:25:52
"33",2012-04-22,"01:25:57","movs",4,2012-04-22 01:25:57
"34",2012-04-22,"01:26:33","people",28,2012-04-22 01:26:33
"35",2012-04-22,"01:26:39","people",29,2012-04-22 01:26:39
"36",2012-04-22,"01:26:56","people",30,2012-04-22 01:26:56
"37",2012-04-22,"01:27:04","people",31,2012-04-22 01:27:04
"38",2012-04-22,"01:27:52","people",32,2012-04-22 01:27:52
"39",2012-04-22,"01:28:41","people",33,2012-04-22 01:28:41
"40",2012-04-22,"01:29:13","people",34,2012-04-22 01:29:13
"41",2012-04-22,"01:29:33","people",35,2012-04-22 01:29:33
"42",2012-04-22,"01:30:01","movs",5,2012-04-22 01:30:01
"43",2012-04-22,"01:30:03","people",36,2012-04-22 01:30:03
"44",2012-04-22,"01:30:33","people",37,2012-04-22 01:30:33
"45",2012-04-22,"01:30:37","movs",6,2012-04-22 01:30:37
"46",2012-04-22,"01:30:40","people",38,2012-04-22 01:30:40
"47",2012-04-22,"01:30:42","people",39,2012-04-22 01:30:42
"48",2012-04-22,"01:31:06","people",40,2012-04-22 01:31:06
"49",2012-04-22,"01:31:48","people",41,2012-04-22 01:31:48
"50",2012-04-22,"01:31:50","people",42,2012-04-22 01:31:50
"51",2012-04-22,"01:32:10","people",43,2012-04-22 01:32:10
"52",2012-04-22,"01:33:01","people",44,2012-04-22 01:33:01
"53",2012-04-22,"01:34:03","movs",7,2012-04-22 01:34:03
"54",2012-04-22,"01:34:17","people",45,2012-04-22 01:34:17
"55",2012-04-22,"01:34:52","people",46,2012-04-22 01:34:52
"56",2012-04-22,"01:35:04","people",47,2012-04-22 01:35:04
"57",2012-04-22,"01:35:06","people",48,2012-04-22 01:35:06
"58",2012-04-22,"01:35:07","people",49,2012-04-22 01:35:07
"59",2012-04-22,"01:35:22","people",50,2012-04-22 01:35:22
"60",2012-04-22,"01:35:24","movs",8,2012-04-22 01:35:24
"61",2012-04-22,"01:35:34","people",51,2012-04-22 01:35:34
"62",2012-04-22,"01:36:58","people",52,2012-04-22 01:36:58
"63",2012-04-22,"01:37:38","people",53,2012-04-22 01:37:38
"64",2012-04-22,"01:38:11","people",54,2012-04-22 01:38:11
"65",2012-04-22,"01:38:12","people",55,2012-04-22 01:38:12
"66",2012-04-22,"01:38:24","people",56,2012-04-22 01:38:24
"67",2012-04-22,"01:38:47","movs",9,2012-04-22 01:38:47
"68",2012-04-22,"01:38:50","people",57,2012-04-22 01:38:50
"69",2012-04-22,"01:38:53","people",58,2012-04-22 01:38:53
"70",2012-04-22,"01:38:54","people",59,2012-04-22 01:38:54
"71",2012-04-22,"01:39:00","people",60,2012-04-22 01:39:00
"72",2012-04-22,"01:39:07","people",61,2012-04-22 01:39:07
"73",2012-04-22,"01:39:11","people",62,2012-04-22 01:39:11
"74",2012-04-22,"01:39:14","people",63,2012-04-22 01:39:14
"75",2012-04-22,"01:39:23","people",64,2012-04-22 01:39:23
"76",2012-04-22,"01:39:33","people",65,2012-04-22 01:39:33
"77",2012-04-22,"01:39:37","people",66,2012-04-22 01:39:37
"78",2012-04-22,"01:40:13","people",67,2012-04-22 01:40:13
"79",2012-04-22,"01:41:37","people",68,2012-04-22 01:41:37
"80",2012-04-22,"01:41:48","people",69,2012-04-22 01:41:48
"81",2012-04-22,"01:42:38","people",70,2012-04-22 01:42:38
"82",2012-04-22,"01:42:46","people",71,2012-04-22 01:42:46
"83",2012-04-22,"01:43:15","people",72,2012-04-22 01:43:15
"84",2012-04-22,"01:43:53","movs",10,2012-04-22 01:43:53
"85",2012-04-22,"01:44:05","movs",11,2012-04-22 01:44:05
"86",2012-04-22,"01:44:27","people",73,2012-04-22 01:44:27
"87",2012-04-22,"01:44:31","people",74,2012-04-22 01:44:31
"88",2012-04-22,"01:44:46","people",75,2012-04-22 01:44:46
"89",2012-04-22,"01:45:00","people",76,2012-04-22 01:45:00
"90",2012-04-22,"01:45:11","people",77,2012-04-22 01:45:11
"91",2012-04-22,"01:45:29","people",78,2012-04-22 01:45:29
"92",2012-04-22,"01:45:58","movs",12,2012-04-22 01:45:58
"93",2012-04-22,"01:46:38","movs",13,2012-04-22 01:46:38
"94",2012-04-22,"01:46:44","people",79,2012-04-22 01:46:44
