"","indegree","outdegree","hub","authority","clusterCoefficient","page.rank"
"leaders",0.045,0.173,0.174,0.011,0.019,0.166
"orgs",0.246,0.093,0.114,0.25,0.002,0.263
"people",0,0.006,0.002,0,0,0
"media",0.004,0.026,0.021,0,0.13,0.012
"movs",0.104,0.076,0.087,0.229,0.086,0.07
"celebrities",0,0.008,0.005,0,0.016,0
"leaders1",0.045,0.173,0.174,0.011,0.019,0.166
"orgs1",0.246,0.093,0.114,0.25,0.002,0.263
"people1",0,0.006,0.002,0,0,0
"media1",0.004,0.026,0.021,0,0.13,0.012
"movs1",0.104,0.076,0.087,0.229,0.086,0.07
"celebrities1",0,0.008,0.005,0,0.016,0
"leaders2",0.131,0.101,0.048,0.129,0.022,0.131
"orgs2",0.015,0.162,0.046,0.018,0.05,0.039
"people2",0,0.032,0.042,0,0.067,0
"media2",0,0.008,0.011,0,0.26,0
"movs2",0.029,0.099,0.109,0.061,0.209,0.094
"celebrities2",0,0.02,0.021,0,0.255,0
"leaders3",0.132,0.11,0.006,0.012,0.027,0.141
"orgs3",0.036,0.109,0.007,0.015,0.117,0.078
"people3",0,0.04,0.005,0,0.248,0
"media3",0,0.007,0.001,0,0.29,0
"movs3",0.063,0.163,0.094,0.095,0.186,0.08
"celebrities3",0,0.017,0.001,0,0.206,0
"leaders4",0.127,0.08,0.003,0.009,0.056,0.145
"orgs4",0.02,0.054,0,0.003,0.183,0.018
"people4",0,0.014,0,0,0.226,0
"media4",0,0.007,0.001,0,0.305,0
"movs4",0.036,0.116,0.081,0.081,0.25,0.051
"celebrities4",0,0.01,0,0,0.307,0
