"","date","leaders","orgs","people","movs","medios","celebrities"
"1","2011-07-27","0.0","0.0000","1.0000","0.0000"," 0.0000","0.0000"
"2","2011-07-28","0.0","0.0000","1.0000","0.0000"," 0.0000","0.0000"
"3","2011-07-29","0.0","0.0000","1.0000","0.0000"," 0.0000","0.0000"
"4","2011-07-30","0.0","0.0000","1.3333","0.0000"," 0.0000","0.0000"
"5","2011-07-31","0.0","0.0000","1.5000","0.0000"," 0.0000","0.0000"
"6","2011-08-01","0.0","0.0000","1.0000","0.0000"," 0.0000","0.0000"
"7","2011-08-02","0.0","0.0000","1.0000","0.0000"," 0.0000","0.0000"
"8","2011-08-03","0.0","0.0000","0.0000","6.0000"," 6.0000","0.0000"
"9","2011-08-04","4.5","3.5000","2.2344","8.0714","17.7778","2.8000"
"10","2011-08-05","3.0","4.6667","2.0534","7.1250"," 8.1875","2.4444"
"11","2011-08-06","1.0","0.0000","0.0000","2.2857"," 2.6667","1.0000"
