"","date","leaders","orgs","people","movs","medios","celebrities"
"1","2012-01-01","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"2","2012-01-02","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"3","2012-01-03","0.0000","0.0000","1.1250","0.0000","0.0","0.0000"
"4","2012-01-04","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"5","2011-01-05","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"6","2012-01-05","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"7","2013-01-05","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"8","2012-01-06","0.0000","0.0000","1.0000","1.0000","0.0","1.0000"
"9","2012-01-11","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"10","2013-01-11","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"11","2012-01-12","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"12","2013-01-12","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"13","2012-01-13","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"14","2012-01-14","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"15","2012-01-17","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"16","2013-01-17","0.0000","0.0000","1.1290","0.0000","0.0","0.0000"
"17","2012-01-18","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"18","2012-01-19","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"19","2013-01-19","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"20","2013-01-21","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"21","2012-01-24","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"22","2013-01-24","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"23","2013-01-25","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"24","2013-01-26","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"25","2011-01-27","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"26","2013-01-27","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"27","2013-01-28","0.0000","0.0000","2.0000","0.0000","0.0","0.0000"
"28","2011-01-29","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"29","2012-01-29","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"30","2012-02-02","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"31","2012-02-03","0.0000","0.0000","3.0000","0.0000","0.0","0.0000"
"32","2012-02-04","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"33","2012-02-08","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"34","2011-02-10","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"35","2011-02-11","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"36","2012-02-11","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"37","2011-02-12","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"38","2011-02-13","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"39","2013-02-14","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"40","2012-02-15","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"41","2013-02-15","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"42","2012-02-16","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"43","2013-02-16","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"44","2012-02-17","0.0000","0.0000","2.0000","0.0000","0.0","0.0000"
"45","2013-02-17","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"46","2011-02-18","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"47","2012-02-18","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"48","2013-02-18","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
"49","2011-02-21","0.0000","0.0000","1.0000","0.0000","0.0","0.0000"
