"","date","leaders","orgs","people","movs","medios","celebrities"
"1","2012-01-23","0","0","1.0000"," 0.0000","0.0","0"
"2","2013-01-25","0","0","1.0000"," 0.0000","0.0","0"
"3","2012-02-06","0","0","1.0000"," 0.0000","0.0","0"
"4","2012-02-24","0","0","1.0000"," 0.0000","0.0","0"
"5","2012-03-24","0","0","1.0000"," 0.0000","0.0","0"
"6","2012-05-21","0","0","1.0000"," 1.0000","0.0","0"
"7","2012-06-13","0","0","7.0000"," 0.0000","0.0","0"
"8","2011-08-10","0","0","1.0000"," 0.0000","0.0","0"
"9","2011-08-11","0","0","1.0000"," 0.0000","0.0","0"
"10","2013-08-28","0","0","1.0000"," 0.0000","0.0","0"
"11","2012-09-30","0","0","1.0000"," 0.0000","0.0","0"
"12","2012-10-05","0","0","1.0000"," 0.0000","0.0","0"
"13","2011-11-13","0","0","1.0000"," 0.0000","0.0","0"
"14","2011-11-14","0","0","1.3333"," 0.0000","0.0","0"
"15","2011-11-20","0","0","1.0000"," 0.0000","0.0","0"
"16","2011-11-21","0","0","2.0000"," 0.0000","0.0","0"
"17","2011-11-22","0","0","1.0000"," 0.0000","0.0","0"
"18","2011-11-23","0","0","1.2000"," 0.0000","0.0","0"
"19","2011-11-24","1","1","2.3162","11.0833","2.2","0"
"20","2011-11-25","0","0","1.4688"," 2.3333","0.0","0"
"21","2011-11-26","0","0","1.4643"," 1.5000","0.0","0"
"22","2011-11-27","0","0","1.2143"," 0.0000","0.0","0"
"23","2011-11-28","0","0","1.0000"," 1.0000","0.0","0"
"24","2011-11-29","0","0","1.2222"," 0.0000","0.0","0"
"25","2011-11-30","0","0","1.1538"," 2.0000","0.0","0"
"26","2011-12-01","0","0","1.0000"," 0.0000","0.0","0"
"27","2011-12-02","0","0","1.0000"," 0.0000","0.0","0"
"28","2011-12-06","0","0","1.1786"," 4.0000","0.0","0"
"29","2011-12-07","0","0","1.1429"," 1.0000","0.0","0"
"30","2011-12-08","0","0","1.0000"," 1.0000","0.0","0"
"31","2011-12-09","0","0","1.6667"," 0.0000","0.0","0"
"32","2011-12-10","0","0","2.0000"," 0.0000","0.0","0"
"33","2011-12-11","0","0","1.2500"," 1.0000","0.0","0"
"34","2011-12-12","0","0","1.0000"," 0.0000","0.0","0"
"35","2011-12-13","0","0","2.0000"," 0.0000","0.0","0"
"36","2011-12-28","0","0","1.0000"," 0.0000","0.0","0"
