"","date","leaders","orgs","people","movs","medios","celebrities"
"1","2013-01-09","0.0000","0.0000","1.0000","0.0000","0","0"
"2","2013-03-22","0.0000","0.0000","2.0000","0.0000","0","0"
"3","2012-08-14","2.3333","2.0000","1.2737","1.6667","0","1"
"4","2012-08-15","2.0000","1.6667","1.5605","3.6667","1","0"
"5","2012-08-16","1.3333","1.7500","0.0000","2.2500","0","0"
"6","2012-08-17","2.6667","3.0000","1.6000","2.8750","0","0"
"7","2012-08-18","1.0000","0.0000","1.1500","1.0000","0","0"
"8","2012-08-19","0.0000","1.0000","0.0000","1.3333","0","0"
"9","2012-08-20","1.0000","1.0000","0.0000","1.5000","0","0"
"10","2012-08-21","1.0000","5.7500","2.0000","8.1250","3","1"
"11","2012-08-22","4.2000","2.5000","1.8975","5.3571","2","2"
"12","2012-08-23","0.0000","1.0000","1.6575","3.1667","3","0"
"13","2012-08-24","0.0000","0.0000","1.0000","0.0000","0","0"
