"","date","leaders","orgs","people","movs","medios","celebrities"
"1","2011-02-15","0.0"," 0.0000","1.0000","0.0000","0","0"
"2","2012-03-13","0.0"," 0.0000","1.0000","0.0000","0","0"
"3","2011-03-24","0.0"," 0.0000","1.0000","0.0000","0","0"
"4","2013-04-07","0.0"," 0.0000","1.0000","0.0000","0","0"
"5","2013-04-10","0.0"," 0.0000","1.0000","0.0000","0","0"
"6","2013-06-13","0.0"," 0.0000","1.0000","0.0000","0","0"
"7","2013-06-26","0.0"," 0.0000","1.0000","0.0000","0","0"
"8","2013-06-27","0.0"," 0.0000","1.0000","0.0000","0","0"
"9","2011-08-15","0.0"," 0.0000","1.0000","0.0000","0","0"
"10","2011-08-18","0.0"," 0.0000","1.0000","0.0000","0","0"
"11","2011-08-23","0.0"," 0.0000","1.0000","0.0000","1","0"
"12","2012-08-24","1.0"," 3.0000","0.0000","4.5000","0","0"
"13","2011-08-25","0.0"," 0.0000","1.1429","1.0000","0","0"
"14","2012-08-25","0.0","10.0000","0.0000","1.3333","0","0"
"15","2012-08-26","1.0"," 2.0000","0.0000","1.2500","1","1"
"16","2012-08-27","0.0"," 4.2000","1.1754","2.0000","1","0"
"17","2012-08-28","1.4"," 7.0000","1.4406","2.7000","2","0"
"18","2012-08-29","1.0"," 1.3333","1.0263","1.0000","0","0"
"19","2012-08-30","0.0"," 0.0000","1.0714","1.0000","0","0"
"20","2012-08-31","0.0"," 0.0000","1.5000","1.0000","0","0"
"21","2012-09-01","0.0"," 0.0000","1.0000","0.0000","0","0"
"22","2012-09-02","0.0"," 3.5000","0.0000","6.0000","0","0"
"23","2011-09-03","0.0"," 0.0000","1.0000","0.0000","0","0"
"24","2012-09-03","0.0"," 6.0000","0.0000","3.0000","0","0"
"25","2012-09-04","1.0"," 0.0000","0.0000","4.0000","0","0"
"26","2012-09-05","1.0"," 0.0000","0.0000","4.0000","0","0"
"27","2012-09-06","0.0"," 0.0000","1.0000","0.0000","0","0"
"28","2012-09-11","1.0"," 0.0000","0.0000","1.0000","0","0"
"29","2013-10-26","0.0"," 0.0000","1.0000","0.0000","0","0"
"30","2011-11-24","0.0"," 0.0000","1.0000","0.0000","0","0"
