"","date","leaders","orgs","people","movs","medios","celebrities"
"1","2012-05-16","0","0.0","1.0000","0.0000"," 0.0","0"
"2","2013-06-15","0","0.0","1.0000","0.0000"," 0.0","0"
"3","2013-06-18","0","0.0","1.0000","0.0000"," 0.0","0"
"4","2013-06-20","0","0.0","1.0000","0.0000"," 0.0","0"
"5","2013-06-21","0","0.0","1.0000","0.0000"," 0.0","0"
"6","2013-06-23","0","0.0","1.0000","0.0000"," 0.0","0"
"7","2013-06-24","0","0.0","1.0000","0.0000"," 0.0","0"
"8","2013-06-25","1","2.0","1.2778","2.0000"," 0.0","0"
"9","2013-06-26","1","6.5","1.3802","1.3333","11.5","0"
"10","2013-06-27","0","0.0","1.1250","0.0000"," 0.0","0"
"11","2013-06-28","0","0.0","1.0000","0.0000"," 0.0","0"
"12","2012-09-06","0","0.0","0.0000","0.0000"," 0.0","1"
"13","2013-10-14","0","0.0","1.0000","0.0000"," 0.0","0"
"14","2013-10-16","0","0.0","1.0000","0.0000"," 0.0","0"
"15","2013-10-22","0","0.0","1.0000","0.0000"," 0.0","0"
"16","2013-10-24","0","0.0","1.0000","0.0000"," 0.0","0"
"17","2013-11-04","0","0.0","1.0000","0.0000"," 0.0","0"
