"","date","leaders","orgs","people","movs","medios","celebrities"
"1","2013-01-16","0","0","2.3333","0.0"," 0","0"
"2","2013-01-17","0","0","1.0000","0.0"," 0","0"
"3","2012-01-31","0","0","1.0000","0.0"," 0","0"
"4","2012-02-01","0","0","1.0000","0.0"," 0","0"
"5","2013-02-21","0","0","1.5000","0.0"," 0","0"
"6","2013-03-07","0","0","1.0000","0.0"," 0","0"
"7","2012-03-12","0","0","2.5000","0.0"," 0","0"
"8","2013-03-20","0","0","1.0000","0.0"," 0","0"
"9","2012-03-21","0","0","4.0000","0.0"," 0","0"
"10","2012-03-22","0","0","1.0000","0.0"," 0","0"
"11","2012-03-26","0","0","2.5000","0.0"," 0","0"
"12","2012-03-28","0","0","1.0000","0.0"," 0","0"
"13","2012-04-11","5","4","0.0000","2.5"," 0","0"
"14","2012-05-03","0","0","1.5000","0.0"," 0","0"
"15","2012-05-04","0","0","3.7500","0.0"," 0","0"
"16","2012-05-05","0","0","3.2727","0.0"," 0","0"
"17","2012-05-06","0","0","2.8750","0.0"," 0","0"
"18","2012-05-07","0","0","1.0000","0.0"," 0","0"
"19","2013-05-17","0","0","1.0000","0.0"," 0","0"
"20","2013-05-22","0","0","1.0909","0.0"," 0","0"
"21","2013-05-23","0","0","1.0000","0.0"," 0","0"
"22","2012-05-24","0","0","1.0000","0.0"," 0","0"
"23","2013-06-05","0","0","1.2500","0.0"," 0","0"
"24","2012-06-06","0","0","1.5000","0.0"," 0","0"
"25","2013-06-12","0","0","1.0000","0.0"," 0","0"
"26","2013-06-19","0","0","1.0000","0.0"," 0","0"
"27","2012-06-20","0","0","2.5000","0.0"," 0","0"
"28","2013-06-27","0","0","1.0000","0.0"," 0","0"
"29","2013-06-30","0","0","2.0000","0.0"," 0","0"
"30","2013-07-09","0","0","1.0000","0.0"," 0","0"
"31","2013-07-10","0","0","1.0000","0.0"," 0","0"
"32","2013-07-11","0","0","1.0000","0.0"," 0","0"
"33","2011-07-13","1","0","0.0000","0.0","11","0"
"34","2011-07-14","0","0","1.0000","0.0"," 0","0"
"35","2013-07-26","0","0","1.0000","0.0"," 0","0"
"36","2011-08-17","0","0","1.0000","0.0"," 0","0"
"37","2011-08-18","0","0","1.0000","0.0"," 0","0"
"38","2013-08-28","0","0","1.0000","0.0"," 0","0"
"39","2012-08-29","0","0","1.0000","0.0"," 0","0"
"40","2011-08-30","0","0","1.0000","0.0"," 0","0"
"41","2011-08-31","0","0","1.0000","0.0"," 0","0"
"42","2013-09-02","0","0","1.0000","0.0"," 0","0"
"43","2013-09-03","0","0","1.0000","0.0"," 0","0"
"44","2009-09-04","0","0","1.0000","0.0"," 0","0"
"45","2013-09-04","0","0","1.0000","0.0"," 0","0"
"46","2013-09-18","0","0","1.0000","0.0"," 0","0"
"47","2013-09-19","0","0","1.0000","0.0"," 0","0"
"48","2011-09-20","0","0","3.6667","0.0"," 0","0"
"49","2012-09-20","0","0","1.0000","0.0"," 0","0"
"50","2011-09-22","0","0","1.0000","0.0"," 0","0"
"51","2013-09-23","0","0","1.0000","0.0"," 0","0"
"52","2012-09-28","0","0","1.0000","0.0"," 0","0"
"53","2010-09-30","0","0","1.0000","0.0"," 0","0"
"54","2011-10-04","0","0","1.0000","0.0"," 0","0"
"55","2013-10-09","0","0","1.0000","0.0"," 0","0"
"56","2012-10-22","0","0","1.0000","0.0"," 0","0"
"57","2013-10-29","0","0","1.0000","0.0"," 0","0"
"58","2011-11-02","0","0","2.5000","0.0"," 0","0"
"59","2012-11-07","0","0","1.0000","0.0"," 0","0"
"60","2012-12-05","0","0","2.0000","0.0"," 0","0"
"61","2011-12-11","0","0","1.0000","0.0"," 0","0"
"62","2012-12-11","0","0","2.2857","0.0"," 0","0"
"63","2012-12-12","0","0","1.6667","0.0"," 0","0"
"64","2012-12-13","0","0","1.0000","0.0"," 0","0"
"65","2012-12-17","0","0","1.0000","0.0"," 0","0"
"66","2012-12-19","0","0","1.0000","0.0"," 0","0"
"67","2012-12-21","0","0","1.0000","0.0"," 0","0"
