"","date","leaders","orgs","people","movs","medios","celebrities"
"1","2013-01-01","0.0000","0.0000","1.0000","0.0000","0","0.0"
"2","2013-01-11","0.0000","0.0000","1.0000","0.0000","0","0.0"
"3","2013-01-18","0.0000","0.0000","1.1429","0.0000","0","0.0"
"4","2013-01-21","0.0000","0.0000","1.0000","0.0000","0","0.0"
"5","2013-01-22","0.0000","0.0000","1.0000","0.0000","0","0.0"
"6","2013-01-23","0.0000","0.0000","1.0000","0.0000","0","0.0"
"7","2013-01-25","1.0000","2.0000","0.0000","0.0000","0","0.0"
"8","2013-01-26","0.0000","0.0000","1.0000","0.0000","0","0.0"
"9","2013-02-21","0.0000","0.0000","1.0000","0.0000","0","0.0"
"10","2013-02-25","0.0000","0.0000","1.0000","0.0000","0","0.0"
"11","2013-02-27","0.0000","0.0000","1.0000","0.0000","0","0.0"
"12","2013-02-28","0.0000","0.0000","1.0000","0.0000","0","0.0"
"13","2013-03-04","0.0000","0.0000","2.0000","0.0000","0","0.0"
"14","2013-03-05","0.0000","0.0000","1.1667","0.0000","0","0.0"
"15","2013-03-06","0.0000","0.0000","1.0000","0.0000","0","0.0"
"16","2013-03-07","0.0000","0.0000","1.0000","0.0000","0","0.0"
"17","2013-03-13","1.0000","1.0000","0.0000","1.0000","0","0.0"
"18","2013-03-15","0.0000","0.0000","1.0000","0.0000","0","0.0"
"19","2013-03-16","0.0000","1.0000","1.0000","0.0000","0","0.0"
"20","2013-03-17","0.0000","0.0000","1.3333","0.0000","0","0.0"
"21","2013-03-18","0.0000","0.0000","1.2500","0.0000","0","0.0"
"22","2013-03-22","0.0000","0.0000","1.0000","0.0000","0","1.0"
"23","2013-03-28","0.0000","0.0000","1.0000","0.0000","0","0.0"
"24","2013-04-02","0.0000","0.0000","1.0476","0.0000","0","0.0"
"25","2013-04-03","0.0000","0.0000","1.0000","0.0000","0","0.0"
"26","2013-04-05","0.0000","0.0000","1.0000","0.0000","0","0.0"
"27","2013-04-07","0.0000","0.0000","1.0000","0.0000","0","0.0"
"28","2013-04-08","0.0000","0.0000","1.0000","0.0000","0","0.0"
"29","2013-04-12","0.0000","0.0000","1.0000","0.0000","0","0.0"
"30","2013-04-14","0.0000","0.0000","1.0000","0.0000","0","0.0"
"31","2013-04-18","0.0000","0.0000","1.0000","0.0000","0","0.0"
"32","2012-04-21","0.0000","0.0000","1.0000","0.0000","0","0.0"
"33","2012-04-22","0.0000","0.0000","1.3333","0.0000","0","0.0"
"34","2012-04-23","0.0000","0.0000","1.0000","0.0000","0","0.0"
"35","2012-04-24","1.0000","0.0000","1.0000","0.0000","0","0.0"
"36","2013-04-25","0.0000","0.0000","1.0000","0.0000","0","0.0"
"37","2012-04-26","0.0000","0.0000","1.0000","0.0000","0","0.0"
"38","2013-04-26","0.0000","0.0000","1.0000","0.0000","0","0.0"
"39","2013-04-28","0.0000","0.0000","1.0000","0.0000","0","0.0"
"40","2012-05-02","2.0000","1.0000","1.4893","1.2000","2","4.5"
"41","2012-05-03","1.1429","1.0000","1.3494","2.0000","2","3.5"
"42","2012-05-04","2.0000","1.0000","1.3741","1.8750","1","6.0"
"43","2012-05-05","1.0000","1.0000","1.1955","1.5000","1","0.0"
"44","2012-05-06","1.0000","0.0000","1.5785","3.0000","0","2.0"
"45","2012-05-07","1.0000","0.0000","1.2804","1.0000","0","1.0"
"46","2012-05-08","1.0000","1.0000","1.3612","1.5000","1","5.0"
"47","2012-05-09","1.0000","0.0000","1.3168","2.0000","0","1.0"
"48","2012-05-10","0.0000","0.0000","1.2523","0.0000","0","5.0"
"49","2012-05-11","1.0000","0.0000","1.4742","1.0000","0","0.0"
"50","2012-05-12","1.0000","1.0000","1.1500","0.0000","0","0.0"
"51","2012-05-13","0.0000","0.0000","1.2750","0.0000","0","1.0"
"52","2011-05-14","0.0000","0.0000","1.0000","0.0000","0","0.0"
"53","2012-05-14","1.0000","1.0000","1.0952","2.0000","0","1.0"
"54","2012-05-15","1.0000","2.0000","0.0000","2.0000","0","1.0"
"55","2012-05-16","1.0000","1.6667","1.2857","1.0000","0","0.0"
