"","date","leaders","orgs","people","movs","medios","celebrities"
"1","2011-06-30","0","0","2.0667","0.0000"," 0.000","0.0"
"2","2011-07-30","0","0","1.0000","0.0000"," 0.000","0.0"
"3","2011-08-18","2","2","1.8921","5.8333","10.222","3.5"
"4","2011-08-19","2","1","1.4875","3.8000"," 1.750","1.0"
"5","2011-08-20","1","0","1.4229","7.0000"," 2.000","1.0"
"6","2011-08-21","0","0","1.2568","0.0000"," 0.000","0.0"
"7","2011-08-22","0","0","1.2273","0.0000"," 0.000","0.0"
"8","2011-08-23","0","0","1.0000","0.0000"," 0.000","0.0"
"9","2011-08-24","0","0","1.2500","0.0000"," 2.000","0.0"
"10","2011-08-25","0","0","0.0000","0.0000"," 1.000","2.0"
"11","2011-08-26","0","0","1.0000","0.0000"," 0.000","0.0"
"12","2011-08-28","0","0","1.0000","0.0000"," 0.000","0.0"
"13","2011-08-31","0","0","1.0000","0.0000"," 0.000","0.0"
"14","2011-09-04","0","0","1.0000","0.0000"," 0.000","0.0"
"15","2011-09-07","0","0","1.0000","0.0000"," 0.000","0.0"
"16","2011-09-09","0","0","1.0000","0.0000"," 0.000","0.0"
"17","2011-09-19","0","0","1.0000","0.0000"," 0.000","0.0"
"18","2011-09-21","0","0","1.0000","0.0000"," 0.000","0.0"
"19","2011-09-22","0","0","1.0000","0.0000"," 0.000","0.0"
"20","2011-09-29","0","0","1.0000","0.0000"," 0.000","0.0"
