"","date","leaders","orgs","people","movs","medios","celebrities"
"1","2012-01-02","0.0000","0","1.0000","0.0000","0","0"
"2","2012-01-03","0.0000","0","1.0000","0.0000","0","0"
"3","2013-01-13","0.0000","0","0.0000","1.3333","0","0"
"4","2013-01-14","0.0000","0","0.0000","5.5000","0","0"
"5","2013-01-15","0.0000","0","1.0833","1.0000","0","0"
"6","2013-01-16","1.0000","0","0.0000","0.0000","0","0"
"7","2013-01-18","0.0000","0","0.0000","3.0000","0","0"
"8","2012-01-19","0.0000","0","1.4000","1.0000","0","0"
"9","2013-01-22","0.0000","0","2.0000","0.0000","0","0"
"10","2012-01-25","0.0000","0","1.0000","0.0000","0","0"
"11","2013-01-25","0.0000","0","0.0000","1.0000","0","0"
"12","2012-01-27","0.0000","0","1.0000","0.0000","0","0"
"13","2013-01-27","0.0000","0","2.0000","0.0000","0","0"
"14","2013-01-28","0.0000","0","1.0000","0.0000","0","0"
"15","2013-01-30","0.0000","0","0.0000","2.0000","0","0"
"16","2013-01-31","0.0000","0","1.0000","0.0000","0","0"
"17","2013-02-01","0.0000","0","0.0000","2.0000","0","0"
"18","2013-02-06","0.0000","0","1.2500","0.0000","0","0"
"19","2013-02-08","0.0000","0","1.5000","0.0000","0","0"
"20","2013-02-10","0.0000","0","1.0000","0.0000","0","0"
"21","2013-02-18","0.0000","0","1.0000","0.0000","0","0"
"22","2013-02-19","0.0000","0","0.0000","2.0000","0","0"
"23","2013-02-20","0.0000","0","0.0000","3.0000","0","0"
"24","2013-02-21","0.0000","0","1.0000","0.0000","0","0"
"25","2013-02-22","0.0000","0","1.2500","0.0000","0","0"
"26","2013-02-24","0.0000","0","1.0000","0.0000","0","0"
"27","2013-03-07","0.0000","0","1.0000","0.0000","0","0"
"28","2013-03-09","0.0000","0","1.0000","0.0000","0","0"
"29","2012-03-19","0.0000","0","1.0000","0.0000","0","0"
"30","2013-03-19","0.0000","0","1.0000","0.0000","0","0"
"31","2012-03-27","0.0000","0","1.0000","0.0000","0","0"
"32","2012-03-28","1.0000","0","0.0000","0.0000","0","0"
"33","2013-04-03","0.0000","0","1.0000","0.0000","0","0"
"34","2013-04-04","0.0000","0","1.1818","1.5000","0","0"
"35","2013-04-05","0.0000","0","0.0000","1.3333","0","0"
"36","2013-04-06","0.0000","0","1.0000","0.0000","0","0"
"37","2012-04-12","0.0000","0","1.0909","1.0000","0","0"
"38","2012-04-13","0.0000","0","1.0000","0.0000","0","0"
"39","2013-04-22","0.0000","0","0.0000","1.0000","0","0"
"40","2013-04-25","0.0000","0","0.0000","1.0000","0","0"
"41","2013-04-26","0.0000","0","0.0000","1.0000","0","0"
"42","2013-04-29","0.0000","0","0.0000","2.0000","0","0"
"43","2013-05-05","0.0000","0","1.0000","0.0000","0","0"
"44","2013-05-10","0.0000","0","1.0000","0.0000","0","0"
"45","2013-05-11","0.0000","0","1.0000","0.0000","0","0"
"46","2013-05-13","0.0000","0","0.0000","1.0000","0","0"
"47","2013-05-14","0.0000","0","1.4118","4.5000","0","0"
"48","2013-05-15","0.0000","0","1.3793","2.0000","0","0"
"49","2013-05-16","0.0000","0","1.3333","7.0000","0","0"
"50","2013-05-22","0.0000","0","1.0000","0.0000","0","0"
"51","2013-05-23","0.0000","0","1.2500","1.0000","0","0"
"52","2013-05-24","0.0000","0","1.0000","0.0000","0","0"
"53","2012-05-26","1.3333","0","1.2500","1.0000","0","0"
"54","2013-05-26","0.0000","0","1.0000","0.0000","0","0"
"55","2013-05-28","0.0000","0","1.5000","0.0000","0","0"
"56","2012-05-29","0.0000","0","1.0000","0.0000","0","0"
"57","2013-05-30","0.0000","0","1.0000","0.0000","0","0"
"58","2012-06-03","0.0000","0","0.0000","1.0000","0","0"
"59","2013-06-11","0.0000","0","0.0000","2.0000","0","0"
"60","2013-06-12","0.0000","0","1.3333","1.3333","0","0"
"61","2012-06-29","0.0000","0","1.0000","0.0000","0","0"
"62","2012-06-30","0.0000","0","1.0000","0.0000","0","0"
"63","2012-07-01","1.0000","0","1.2000","0.0000","0","0"
"64","2012-07-02","0.0000","0","1.0000","0.0000","0","0"
"65","2012-07-03","0.0000","0","1.0000","0.0000","0","0"
"66","2013-07-03","0.0000","0","0.0000","1.0000","0","0"
"67","2012-07-04","1.0000","0","1.1579","2.0000","0","0"
"68","2013-07-04","0.0000","0","0.0000","1.0000","0","0"
"69","2012-07-05","0.0000","0","1.1818","1.5000","0","0"
"70","2012-07-06","0.0000","0","1.0625","1.0000","0","0"
"71","2012-07-08","0.0000","0","1.0000","0.0000","0","0"
"72","2013-07-08","0.0000","0","1.2500","0.0000","0","0"
"73","2012-07-09","1.0000","0","1.0000","0.0000","0","0"
"74","2012-07-11","0.0000","0","1.0000","0.0000","0","0"
"75","2012-07-12","0.0000","0","1.0000","0.0000","0","0"
"76","2012-07-13","0.0000","0","1.6667","2.0000","0","0"
"77","2012-07-14","0.0000","0","1.1000","0.0000","0","0"
"78","2012-07-15","0.0000","0","1.3333","0.0000","0","0"
"79","2012-07-18","0.0000","0","2.2000","0.0000","0","0"
"80","2012-07-19","0.0000","0","1.0000","0.0000","0","0"
"81","2012-07-21","0.0000","0","0.0000","1.0000","0","0"
"82","2012-07-22","0.0000","0","1.3380","2.7500","0","0"
"83","2012-07-23","0.0000","0","1.0000","0.0000","0","0"
"84","2012-07-24","0.0000","0","1.0000","0.0000","0","0"
"85","2012-07-25","0.0000","0","1.0000","1.0000","0","0"
"86","2012-07-26","1.0000","0","1.4697","2.0000","1","0"
"87","2012-07-27","0.0000","0","0.0000","3.0000","1","0"
"88","2012-07-28","1.0000","1","0.0000","2.0000","0","0"
"89","2012-07-29","0.0000","0","0.0000","2.0000","0","0"
"90","2012-07-30","0.0000","0","1.1333","2.5000","0","0"
"91","2013-07-30","0.0000","0","1.0000","0.0000","0","0"
"92","2012-07-31","0.0000","0","0.0000","4.0000","0","0"
"93","2013-07-31","0.0000","0","1.1324","1.0000","1","0"
"94","2012-08-01","0.0000","1","1.1282","2.5000","0","0"
"95","2013-08-01","0.0000","0","1.1000","0.0000","0","0"
"96","2012-08-02","0.0000","0","1.4000","0.0000","0","0"
"97","2013-08-02","0.0000","0","1.4444","0.0000","0","0"
"98","2012-08-03","0.0000","0","0.0000","3.0000","0","0"
"99","2013-08-03","0.0000","0","1.0000","0.0000","0","0"
"100","2012-08-04","0.0000","0","1.2500","1.0000","0","0"
"101","2012-08-05","0.0000","0","1.0000","0.0000","0","0"
"102","2013-08-05","0.0000","0","1.0000","0.0000","0","0"
"103","2012-08-06","0.0000","0","0.0000","1.0000","0","0"
"104","2013-08-06","0.0000","0","1.1714","0.0000","0","0"
"105","2012-08-07","0.0000","0","1.1667","1.0000","0","0"
"106","2013-08-07","0.0000","0","1.0000","0.0000","0","0"
"107","2012-08-08","0.0000","0","1.1481","1.0000","0","0"
"108","2013-08-08","0.0000","0","1.0000","0.0000","0","0"
"109","2012-08-09","0.0000","0","1.2128","1.7500","1","0"
"110","2012-08-10","1.0000","0","1.1071","1.7500","1","0"
"111","2013-08-10","0.0000","0","1.0000","0.0000","0","0"
"112","2012-08-11","0.0000","0","1.1695","2.2500","0","0"
"113","2012-08-12","0.0000","0","1.0000","1.0000","0","0"
