"","date","leaders","orgs","people","movs","medios","celebrities"
"1","2013-01-03","1.0000","1.00","0.0000","0.0000","0","0"
"2","2013-01-14","0.0000","0.00","1.0000","0.0000","0","0"
"3","2013-01-18","0.0000","0.00","1.0000","0.0000","0","0"
"4","2013-01-24","1.0000","1.00","1.0000","1.0000","0","0"
"5","2013-01-25","1.3333","0.00","0.0000","0.0000","0","0"
"6","2013-01-26","0.0000","0.00","1.0000","0.0000","0","0"
"7","2013-02-05","1.0000","1.00","0.0000","0.0000","0","0"
"8","2013-02-06","1.0000","1.00","1.0000","1.0000","0","0"
"9","2013-06-05","1.0000","0.00","0.0000","1.0000","0","0"
"10","2012-08-01","1.7778","2.75","0.0000","3.0000","0","0"
"11","2012-08-02","2.6667","1.00","1.4359","1.0000","0","0"
"12","2012-08-03","0.0000","0.00","1.2857","0.0000","0","0"
"13","2012-08-04","0.0000","0.00","1.0000","0.0000","0","0"
"14","2012-08-05","0.0000","0.00","1.0000","0.0000","0","0"
"15","2012-08-06","0.0000","0.00","1.1429","1.0000","0","0"
"16","2012-08-09","0.0000","0.00","1.1667","0.0000","0","0"
"17","2012-08-10","0.0000","0.00","1.0000","1.0000","0","0"
"18","2012-08-12","0.0000","0.00","0.0000","1.0000","0","0"
"19","2012-08-13","1.0000","0.00","1.2857","0.0000","0","0"
"20","2012-08-14","2.0000","1.00","0.0000","2.0000","0","0"
"21","2012-08-15","1.0000","2.00","1.2500","0.0000","0","0"
"22","2012-08-16","1.0000","1.00","1.2500","2.6667","0","0"
"23","2012-08-17","1.2000","1.00","1.5345","4.6667","0","0"
"24","2012-08-18","0.0000","0.00","1.0000","1.0000","0","0"
"25","2012-08-19","0.0000","0.00","1.0000","0.0000","0","0"
"26","2012-08-20","0.0000","0.00","1.0000","0.0000","0","0"
"27","2012-08-21","0.0000","0.00","0.0000","2.0000","0","0"
"28","2012-08-22","0.0000","0.00","1.0000","1.0000","0","0"
"29","2012-08-23","0.0000","0.00","1.0000","0.0000","0","0"
"30","2012-08-24","1.3333","1.00","0.0000","5.7500","3","0"
"31","2012-08-25","0.0000","0.00","0.0000","1.5000","0","0"
"32","2012-08-27","0.0000","0.00","1.0000","0.0000","0","0"
"33","2012-08-28","0.0000","1.00","1.2000","2.0000","0","0"
"34","2012-08-29","0.0000","0.00","0.0000","1.0000","0","0"
"35","2012-08-30","1.0000","1.00","0.0000","0.0000","0","0"
"36","2012-09-06","1.0000","0.00","1.0000","0.0000","0","0"
"37","2012-10-05","0.0000","0.00","1.0000","0.0000","0","0"
"38","2012-10-23","0.0000","0.00","1.2500","0.0000","0","0"
"39","2012-11-03","0.0000","0.00","1.0455","0.0000","0","0"
"40","2012-11-04","0.0000","0.00","1.0000","0.0000","0","0"
"41","2012-11-06","0.0000","0.00","1.0000","0.0000","0","0"
"42","2012-12-29","0.0000","0.00","0.0000","1.0000","0","0"
