"","date","leaders","orgs","people","movs","medios","celebrities"
"1","2012-01-03","0","0","1","0","0","0"
"2","2012-01-15","1","0","0","0","0","0"
"3","2013-02-27","0","0","1","0","0","0"
"4","2013-04-10","0","0","1","0","0","0"
"5","2012-04-21","1","0","0","0","0","0"
"6","2012-04-25","1","0","0","0","0","0"
"7","2012-05-11","0","0","1","0","0","0"
"8","2011-07-02","0","0","1","0","0","0"
"9","2011-07-05","0","0","1","0","0","0"
"10","2011-07-06","0","0","1","0","0","0"
"11","2012-07-07","0","0","1","0","0","0"
"12","2011-07-08","0","0","1","0","0","0"
"13","2012-08-07","0","0","1","0","0","0"
"14","2011-08-11","0","0","1","0","0","0"
"15","2011-08-12","0","0","1","0","0","0"
"16","2012-08-16","0","0","1","0","0","0"
"17","2011-08-18","0","0","1","0","0","0"
"18","2011-08-31","0","0","1","0","0","0"
"19","2012-09-05","0","0","1","0","0","0"
"20","2011-09-06","0","0","1","0","0","0"
"21","2011-10-06","0","0","1","0","0","0"
"22","2011-10-30","0","0","1","0","0","0"
