"","date","leaders","orgs","people","movs","medios","celebrities"
"1","2012-01-26","0","0","1.0000","1","1","1"
"2","2012-01-27","0","0","1.0000","0","0","0"
"3","2013-06-05","0","0","1.0000","0","0","0"
"4","2012-06-14","0","0","1.7143","0","0","0"
"5","2011-06-20","0","0","1.0000","0","1","0"
"6","2013-06-20","0","0","1.0000","0","1","0"
"7","2011-06-28","0","0","1.0000","0","0","0"
"8","2011-08-07","0","0","1.0000","0","0","0"
"9","2011-08-08","0","0","1.0000","0","0","0"
"10","2011-08-17","0","0","1.0000","0","0","0"
"11","2012-08-21","0","0","1.0000","0","1","1"
"12","2011-08-26","0","0","1.0000","0","0","0"
"13","2011-08-27","0","0","1.0000","0","0","0"
"14","2013-08-28","0","0","1.0000","0","0","0"
"15","2012-08-29","0","0","1.0000","0","0","0"
"16","2012-08-30","0","0","1.0000","0","0","0"
"17","2012-08-31","0","0","1.0000","0","0","0"
"18","2011-09-21","0","0","0.0000","0","1","1"
"19","2013-10-02","0","0","0.0000","1","0","0"
"20","2013-10-03","0","0","1.0000","0","0","0"
"21","2011-10-24","0","0","1.0000","1","1","1"
