created_at,favorited,in_reply_to_screen_name,lang,permanent link,source,text,user profile description,user profile location,user_created_at,user_followers_count,user_name,user_screen_name,user_time_zone
"Thu Oct 06 18:41:07 +0000 2011","False",,,"http://twitter.com/_thecode/status/122018562939432960","web","#Tenemosqueseguir por que es ahora o nunca compañeros :) @difamadores @Movilizados2011 @u_informado por eso #yomarchoel13","Chilote amante de la buena música y las matemáticas con vocación de profesor, actualmente estudio Pedagogía en Matemáticas y Computación en la ULA Osorno.","","Tue Mar 02 20:10:44 +0000 2010","111","Alvaro Sebastián A.C","_thecode","Santiago"
"Wed Oct 12 12:46:32 +0000 2011","False",,,"http://twitter.com/CamilaPazL/status/124103656902635520","web","#YoMarchoel13 porque quiero recuperar la Educación Pública ¡AHORA!","Nacida en Chile. Estudia en Liceo Santa Teresita. ","Talca, Chile","Tue Aug 16 21:36:06 +0000 2011","15","Camila Paz Leppe","CamilaPazL"
"Fri Sep 07 17:49:20 +0000 2012","False",,,"http://twitter.com/feummagallanes/status/244130245865766912","web","La UMAG no se calla #yomarchoel13 #porlaeducacion","Federación de Estudiantes de la Universidad de Magallanes. Av. Bulnes #01855. Fono: (61) 207 157.","Punta Arenas, Chile","Wed Apr 21 00:50:55 +0000 2010","370","FEUM UMAG","feummagallanes","Santiago"
"Tue Sep 11 03:25:55 +0000 2012","False",,,"http://twitter.com/sebagamboa_/status/245362502857277440","web","Otra vez a la calle, este 13 de sept. Marchas comunales, recorridos por definir, #YoMarchoEl13 #todosxlaeducacion http://t.co/aJFRAeuY","Soy un Casi Egresado,Tesista  Ingenieria en Industria Alimentaria y Secretario General @FEUTEM  por 24 hrs  7 días  a la semana  @utem","Santiago ","Fri Jan 15 03:00:03 +0000 2010","924","Sebastian Gamboa ","sebagamboa_","Santiago"
"Tue Sep 11 03:33:18 +0000 2012","False",,,"http://twitter.com/VodkaArandano/status/245364368580169728","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @sebagamboa_: Otra vez a la calle, este 13 de sept. Marchas comunales, recorridos por definir, #YoMarchoEl13 #todosxlaeducacion http: ...","Sec. Cultura Feuv Stgo. ColoColina de corazón & orgullosamente Socialista ! Al que no le gusta que no me siga.-","","Sun Aug 16 23:40:36 +0000 2009","325","María José","VodkaArandano","Santiago"
"Tue Sep 11 13:30:30 +0000 2012","False",,,"http://twitter.com/MovilizateChile/status/245514659065647104","web","RT @sebagamboa_: Otra vez a la calle, este 13 de sept. Marchas comunales, recorridos por definir, #YoMarchoEl13 #todosxlaeducacion http: ...","Misión: informar y generar opinión referente al movimiento social #Estudiantil!. Sus aportes construyen este Twitter. Los RT no siempre nos representan.","Chile","Wed Jun 15 18:22:14 +0000 2011","21734","MovilizateChile","MovilizateChile","Santiago"
"Tue Sep 11 13:30:58 +0000 2012","False",,,"http://twitter.com/Nanepazz/status/245514776766193666","web","RT @sebagamboa_: Otra vez a la calle, este 13 de sept. Marchas comunales, recorridos por definir, #YoMarchoEl13 #todosxlaeducacion http: ...","Aquí puedo decir lo que quiera, porque hago valer mi derecho a la libre expresión. ","Santiago","Wed Sep 22 04:05:59 +0000 2010","281","Daniela Melo Egaña","Nanepazz","Quito"
"Tue Sep 11 13:32:51 +0000 2012","False",,,"http://twitter.com/Nescobar_/status/245515247216107520","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @sebagamboa_: Otra vez a la calle, este 13 de sept. Marchas comunales, recorridos por definir, #YoMarchoEl13 #todosxlaeducacion http: ...","Estudiante de Derecho UDP, interesado en politica y en como cambiar el mundo, la buena comida y la buena musica, futbolista frustrado.","","Wed Sep 07 14:15:23 +0000 2011","111","Nicolas Escobar G.","Nescobar_","Santiago"
"Tue Sep 11 13:34:00 +0000 2012","False",,,"http://twitter.com/claaaaaaa_u/status/245515540075008000","web","RT @sebagamboa_: Otra vez a la calle, este 13 de sept. Marchas comunales, recorridos por definir, #YoMarchoEl13 #todosxlaeducacion http: ...","Estudiante de Educación Parvularia en la @uahurtado. Relajada, risueña, gruñona (aveces, solo aveces), lo demás no importa.","Santiago de Chile.","Thu Feb 10 02:28:34 +0000 2011","362","Claudia Fernández R","claaaaaaa_u","Quito"
"Tue Sep 11 14:37:30 +0000 2012","False",,,"http://twitter.com/MuroCiudadano/status/245531520817844224","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @sebagamboa_: Otra vez a la calle, este 13 de sept. Marchas comunales, recorridos por definir, #YoMarchoEl13 #todosxlaeducacion http: ...","Diario Informativo y de Expresión Ciudadana","Chile","Wed Apr 18 21:43:42 +0000 2012","31","Muro Ciudadano","MuroCiudadano"
"Tue Sep 11 14:44:40 +0000 2012","False",,,"http://twitter.com/isaacdavy/status/245533320652414976","web","RT @sebagamboa_: Otra vez a la calle, este 13 de sept. Marchas comunales, recorridos por definir, #YoMarchoEl13 #todosxlaeducacion http: ...","","La nube","Sun Apr 24 20:51:48 +0000 2011","50","@isaacdavy","isaacdavy","Mexico City"
"Tue May 28 22:10:24 +0000 2013","False","jschaulsohn","es","http://twitter.com/catalinabestia/status/339503949977636864","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@jschaulsohn No se preocupe, seguiremos exasperando a los poderosos. Salga de su casa con anticipación, #YoMarchoEl13 ;)","vicepresidencia FEC 2013, frente de estudiantes libertarixs, medicina, útero rebelde.  mi vida está en clave de fa.","Concepción, Chile","Mon Sep 12 22:35:38 +0000 2011","188","Catalina Bestia","catalinabestia"
