created_at,favorited,in_reply_to_screen_name,lang,permanent link,source,text,user profile description,user profile location,user_created_at,user_followers_count,user_name,user_screen_name,user_time_zone
"Fri Sep 04 19:00:38 +0000 2009",,,,"http://twitter.com/panxoacuna/status/3762939338","TwitterFox","empezando la segunda ronda en la #comisioneducacion","Est de IngCom UACh. Música, TV y cosas freaky; adicto al ketchup, @felipeavello es mi copiloto, intentando ser como Andy Kaufmann. Poker Player. #LosCruzados","Valdivia - Santiago","Wed Jul 22 17:33:16 +0000 2009",,"Panxo Acuña","panxoacuna","Santiago"
"Thu Sep 30 18:19:59 +0000 2010","False",,,"http://twitter.com/iusfilosofo/status/26003467452","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","#Senado: #RamiroHdez, solicito q tema #UDG sea considerado de""urgenteresolución""; en votación fue desechado y se turna a #comisióneducación","Académico del Departamento de Estudios sociopolíticos y jurídicos del ITESO y miembro del Consejo de la Licenciatura en Derecho.","Guadalajara,México","Sun May 16 01:46:06 +0000 2010","79","Samuel Hdez Apodaca ","iusfilosofo","Guadalajara"
"Thu Sep 30 18:20:19 +0000 2010","False",,,"http://twitter.com/GerArr_/status/26003490804","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","RT @iusfilosofo: #Senado: #RamiroHdez, solicito q tema #UDG sea considerado de""urgenteresolución""; en votación fue desechado y se turna  ...","No sé mucho de twitter... aún. Espero que me puedan ayudar.","Mex, GDL","Wed Sep 22 20:35:55 +0000 2010","92","Gerardo Arrieta","GerArr_"
"Wed Jul 13 14:55:41 +0000 2011","False",,,"http://twitter.com/sentidoscomunes/status/91158862408851458","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","Senadores apuran a Lavín y le piden tiempo para poder comentar #comisioneducacion http://bit.ly/bFiw3Q","Sentidos Comunes es un esfuerzo por construir un referente colectivo de lo que llamamos cultura política.","chile","Fri Oct 29 04:23:00 +0000 2010","5374","Sentidos Comunes","sentidoscomunes","Santiago"
"Wed Jul 13 14:56:32 +0000 2011","False",,,"http://twitter.com/maidenchelas/status/91159075915710464","web","RT @sentidoscomunes: Senadores apuran a Lavín y le piden tiempo para poder comentar #comisioneducacion http://bit.ly/bFiw3Q","","Chile","Sun Jun 27 18:07:01 +0000 2010","49","Rudy Velásquez","maidenchelas","Santiago"
"Wed Jul 13 14:58:31 +0000 2011","False",,,"http://twitter.com/rorro_didas/status/91159575331475457","web","RT @sentidoscomunes: Senadores apuran a Lavín y le piden tiempo para poder comentar #comisioneducacion http://bit.ly/bFiw3Q","Licenciado en Lengua y Literatura Inglesas, Ignaciano, Colocolino y Zurdo de corazón!","Santiago, Chile","Fri Jul 30 20:57:20 +0000 2010","71","didas","rorro_didas"
"Wed Jul 13 15:00:52 +0000 2011","False",,,"http://twitter.com/sentidoscomunes/status/91160168913584128","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","Lavín anuncia que se destinarán fondos del FE para repactar deudas ¿les suena a #lapolar? #comisioneducacion http://bit.ly/bFiw3Q","Sentidos Comunes es un esfuerzo por construir un referente colectivo de lo que llamamos cultura política.","chile","Fri Oct 29 04:23:00 +0000 2010","5375","Sentidos Comunes","sentidoscomunes","Santiago"
"Wed Jul 13 15:03:01 +0000 2011","False",,,"http://twitter.com/osvaldoyanez/status/91160709592911872","web","RT @sentidoscomunes: Lavín anuncia que se destinarán fondos del FE para repactar deudas ¿les suena a #lapolar? #comisioneducacion http:/ ...","Ex de Rgua.Radicado en curicó, amante del futbol","ÜT: -34.982921,-71.242255","Fri Nov 06 02:10:19 +0000 2009","226","osvaldo yañez","osvaldoyanez","Santiago"
"Wed Jul 13 15:03:16 +0000 2011","False",,,"http://twitter.com/ylaotramitad/status/91160774487191552","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","RT @sentidoscomunes: Lavín anuncia que se destinarán fondos del FE para repactar deudas ¿les suena a #lapolar? #comisioneducacion http:/ ...","Nos prometieron un gran estadio y solo nos dieron la mitad  ","Curicò","Tue Oct 26 16:44:09 +0000 2010","390","por un estadio digno","ylaotramitad"
"Wed Jul 13 15:03:21 +0000 2011","False",,,"http://twitter.com/FernandoSegundo/status/91160793445433344","web","RT @sentidoscomunes: Lavín anuncia que se destinarán fondos del FE para repactar deudas ¿les suena a #lapolar? #comisioneducacion http:/ ...","Nerd de nacimiento,eterno procrastinador, Rock clásico (60-70).Zurdo ambidiestro, pero me resulta mejor la izquierda. Francotirador verborreico.","Malloco-Santiago","Tue Jul 28 18:27:53 +0000 2009","69","FernandoSegundo","FernandoSegundo","Santiago"
