created_at,favorited,in_reply_to_screen_name,lang,permanent link,source,text,user profile description,user profile location,user_created_at,user_followers_count,user_name,user_screen_name,user_time_zone
"Thu Jun 30 01:40:37 +0000 2011","False","ElDrZombie",,"http://twitter.com/awaissbluth/status/86247734654402560","web","@ElDrZombie @chileducaccion así? #marchadelosparaguas","Padre de 2 hijos / Director de Cine ","Santiago de Chile","Sun Aug 09 02:19:45 +0000 2009","2877","Andrés Waissbluth","awaissbluth","Quito"
"Thu Jun 30 01:41:17 +0000 2011","False",,,"http://twitter.com/ElDrZombie/status/86247903328354305","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","RT @awaissbluth: @ElDrZombie @chileducaccion así? #marchadelosparaguas / perfecto. mañana dia de  #marchadelosparaguas RT","Comunicador. Locutor radial, productor, toqueton, Agente radioactivo y muerto en vida","iPhone: -33.436405,-70.642731","Tue May 26 22:20:53 +0000 2009","3247","Dr Zombie","ElDrZombie","Santiago"
"Thu Jun 30 01:41:35 +0000 2011","False",,,"http://twitter.com/rieckma/status/86247978171510784","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","RT @ElDrZombie: RT @awaissbluth: @ElDrZombie @chileducaccion así? #marchadelosparaguas / perfecto. mañana dia de  #marchadelosparaguas RT","ando en patines, me gusta la naranja  ","peñaflor","Mon Nov 23 16:26:09 +0000 2009","60","erick fernandez","rieckma","Santiago"
"Thu Jun 30 01:42:03 +0000 2011","False",,,"http://twitter.com/lacesia/status/86248096564133888","web","RT @ElDrZombie: RT @awaissbluth: @ElDrZombie @chileducaccion así? #marchadelosparaguas / perfecto. mañana dia de  #marchadelosparaguas RT","Mujer, madre, profesional y liberal. Amante del Puerto, el rock&roll y la cerveza.","Valparaíso","Sat Jan 09 22:21:52 +0000 2010","352","Cesia Arredondo ","lacesia","Santiago"
"Thu Jun 30 01:44:52 +0000 2011","False",,,"http://twitter.com/elChappa/status/86248807997767680","web","RT @ElDrZombie: RT @awaissbluth: @ElDrZombie @chileducaccion así? #marchadelosparaguas / perfecto. mañana dia de  #marchadelosparaguas RT","Calerano, Liberal y Chuncho. Cuasi-Politologo uc. Columnista de @Red_mivoz. Conductor y Editor de @_aldeaglobal. Panelista Primera B @jugo_de_Pelotas.","La Calera/ Providencia","Thu Jan 21 19:35:20 +0000 2010","383","Jorge Schiappacasse","elChappa","Santiago"
"Thu Jun 30 01:45:54 +0000 2011","False",,,"http://twitter.com/lacesia/status/86249064756281344","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","En Valparaíso dónde parte la #marchadelosparaguas de mañana","Mujer, madre, profesional y liberal. Amante del Puerto, el rock&roll y la cerveza.","Valparaíso","Sat Jan 09 22:21:52 +0000 2010","352","Cesia Arredondo ","lacesia","Santiago"
"Thu Jun 30 01:48:23 +0000 2011","False",,,"http://twitter.com/awaissbluth/status/86249692689727489","web","Si estas harto de la  £€¥ del dinero y del abuso apoya a los estudiantes y participa en la #marchadelosparaguas","Padre de 2 hijos / Director de Cine ","Santiago de Chile","Sun Aug 09 02:19:45 +0000 2009","2878","Andrés Waissbluth","awaissbluth","Quito"
"Thu Jun 30 01:52:40 +0000 2011","False",,,"http://twitter.com/chileducaccion/status/86250771217252352","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","RT @ElDrZombie: RT @awaissbluth: @ElDrZombie @chileducaccion así? #marchadelosparaguas / perfecto. mañana dia de  #marchadelosparaguas RT","Somos un grupo de docentes preocupados por la educación","","Sun Nov 21 01:16:07 +0000 2010","189","Educacción","chileducaccion","Santiago"
"Thu Jun 30 01:53:26 +0000 2011","False","ElDrZombie",,"http://twitter.com/chileducaccion/status/86250962733383680","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","@ElDrZombie @awaissbluth #marchadelosparaguas/vamos vamos que se puede vamos que se debe","Somos un grupo de docentes preocupados por la educación","","Sun Nov 21 01:16:07 +0000 2010","189","Educacción","chileducaccion","Santiago"
"Thu Jun 30 01:55:19 +0000 2011","False",,,"http://twitter.com/Jorgebedrinana/status/86251435255275520","web","RT @awaissbluth: Si estas harto de la  £€¥ del dinero y del abuso apoya a los estudiantes y participa en la #marchadelosparaguas","","","Thu Mar 26 22:59:31 +0000 2009","46","jorge bedriñana","Jorgebedrinana","Santiago"
"Thu Jun 30 01:59:03 +0000 2011","False",,,"http://twitter.com/chileducaccion/status/86252373571407873","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","RT @awaissbluth: @ElDrZombie @chileducaccion así? #marchadelosparaguas","Somos un grupo de docentes preocupados por la educación","","Sun Nov 21 01:16:07 +0000 2010","189","Educacción","chileducaccion","Santiago"
"Thu Jun 30 01:59:27 +0000 2011","False",,,"http://twitter.com/ElDrZombie/status/86252475237142529","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","Para que la vieja educación tenga funeral, tu paragua mañana debe marchar. #marchadelosparaguas","Comunicador. Locutor radial, productor, toqueton, Agente radioactivo y muerto en vida","iPhone: -33.436405,-70.642731","Tue May 26 22:20:53 +0000 2009","3248","Dr Zombie","ElDrZombie","Santiago"
"Thu Jun 30 02:00:17 +0000 2011","False",,,"http://twitter.com/awaissbluth/status/86252684881051649","web","RT @ElDrZombie: Para que la vieja educación tenga funeral, tu paragua mañana debe marchar. #marchadelosparaguas","Padre de 2 hijos / Director de Cine ","Santiago de Chile","Sun Aug 09 02:19:45 +0000 2009","2878","Andrés Waissbluth","awaissbluth","Quito"
"Thu Jun 30 02:01:07 +0000 2011","False",,,"http://twitter.com/ivandnsm/status/86252895523180544","web","RT @ElDrZombie: Para que la vieja educación tenga funeral, tu paragua mañana debe marchar. #marchadelosparaguas","Estoy un poco loco creo, me gusta la buena música y la fotografía, y pronto sere un QF más","","Thu Jun 09 03:46:08 +0000 2011","38","Iván Donoso Martínez","ivandnsm","Santiago"
"Thu Jun 30 02:01:09 +0000 2011","False",,,"http://twitter.com/saturrnalia/status/86252903744020480","web","RT @ElDrZombie: Para que la vieja educación tenga funeral, tu paragua mañana debe marchar. #marchadelosparaguas","futura publicista de una multinacional contratada por una agencia norteamericana ... HE DICHO!    soñar es gratis :D ","por ahi ","Fri Apr 17 22:38:31 +0000 2009","120","Natalia Quilaleo","saturrnalia","Santiago"
"Thu Jun 30 02:01:13 +0000 2011","False",,,"http://twitter.com/lacesia/status/86252922953932800","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","RT @ElDrZombie: Para que la vieja educación tenga funeral, tu paragua mañana debe marchar. #marchadelosparaguas","Mujer, madre, profesional y liberal. Amante del Puerto, el rock&roll y la cerveza.","Valparaíso","Sat Jan 09 22:21:52 +0000 2010","352","Cesia Arredondo ","lacesia","Santiago"
"Thu Jun 30 02:01:33 +0000 2011","False","ElDrZombie",,"http://twitter.com/chileducaccion/status/86253006542213122","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","@ElDrZombie #marchadelosparaguas / buen slogan!!!","Somos un grupo de docentes preocupados por la educación","","Sun Nov 21 01:16:07 +0000 2010","189","Educacción","chileducaccion","Santiago"
"Thu Jun 30 02:02:10 +0000 2011","False",,,"http://twitter.com/chileducaccion/status/86253160309592067","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","RT @ElDrZombie: Para que la vieja educación tenga funeral, tu paragua mañana debe marchar. #marchadelosparaguas","Somos un grupo de docentes preocupados por la educación","","Sun Nov 21 01:16:07 +0000 2010","189","Educacción","chileducaccion","Santiago"
"Thu Jun 30 02:02:22 +0000 2011","False","piaib",,"http://twitter.com/lacesia/status/86253209705918465","web","@piaib Te tinca 10:45 hrs. x la Sotomayor, salida del Ascensor el Peral? Llevo paragua blanco #marchadelosparaguas","Mujer, madre, profesional y liberal. Amante del Puerto, el rock&roll y la cerveza.","Valparaíso","Sat Jan 09 22:21:52 +0000 2010","352","Cesia Arredondo ","lacesia","Santiago"
"Thu Jun 30 02:02:29 +0000 2011","False",,,"http://twitter.com/leencuevas/status/86253238608871425","web","RT @ElDrZombie: Para que la vieja educación tenga funeral, tu paragua mañana debe marchar. #marchadelosparaguas","","Chile, Viña del mar","Fri Sep 25 01:27:08 +0000 2009","206","Aileen Cuevas","leencuevas","Santiago"
"Thu Jun 30 02:04:40 +0000 2011","False","c_brod",,"http://twitter.com/awaissbluth/status/86253790713491456","web","@c_brod si llueve hay que ir igual! #marchadelosparaguas","Padre de 2 hijos / Director de Cine ","Santiago de Chile","Sun Aug 09 02:19:45 +0000 2009","2878","Andrés Waissbluth","awaissbluth","Quito"
"Thu Jun 30 02:05:51 +0000 2011","False",,,"http://twitter.com/piaib/status/86254087905099776","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","RT @lacesia: @piaib Te tinca 10:45 hrs. x la Sotomayor, salida del Ascensor el Peral? #marchadelosparaguas// no cacho esa salida,","Noña la que lee :)","","Wed Sep 01 20:51:07 +0000 2010","144","Pia Iocco","piaib","Santiago"
"Thu Jun 30 02:06:52 +0000 2011","False",,,"http://twitter.com/eFePizarro/status/86254342457397248","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","Manana #marchadelosparaguas . Todos de negro? La wea poetica. Me gusta","En proceso. Creo que recien comienzo. Por lo pronto: estudiante de Derecho, soñador, emprendedor, lector y poeta clandestino.","Itinerante","Sun Feb 27 19:40:17 +0000 2011","58","Felipe Pizarro","eFePizarro","Greenland"
"Thu Jun 30 02:07:08 +0000 2011","False",,,"http://twitter.com/K_Unintended/status/86254411030081537","<a href=""http://seesmic.com/"" rel=""nofollow"">Seesmic</a>","RT @ElDrZombie: Para que la vieja educación tenga funeral, tu paragua mañana debe marchar. #marchadelosparaguas","Unintended...","-33.439937,-70.610192","Mon Jan 24 23:42:12 +0000 2011","38","Karla","K_Unintended","Santiago"
"Thu Jun 30 02:11:09 +0000 2011","False",,,"http://twitter.com/piaib/status/86255419659530240","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","@laecsia  ok. voy con paraguas negro #marchadelosparaguas","Noña la que lee :)","","Wed Sep 01 20:51:07 +0000 2010","144","Pia Iocco","piaib","Santiago"
"Thu Jun 30 02:13:59 +0000 2011","False",,,"http://twitter.com/lacesia/status/86256133102239744","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","RT @piaib: @laecsia  ok. voy con paraguas negro #marchadelosparaguas// Excelente.  Queda llendo hacia la escalera el Peral","Mujer, madre, profesional y liberal. Amante del Puerto, el rock&roll y la cerveza.","Valparaíso","Sat Jan 09 22:21:52 +0000 2010","352","Cesia Arredondo ","lacesia","Santiago"
"Thu Jun 30 02:15:56 +0000 2011","False",,,"http://twitter.com/lacesia/status/86256624615956480","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","Mañana con @piaib nos juntamos para ir a la #marchadelosparaguas alquién más apaña? A las 10:45 fuera d ascensor El Peral","Mujer, madre, profesional y liberal. Amante del Puerto, el rock&roll y la cerveza.","Valparaíso","Sat Jan 09 22:21:52 +0000 2010","352","Cesia Arredondo ","lacesia","Santiago"
"Thu Jun 30 02:16:56 +0000 2011","False",,,"http://twitter.com/piaib/status/86256876014141440","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","RT @lacesia: Mañana con @piaib nos juntamos para ir a la #marchadelosparaguas alquién más apaña? A las 10:45 fuera d ascensor El Peral","Noña la que lee :)","","Wed Sep 01 20:51:07 +0000 2010","144","Pia Iocco","piaib","Santiago"
"Thu Jun 30 02:39:39 +0000 2011","False",,,"http://twitter.com/awaissbluth/status/86262593051824128","web","RT @eFePizarro: Manana #marchadelosparaguas . Todos de negro? La wea poetica. Me gusta","Padre de 2 hijos / Director de Cine ","Santiago de Chile","Sun Aug 09 02:19:45 +0000 2009","2880","Andrés Waissbluth","awaissbluth","Quito"
"Thu Jun 30 03:49:53 +0000 2011","False",,,"http://twitter.com/andreseostornol/status/86280268532563968","<a href=""http://twitter.com/#!/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @awaissbluth: Si estas harto de la  £€¥ del dinero y del abuso apoya a los estudiantes y participa en la #marchadelosparaguas","Sibarita, melomano, cinefilo ocasional. Acquisitions & Business @bazucaondemand","Santiago de Chile","Thu Nov 18 20:29:04 +0000 2010","59","Andrés Espinoza","andreseostornol"
"Sat Jul 30 21:16:55 +0000 2011","False",,,"http://twitter.com/NicoYanezG/status/97415397015437315","web","RT @Karla_Modinger: Mi total apoyo a la #Marchadelosparaguas y/o #Marchaxlafamilia creo que la TV deberían cubrir estos hechos y no solo ...","Gangster, estudiante de Derecho en la Universidad San Sebastian, gremialista, a veces Santiaguino y a veces San Vicentano.","Santiago de Chile","Mon Sep 07 23:23:17 +0000 2009","125","Nicolás Yáñez G.","NicoYanezG","Santiago"
