created_at,favorited,in_reply_to_screen_name,lang,permanent link,source,text,user profile description,user profile location,user_created_at,user_followers_count,user_name,user_screen_name,user_time_zone
"Wed Aug 01 00:29:00 +0000 2012","False","NoamTitelman",,"http://twitter.com/oindependiente/status/230460086391296000","web","@NoamTitelman propone en #consejoFEUC comenzar a usar el hashtag #RankingxPSU en las redes sociales para ejercer presión, avanzar en el tema","Opción Independiente Universidad Católica de Chile. Entérate y participa del debate universitario.","Chile","Wed Nov 19 17:35:10 +0000 2008","1213","Opción Independiente","oindependiente","Santiago"
"Wed Aug 01 00:29:25 +0000 2012","False",,,"http://twitter.com/jiyanez/status/230460187650174976","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","empecemos con la campaña! para que la @ucatolica cambie #RankingxPSU","Me gusta la matemática, pero no me gusta dividir por números grandes.","","Thu Dec 24 06:40:25 +0000 2009","464","Jose Ignacio Yañez","jiyanez","Santiago"
"Wed Aug 01 00:30:33 +0000 2012","False",,,"http://twitter.com/naupuc/status/230460474171465728","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","Apoyando la campaña virtual para que se cambie #RankingxPSU @ucatolica @vivelauc","","Santiago, Chile","Mon Jul 27 19:21:40 +0000 2009","4120","Nueva Acción Univ.","naupuc","Santiago"
"Wed Aug 01 00:31:39 +0000 2012","False",,,"http://twitter.com/Claudia_negri/status/230460752199294977","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @oindependiente: @NoamTitelman propone en #consejoFEUC comenzar a usar el hashtag #RankingxPSU en las redes sociales para ejercer pre ...","Estudiante de Ciencia Política de la PUC. Parte de @oindependiente, política, pacifista, amante de la diversidad, los perros y el tango.","Santiago, Chile","Fri Jun 11 23:01:33 +0000 2010","121","Claudia Negri","Claudia_negri","Santiago"
"Wed Aug 01 00:32:08 +0000 2012","False",,,"http://twitter.com/caracola_cn/status/230460871581790208","web","Desde la @Feuc se invita a la campaña #RankingxPSU para incentivar que el ranking quite % a la PSU y no al NEM.","Presidenta @CACB_UC 2012 - Sec ANEB CHILE - Oi - futura BQ  PUC ... supuestamente . Aficionada al Volley ","Chile","Tue Jul 28 21:44:51 +0000 2009","362","Carolina  Cabalín","caracola_cn","Santiago"
"Wed Aug 01 00:32:34 +0000 2012","False",,,"http://twitter.com/caracola_cn/status/230460981669666816","web","RT @caracola_cn:  Desde la @Feuc se invita a la campaña #RankingxPSU para incentivar que el ranking quite % a la PSU y no al NEM cc @CACB_UC","Presidenta @CACB_UC 2012 - Sec ANEB CHILE - Oi - futura BQ  PUC ... supuestamente . Aficionada al Volley ","Chile","Tue Jul 28 21:44:51 +0000 2009","362","Carolina  Cabalín","caracola_cn","Santiago"
"Wed Aug 01 00:32:35 +0000 2012","False",,,"http://twitter.com/oindependiente/status/230460984823791617","web","RT @caracola_cn: Desde la @Feuc se invita a la campaña #RankingxPSU para incentivar que el ranking quite % a la PSU y no al NEM.","Opción Independiente Universidad Católica de Chile. Entérate y participa del debate universitario.","Chile","Wed Nov 19 17:35:10 +0000 2008","1213","Opción Independiente","oindependiente","Santiago"
"Wed Aug 01 00:33:02 +0000 2012","False",,,"http://twitter.com/jiboncom/status/230461097667354624","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","RT @caracola_cn: Desde la @Feuc se invita a la campaña #RankingxPSU para incentivar que el ranking quite % a la PSU y no al NEM.","Camino a Ing UC, CAi 2011 y Coord de T&I. Ya planté un arbol y algún día escribiré un libro. ¡Acepto ideas! Coordinador General @oindependiente","Chile","Thu Oct 01 05:57:36 +0000 2009","426","Javier Boncompte","jiboncom","Santiago"
"Wed Aug 01 00:33:49 +0000 2012","False",,,"http://twitter.com/Claudia_negri/status/230461295399411712","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sí al ranking #RankingxPSU","Estudiante de Ciencia Política de la PUC. Parte de @oindependiente, política, pacifista, amante de la diversidad, los perros y el tango.","Santiago, Chile","Fri Jun 11 23:01:33 +0000 2010","121","Claudia Negri","Claudia_negri","Santiago"
"Wed Aug 01 00:34:11 +0000 2012","False",,,"http://twitter.com/fabarrientos/status/230461390475915264","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","Estamos discutiendo la inclusión del Ranking. Por un acceso que avance equidad, queremos que @ucatolica incluya #RankingxPSU!","Presidente del Centro de Estudiantes de Ciencia Política UC, Colocolino desde la cuna y NAU!","Santiago, Chile.","Sat Dec 11 19:52:46 +0000 2010","339","Fernando Barrientos ","fabarrientos"
