created_at,favorited,in_reply_to_screen_name,lang,permanent link,source,text,user profile description,user profile location,user_created_at,user_followers_count,user_name,user_screen_name,user_time_zone
"Mon Jun 20 23:03:47 +0000 2011","False",,,"http://twitter.com/rodrigo_ogalde/status/82946779166941185","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","Los estudiantes sanantoninos depusieron la toma del liceo Juan Dante Parraguez #tomaliceo  http://bit.ly/kJxxFd","Periodista Diario El Líder/ Corresponsal Radio Digital FM/ Coordinador Multimedia www.soysanantonio.cl http://blogs.soychile.cl/san-antonio/libre-acceso","","Tue Jul 28 14:59:09 +0000 2009","997","Rodrigo Ogalde Cofré","rodrigo_ogalde","Santiago"
"Mon Jun 20 23:03:48 +0000 2011","False",,,"http://twitter.com/diariolider/status/82946783193473024","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","Los estudiantes sanantoninos depusieron la toma del liceo Juan Dante Parraguez #tomaliceo  http://bit.ly/kJxxFd",,,"Sat Sep 05 00:47:34 +0000 2009","1062","Diario El Líder","diariolider","Santiago"
"Mon Jun 20 23:03:49 +0000 2011","False",,,"http://twitter.com/lidersanantonio/status/82946787089989632","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","Los estudiantes sanantoninos depusieron la toma del liceo Juan Dante Parraguez #tomaliceo  http://bit.ly/kJxxFd","Diario de la Quinta Región de Chile. Noticias Online del Litoral Central. San Antonio Cartagena Santo Domingo El Tabo El Quisco Algarrobo","ÜT: -33.597294,-71.60613","Wed Oct 07 18:01:40 +0000 2009","1840","lidersanantonio","lidersanantonio","Santiago"
"Mon Jun 20 23:03:50 +0000 2011","False",,,"http://twitter.com/RobertoCadagan/status/82946791259119616","<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>","Los estudiantes sanantoninos depusieron la toma del liceo Juan Dante Parraguez #tomaliceo  http://bit.ly/kJxxFd","Periodista/mis intereses: medios digitales/medios interactivos/ social media marketing/ periodismo digital/ ","chile","Fri Sep 04 17:13:01 +0000 2009","167","Roberto Cadagán D","RobertoCadagan","Santiago"
"Mon Jun 20 23:40:56 +0000 2011","False",,,"http://twitter.com/quilpue9/status/82956128375418880","web","RT @rodrigo_ogalde: Los estudiantes sanantoninos depusieron la toma del liceo Juan Dante Parraguez #tomaliceo  http://bit.ly/kJxxFd","","Quilpué CHILE","Tue Jul 14 17:36:20 +0000 2009","628","francisco gonzalez ","quilpue9","Santiago"
"Tue Jun 28 20:00:27 +0000 2011","False",,,"http://twitter.com/paoleivas/status/85799743342653440","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Tres establecimientos educativos amanecieron tomados por los estudiantes en Chillán #tomaliceo http://t.co/vlwaxJi vía @soychillan","","Chillan ,Chile","Tue Nov 10 13:26:19 +0000 2009","14","paola leonor","paoleivas","Santiago"
"Sun Aug 07 04:02:14 +0000 2011","False",,,"http://twitter.com/rayenmapuoficia/status/100054113424904192","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Los estudiantes de Chonchi se toman liceo municipal de la comuna #tomaliceo http://t.co/p5p55xd vía @soychiloe","LICEO DE EXCELENCIA UBICADO EN LA COMUNA DE QUELLÓN, CHILOÉ, CON PROFESORES Y ALUMNOS DEDICADOS POR UNA EDUCACÓN DE CALIDAD.","presidente ibañez 560","Sat Jun 25 18:03:53 +0000 2011","21","LICEO RAYEN MAPU ","rayenmapuoficia","Quito"
"Mon Aug 08 05:59:28 +0000 2011","False",,,"http://twitter.com/piliaar/status/100446004121317376","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Alumnos de liceos particulares subvencionados de Achao se unen a las tomas #tomaliceo http://t.co/0nijr2j vía @soychiloe","","Castro","Wed Jan 20 04:14:54 +0000 2010","18","Pilar Oberreuter","piliaar","Quito"
"Wed Aug 17 03:52:35 +0000 2011","False",,,"http://twitter.com/evelyn_saa/status/103675566342942720","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Estudiantes se toman el Liceo Politécnico de Concón#tomaliceo http://t.co/853hMk0 vía @soyvalparaiso","DEPORTISTA,ALEGRE Y AUTODIDACTA. CREADORA DE BELLOS POEMAS Y CUENTOS. ESTUDIANTE TÉCNICO JURÍDICO-DUOC   ","Viña del Mar","Fri Feb 12 14:55:23 +0000 2010","154","Evelyn Saá","evelyn_saa","Santiago"
"Fri Aug 26 19:04:17 +0000 2011","False",,,"http://twitter.com/LucasPalape/status/107166492654706689","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Mantienen bloqueado el liceo Politécnico de Iquique#tomaliceo http://t.co/IegBRfZ vía @soyiquique","Nací en circunstancias inusuales, confieso q no se mucho d casi nada. Contador, Ex analista, fanático del cine, escritor, periodista, opinólogo,  humorista  ","En la WEB","Mon Apr 12 21:41:38 +0000 2010","776","Lucas Palape","LucasPalape","Buenos Aires"
