"","username","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"6876","camila_vallejo","0.686","0.691","0.019","0.97","0","7.1e-04","0.0432","9.7e-06","0.080","1.00"
"126","GiorgioJackson","1.000","1.000","0.325","0.97","0","1.6e-02","0.0656","6.2e-06","0.325","0.97"
"282","jjcc_chile","0.206","0.199","0.318","0.97","0","5.1e-03","0.0102","5.6e-05","0.031","0.42"
"123","Rdemocratica","0.231","0.215","0.637","0.97","0","3.3e-02","0.0379","4.4e-05","0.330","0.40"
"14387","Sr_Ballesteros","0.221","0.216","0.235","0.97","0","4.6e-03","0.0123","7.3e-05","0.038","0.28"
"16011","panchofigueroa","0.154","0.152","0.145","0.97","0","2.1e-03","0.0109","8.9e-05","0.044","0.16"
"17204","ChileaLaMoneda","0.208","0.181","1.000","0.97","0","1.0e+00","1.0000","3.8e-05","1.000","0.14"
"598","velagrau","0.094","0.091","0.145","0.97","0","1.1e-03","0.0059","3.1e-04","0.022","0.14"
"52","AFielbaum","0.145","0.135","0.413","0.97","0","5.1e-03","0.0123","1.6e-04","0.038","0.13"
"110341","feuc","0.105","0.106","0.000","0.00","0","1.8e-14","0.0052","1.7e-04","0.018","0.11"
