"","username","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"1","_ELWIS_",0.0278837687114764,0,0.313725490196078,0.0830362267887068,0,0.000440345499157862,2.67177595357425e-16,0,0.000271797675399928,1.06425143268007e-19
"2","MAQO",0.000880540064572938,0,0.0130718954248366,0.0830362267887068,0,1.83477291315797e-05,8.86371169432215e-18,0,1.13249031416565e-05,1.06425143268007e-19
"3","mvaldeb",0,0,0.00326797385620915,0.0830362267887068,0,1.00021421773937e-05,0,0,6.40155401254934e-06,1.06425143268007e-19
"4","Dj3Go",0.000587026709715292,0,0.00980392156862745,0.166128864057522,0,0.00452610988910795,5.48705962029467e-18,0,0.0031183139898579,1.06425143268007e-19
"5","pilaars",0.000880540064572938,0,0.0130718954248366,0.249249725727631,0,1.37941637195856e-05,8.86371169432215e-18,0,8.20464151948095e-06,1.06425143268007e-19
"6","",0.0102729674200176,0,0.117647058823529,0.499036367917416,0,0.0182753669234703,1.00596093038736e-16,0,0.0125753815388904,1.06425143268007e-19
"7","Nbriones",0.000587026709715292,0,0.00980392156862745,0.0830362267887068,0,1.08039103713067e-05,5.48705962029467e-18,0,6.32615374442069e-06,1.06425143268007e-19
"8","gonzalozapataz",0.0137951276783094,0,0.156862745098039,0.582326940934051,0,0.191822177174147,1.32111512396325e-16,0.00443262411347518,0.139865130611758,1.06425143268007e-19
"9","juanfcocanales",0,0,0.00326797385620915,0.0830362267887068,0,1.00021421773937e-05,0,0,6.40155401254937e-06,1.06425143268007e-19
"10","franciscojms",0.00587026709715292,0,0.0686274509803922,0.916255005341812,0,0.0401474385726991,5.89507174590632e-17,0.00952380952380952,0.0283424024285796,1.06425143268007e-19
"11","camparimen",0.00234810683886117,0,0.0294117647058824,0.0830362267887068,0,4.12823905460537e-05,2.29330953361033e-17,0,2.54810320687261e-05,1.06425143268007e-19
"12","Lady_Neko",0.000880540064572938,0,0.0130718954248366,0.0830362267887068,0,1.83477291315797e-05,8.86371169432215e-18,0,1.13249031416565e-05,1.06425143268007e-19
"13","jovenesporchile",0.00146756677428823,0,0.0196078431372549,0.166128864057522,0,5.10909256243368e-05,1.39286898053634e-17,0,3.27447026766921e-05,1.06425143268007e-19
"14","israferreira",0.00117405341943058,0,0.0163398692810458,0.166128864057522,0,4.38429337962771e-05,1.16775884226784e-17,0,2.81655057708239e-05,2.12850286536015e-19
"15","camilatorralbos",0,0,0.00326797385620915,0.0830362267887068,0,3.60130345710217e-06,0,0,2.10871791480701e-06,1.06425143268007e-19
"16","sinteticoteatro",0.000293513354857646,0,0.0065359477124183,0.0830362267887068,0,0.00903387204908432,2.95457056477405e-18,0,0.00622530307657413,1.06425143268007e-19
"17","Ego_Ipse",0.000587026709715292,0,0.00980392156862745,0.249277969309582,0,1.84234395469907e-05,5.48705962029467e-18,0,1.17920695185894e-05,1.06425143268007e-19
"18","camiloriffo",0.0211329615497505,0,0.238562091503268,0.332483600126002,0,0.00523409161953269,1.99644553876875e-16,0,0.00358384600026702,1.06425143268007e-19
"19","Nicomgs",0.00352216025829175,0,0.042483660130719,0.0830362267887068,0,0.058720168319048,3.30630515581858e-17,0,0.0404644699977319,1.06425143268007e-19
"20","YoSoyAllendista",0.000293513354857646,0,0.0065359477124183,0.0830362267887068,0,2.00042843547875e-05,2.95457056477405e-18,0,1.28031080250986e-05,1.06425143268007e-19
"21","marielaypunto",0.000293513354857646,0,0.0065359477124183,0.0830362267887068,0,2.00042843547875e-05,2.95457056477405e-18,0,1.28031080250985e-05,1.06425143268007e-19
"22","rodrigovega",0.00205459348400352,0,0.0261437908496732,0.74916314496192,0,0.00366169333421179,2.06819939534184e-17,0,0.00319294095766651,1.06425143268007e-19
"23","Marcelo_Osorio_",0.000880540064572938,0,0.0130718954248366,0.332483600126002,0,2.63720573229981e-05,8.86371169432215e-18,0,1.69227606309087e-05,1.06425143268007e-19
"24","natitita",0,0,0.00326797385620915,0.0830362267887068,0,1.00021421773937e-05,0,0,6.40155401254935e-06,1.06425143268007e-19
"25","jampaloide",0.000293513354857646,0,0.0065359477124183,0.249249725727631,0,2.05547930488326e-05,2.95457056477405e-18,0,1.27064552824277e-05,1.06425143268007e-19
"26","Seba__",0,0,0.00326797385620915,0.0830362267887068,0,1.00021421773937e-05,0,0,6.40155401254933e-06,1.06425143268007e-19
"27","pineramiente",0,0,0.00326797385620915,0.0830362267887068,0,1.00021421773937e-05,0,0,6.40155401254933e-06,1.06425143268007e-19
"28","CarlosPaezS",0,0,0.00326797385620915,0.0830362267887068,0,1.00021421773937e-05,0,0,6.40155401254928e-06,1.06425143268007e-19
"29","parubio",0.0111535074845905,0,0.127450980392157,0.582270299965584,0,0.173451803464009,1.09600498569476e-16,0.00134952766531714,0.121541334396395,1.06425143268007e-19
"30","Fabroo",0.00557675374229527,0,0.065359477124183,0.166128864057522,0,0.000107782775139239,5.55740653850357e-17,0,7.02994790016577e-05,2.12850286536015e-19
"31","millita_lino",0.000293513354857646,0,0.0065359477124183,0.0830362267887068,0,2.00042843547875e-05,2.95457056477405e-18,0,1.28031080250985e-05,1.06425143268007e-19
"32","RodrigoDiazm",0,0,0.00326797385620915,0.582128697658871,0,0.000322675736182483,0,0,0.000624593627249853,1.06425143268007e-19
"33","okoll",0,0,0.00326797385620915,0.0830362267887068,0,0,0,0,0,1.06425143268007e-19
"34","jwalkered",0,0,0.00326797385620915,0.0830362267887068,0,1.00021421773937e-05,0,0,6.40155401254929e-06,1.06425143268007e-19
"35","huroncilla",0.000880540064572938,0,0.0130718954248366,0.0830362267887068,0,1.83477291315797e-05,8.86371169432215e-18,0,1.13249031416564e-05,1.06425143268007e-19
"36","Chacarero",0.000880540064572938,0,0.0130718954248366,0.0830362267887068,0,1.83477291315797e-05,8.86371169432215e-18,0,1.13249031416569e-05,1.06425143268007e-19
"37","NachaJSP",0.00234810683886117,0,0.0294117647058824,0.0830362267887068,0,4.12823905460537e-05,2.29330953361033e-17,0,2.54810320687271e-05,1.06425143268007e-19
"38","DonJoost",0.00205459348400352,0,0.0261437908496732,0.0830362267887068,0,3.66954582631587e-05,2.06819939534184e-17,0,2.26498062833127e-05,1.06425143268007e-19
"39","caldo_de_cabeza",0.0173172879366011,0,0.196078431372549,0.0830362267887068,0,0.000275215936973671,1.7038023590197e-16,0,0.000169873547124927,1.06425143268007e-19
"40","CajitadeJugo",0.223657176401526,0.216549295774648,0.0816993464052288,0,0,0.0001146733070695,0.00101549640242707,0,0.000895402243701243,0.632544214101721
"41","guachacas",0,0,0.00326797385620915,0.0830362267887068,0,3.60130345710217e-06,0,0,2.10871791480688e-06,1.06425143268007e-19
"42","valenzuelalevi",0.089521573231582,0,1,0.916340198484398,0,1,8.61468360386262e-16,0.000171434694096218,0.808014914009397,1.06425143268007e-19
"43","rialarco",0.000587026709715292,0,0.00980392156862745,0.0830362267887068,0,1.37607968486851e-05,5.48705962029467e-18,0,8.49367735624285e-06,1.06425143268007e-19
"44","homeroh",0.00733783387144115,0,0.0849673202614379,0.0830362267887068,0,0.000119260239355266,6.90806736811457e-17,0,7.36118704207791e-05,1.06425143268007e-19
"45","Gentz",0.00117405341943058,0,0.0163398692810458,0.166128864057522,0,0.00453528375367374,1.16775884226784e-17,0,0.00312397644142872,2.12850286536015e-19
"46","srcrispin",0.0120340475491635,0,0.137254901960784,0.582411902435862,0,0.140647430964387,1.208560054829e-16,0.00929152148664344,0.109997401517344,1.06425143268007e-19
"47","Feuc",0.0311124156149105,0,0.349673202614379,0.832595494062587,0,0.459022076041265,2.89688609184275e-16,0.000529007229765473,0.316966905396658,1.06425143268007e-19
"48","echeverria",0.00616378045201057,0,0.0718954248366013,0.582270299965584,0,0.0867319855719624,5.89507174590632e-17,0.00432900432900433,0.0691686477239128,0
"49","fmunozv",0.000293513354857646,0,0.0065359477124183,0.166128864057522,0,0.00452246672914748,2.95457056477405e-18,0,0.00311628717367797,1.06425143268007e-19
"50","FdoSantibanez",0.00205459348400352,0,0.0261437908496732,0.0830362267887068,0,0.0361354881963373,2.06819939534184e-17,0,0.0249012123062965,1.06425143268007e-19
"51","dnbravo",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"52","chilenoblack",0.000587026709715292,0,0.00980392156862745,0.166128864057522,0,2.55349889601142e-05,5.48705962029467e-18,0,1.64387434160055e-05,1.06425143268007e-19
"53","El_Dirigente",0.00322864690343411,0,0.0392156862745098,0.0830362267887068,0,0.000120025706128723,3.08119501755008e-17,0,7.68186481505917e-05,1.06425143268007e-19
"54","isentropico",0,0,0.00326797385620915,0.0830362267887068,0,1.00021421773937e-05,0,0,6.40155401254929e-06,1.06425143268007e-19
"55","huevovasquez",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"56","baleri_",0.00410918696800704,0,0.0490196078431373,0.249249725727631,0,0.000101456883539245,4.0379131051912e-17,0,6.0543591928107e-05,1.06425143268007e-19
"57","LiaHata",0.000587026709715292,0,0.00980392156862745,0.0830362267887068,0,4.06216666677297e-09,5.48705962029467e-18,0,2.38147354314474e-09,1.06425143268007e-19
"58","aimanen",0.0220135016143235,0,0.248366013071895,0.916340198484398,0,0.237345448964047,2.08648959407615e-16,0.00280701754385965,0.197390727092888,1.06425143268007e-19
"59","SuAlarcon",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"60","_renzo",0,0,0.00326797385620915,0.0830362267887068,0,1.35405555552913e-09,0,0,7.93824514462848e-10,1.06425143268007e-19
"61","gocampos",0.000587026709715292,0,0.00980392156862745,0.0830362267887068,0,1.37607968486851e-05,5.48705962029467e-18,0,8.49367735624183e-06,1.06425143268007e-19
"62","Chuqui",0,0,0.00326797385620915,0.0830362267887068,0,1.00021421773937e-05,0,0,6.40155401254933e-06,1.06425143268007e-19
"63","cotegaona",0,0,0.00326797385620915,0.0830362267887068,0,8.9255875167548e-07,0,0,5.67155654857992e-07,1.06425143268007e-19
"64","Rafautonomista",0.000293513354857646,0,0.0065359477124183,0.0830362267887068,0,1.78511750335096e-06,2.95457056477405e-18,0,1.13431130971593e-06,1.06425143268007e-19
"65","TioLukacs",0,0,0.00326797385620915,0.0830362267887068,0,3.60130345710217e-06,0,0,2.10871791480693e-06,1.06425143268007e-19
"66","Tlinm",0.00352216025829175,0,0.042483660130719,0.582298620446532,0,0.0407199844676983,3.30630515581858e-17,0.0384615384615385,0.0332961450710191,1.06425143268007e-19
"67","anodien",0.000293513354857646,0,0.0065359477124183,0.582128697658871,0,0.000645351472364967,2.95457056477405e-18,0,0.00124918725449971,1.06425143268007e-19
"68","NachachaRocuant",0.00117405341943058,0,0.0163398692810458,0.582298620446532,0,0.0174875193366393,1.16775884226784e-17,0.3,0.0131245079147979,2.12850286536015e-19
"69","leorissetti",0.000880540064572938,0,0.0130718954248366,0.58221365902326,0,0.00564252227129459,8.86371169432215e-18,0.333333333333333,0.0047146789006685,1.06425143268007e-19
"70","RobertoSagredo",0,0,0.00326797385620915,0.582128697658871,0,0.000322675736182483,0,0,0.000624593627249853,1.06425143268007e-19
"71","iarahei",0.00293513354857646,0,0.0359477124183007,0.582157018107106,0,0.0458996830449442,2.79980734471446e-17,0.0181818181818182,0.0317096125471854,0
"72","mellamanPia",0.00176108012914588,0,0.0228758169934641,0.0830362267887068,0,3.21085259802636e-05,1.67425665337196e-17,0,1.98185804979014e-05,1.06425143268007e-19
"73","E_Riquelme_",0,0,0.00326797385620915,0.0830362267887068,0,4.58693228289493e-06,0,0,2.83122578541424e-06,1.06425143268007e-19
"74","arroyorodrigo",0.000880540064572938,0,0.0130718954248366,0.0830362267887068,0,1.83477291315797e-05,8.86371169432215e-18,0,1.13249031416572e-05,1.06425143268007e-19
"75","Danytrixx",0.00146756677428823,0,0.0196078431372549,0.0830362267887068,0,2.75215936973705e-05,1.39286898053634e-17,0,1.69873547124851e-05,1.06425143268007e-19
"76","curicounido",0.000587026709715292,0,0.00980392156862745,0.0830362267887068,0,4.06216666677297e-09,5.48705962029467e-18,0,2.3814735432241e-09,1.06425143268007e-19
